index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),3799,510,43,432,4779,514,16,2369,-7742,702,588,483,1391,968,1333,952,57995,7669,6249,12585,16419,13877,14217,90521,-120419,14740,8274,14158,45085,17822,17197,15923,20489,14247,2057,-68919,6279,621,168,457542,-291,-23,230,348,0,840,498,99
Zysk (strata) z dzialal. oper. (tys. zl),2528,0,-179,-60,3636,-55,-335,1473,-8035,-461,-155,52,565,135,634,191,56435,6171,4081,11773,15222,11336,12110,80935,-120412,17559,909,11469,40091,14632,13633,13292,13211,10416,2017,-83803,4407,-311,-1052,456533,-1715,-1512,-880,-529,0,-273,-76,-1076
Zysk (strata) brutto (tys. zl),2543,5,359,517,3371,-66,-273,1485,-8366,-338,-209,126,446,118,809,-1,56588,6188,4025,11689,6314,6984,8052,67584,-126150,12523,-3135,7031,34773,9137,7761,7516,13506,6027,-2664,-87339,3884,-410,-1204,456417,-1708,456,-1986,-690,0,-298,-322,-1037
Zysk (strata) netto (tys. zl),2186,-91,293,379,2211,-162,-171,1075,-7594,-495,-207,7,136,67,731,76,55193,4763,3795,11369,3243,3555,4772,68001,-65965,6043,-4979,3179,17987,4671,4472,2987,5878,3162,-2599,-43106,2390,-366,-1087,233600,-1818,443,-1934,-587,0,-1107,1394,115
Amortyzacja (tys. zl),10,10,8,4,11,13,11,11,24,24,24,15,51,27,23,24,3,3,3,0,112,113,113,59,44,116,115,114,46,51,46,47,12,15,21,48,-4,8,12,17,12,21,16,15,0,18,0,0
EBITDA (tys. zl),2538,10,-171,-56,3647,-42,-324,1484,-8011,-437,-131,67,616,162,657,215,56438,6174,4084,11773,15334,11449,12223,80994,-120368,17675,1024,11583,40137,14683,13679,13339,13223,10431,2038,-83755,4403,-303,-1040,456550,-1703,-1491,-864,-514,0,-255,-76,-1076
Aktywa (tys. zl),66267,66105,76863,78145,72690,75797,76793,72270,64575,67857,72627,74378,71405,70833,71465,72458,507075,505890,379691,0,1083459,1101575,1096168,0,1129080,1075617,1128075,0,1084576,1193146,1279721,0,992483,980713,926154,0,273195,318245,366459,0,123397,186700,202314,0,124887,122178,0,0
Kapital wlasny (tys. zl),62897,63018,63664,63987,59839,59397,59559,60468,57815,57320,58005,58012,64683,64824,65297,65480,484840,487997,369702,0,375574,382523,388916,0,367084,367669,380503,0,431065,471847,458246,0,400838,404000,376918,0,95110,94744,93657,0,94724,97144,93307,0,100825,99179,0,0
Liczba akcji (tys. szt.),"42786,848","42786,848","42786,848","42786,848","42786,848","42786,848","42786,848","42786,848","42786,848","42786,848","42786,848","42786,848","42786,848","42786,848","42786,848","42786,848","125843,667","125843,667","125843,667","42786,848","125843,667","125843,667","125843,667","125843,667","125843,667","125843,667","125843,667","125843,667","125843,667","125843,667","125843,667","125843,667","125843,667","125843,667","125843,667","125843,667","12035,254","12035,254","12035,254","125843,667","12035,254","12035,254","12035,254","12035,254","24070,503","12035,254","12035,254","12035,254"
Zysk na akcje (zl),"0,051","-0,002","0,007","0,009","0,052","-0,004","-0,004","0,025","-0,177","-0,012","-0,005","0,000","0,003","0,002","0,017","0,002","0,439","0,038","0,030","0,266","0,026","0,028","0,038","0,540","-0,524","0,048","-0,040","0,025","0,143","0,037","0,036","0,024","0,047","0,025","-0,021","-0,343","0,199","-0,030","-0,090","1,856","-0,151","0,037","-0,161","-0,049","0,000","-0,092","0,116","0,010"
Wartosc ksiegowa na akcje (zl),"1,470","1,473","1,488","1,495","1,399","1,388","1,392","1,413","1,351","1,340","1,356","1,356","1,512","1,515","1,526","1,530","3,853","3,878","2,938","0,000","2,984","3,040","3,090","0,000","2,917","2,922","3,024","0,000","3,425","3,749","3,641","0,000","3,185","3,210","2,995","0,000","7,903","7,872","7,782","0,000","7,871","8,072","7,753","0,000","4,189","8,241","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
