index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2012,IV Q 2013,III Q 2014
Przychody netto ze sprzedaÅ¼y (tys. zl),62241,39119,46202,48630,51431,34505,43494,47275,0,0,45521
Zysk (strata) z dzialal. oper. (tys. zl),9840,491,3265,7376,9077,3402,5339,6663,0,0,8588
Zysk (strata) brutto (tys. zl),8521,-647,2788,6369,3652,766,5393,4787,0,0,4199
Zysk (strata) netto (tys. zl),6747,-996,933,4693,2763,474,4240,3740,0,0,3329
Amortyzacja (tys. zl),1329,1262,1289,1344,1267,1282,1273,1307,0,0,1093
EBITDA (tys. zl),11169,1753,4554,8720,10344,4684,6612,7970,0,0,9681
Aktywa (tys. zl),137464,130700,133384,135891,134254,0,126250,133584,119376,123051,0
Kapital wlasny (tys. zl),15064,16013,17323,22670,-77931,0,4659,8332,-116176,-98856,0
Liczba akcji (tys. szt.),"8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000"
Zysk na akcje (zl),"0,843","-0,124","0,117","0,587","0,345","0,059","0,530","0,468","0,000","0,000","0,416"
Wartosc ksiegowa na akcje (zl),"1,883","2,002","2,165","2,834","-9,741","0,000","0,582","1,042","-14,522","-12,357","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N
