index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),2354464,1706813,1986798,1874661,2078042,1692423,1528128,1504993,1637094,1348370,1517152,1494569,1647234,1354561,1305896,1255568,1428972,1000945,963172,1122742,1156439,853448,800924,944466,946786,658632,654615,753548,986435,646798,569186,622076,815142,649821,542981,633907,0
Zysk (strata) z dzialal. oper. (tys. zl),35717,21014,21886,20988,34687,22425,22399,20017,30953,16252,19908,20640,25810,12634,13833,18193,33993,11643,14055,11878,36340,8279,11807,21757,22570,7676,22031,4477,41181,11158,5899,6847,16265,6707,4294,11315,0
Zysk (strata) brutto (tys. zl),31213,16151,19385,17285,32060,20181,17813,15988,26383,13756,17311,18875,20650,7572,12164,16200,26287,11050,10443,11587,32285,9321,10533,12725,20607,7760,10061,10067,14148,6902,4454,7009,14165,4034,1820,5178,0
Zysk (strata) netto (tys. zl),25062,12391,14077,14146,25558,13540,14189,13073,21198,10631,12417,15105,16742,6202,9459,13051,21598,8304,7894,9263,27744,7655,8254,10080,16378,5892,7515,7997,9497,4474,2807,4861,10574,3092,862,3906,0
Amortyzacja (tys. zl),3457,3790,3764,3498,2044,2024,2172,2647,2512,2529,3174,2038,2626,2495,2346,2445,2660,2155,2839,2447,2184,2350,2398,2450,1982,1891,1939,2191,1254,1036,2738,2185,0,1082,1433,1445,0
EBITDA (tys. zl),39174,24804,25650,24486,36731,24449,24571,22664,33465,18781,23082,22678,28436,15129,16179,20638,36653,13798,16894,14325,38524,10629,14205,24207,24552,9567,23970,6668,42435,12194,8637,9032,16265,7789,5727,12760,0
Aktywa (tys. zl),1978248,1818534,1839276,1920490,1635081,1461327,1519646,1640661,1460623,1291882,1259790,1386780,1394991,1206729,1167398,1154590,1287864,0,1090010,1151725,1146044,0,909768,1114559,781340,0,788409,921627,877135,0,673012,752819,0,651309,624786,749478,356136
Kapital wlasny (tys. zl),554779,572507,584418,598760,490334,499664,519820,535522,440190,451976,463885,476602,408471,409181,420569,436998,369784,0,381963,391674,312436,0,333444,351213,263722,0,283495,292518,240368,0,263803,261418,0,200141,201600,201855,75896
Liczba akcji (tys. szt.),"16187,644","16187,644","16187,644","16187,644","16187,644","16187,644","16187,644","16187,644","16187,644","16187,644","16187,644","16187,644","16187,644","16187,644","16187,644","16187,644","16334,002","16187,644","16187,644","16187,644","16295,002","16295,002","16334,002","16334,002","15950,002","15950,002","16295,002","16295,002","15950,002","15950,002","15950,002","15950,002","15950,002","15950,002","15950,002","15950,002","11700,002"
Zysk na akcje (zl),"1,548","0,765","0,870","0,874","1,579","0,836","0,877","0,808","1,310","0,657","0,767","0,933","1,034","0,383","0,584","0,806","1,322","0,513","0,488","0,572","1,703","0,470","0,505","0,617","1,027","0,369","0,461","0,491","0,595","0,281","0,176","0,305","0,663","0,194","0,054","0,245","0,000"
Wartosc ksiegowa na akcje (zl),"34,272","35,367","36,103","36,989","30,291","30,867","32,112","33,082","27,193","27,921","28,657","29,442","25,234","25,277","25,981","26,996","22,639","0,000","23,596","24,196","19,174","0,000","20,414","21,502","16,534","0,000","17,398","17,951","15,070","0,000","16,539","16,390","0,000","12,548","12,639","12,655","6,487"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
