index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,II Q 2005,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),168135,182457,196017,195401,230061,246238,225366,202178,240843,251447,251626,254399,223972,270286,240818,239425,308202,332749,307032,275319,181581,264215,289110,294126,134873,135966,168702,184360,211922,177657,149994,133620,171653,234452,254664,257003,107122,131032,159375,294728,87150,100645,106119,112389,54286,95289
Zysk (strata) z dzialal. oper. (tys. zl),-16656,-718,5130,-2093,10445,-1293,-6040,-8396,5536,-198,2804,8015,-8313,3554,-1799,2585,69650,25831,24318,7736,1771,21233,31117,27669,-10792,1276,8438,10778,23227,27893,7604,5110,51176,35322,39260,39874,26695,36470,46164,61523,17679,19301,21696,25880,11002,20614
Zysk (strata) brutto (tys. zl),-17562,-1819,7846,-536,12774,-494,-8642,-8686,5706,-2373,1125,6537,-12022,2413,-2832,-757,68433,20460,23864,3897,-4074,19676,28568,29809,-14008,1398,8802,14315,-64621,29817,3240,5414,44607,35808,38213,35552,5718,32977,40823,53837,23191,30978,22724,49935,9383,20039
Zysk (strata) netto (tys. zl),-16439,-2487,6182,-1635,9493,73,-7844,-8731,4837,-2822,3364,5312,-10606,1764,-4173,-1814,62452,16387,18616,1088,-4763,15550,23353,23991,-14597,1534,6110,11832,-54437,23405,2858,5373,36224,26684,32624,26175,8507,26970,35967,44117,20159,27361,15452,38960,4767,18000
Amortyzacja (tys. zl),9954,9959,9817,9813,10065,10176,10001,9944,10129,10127,10125,10113,9540,9510,9579,9829,-1724,9506,9404,9645,6508,7893,16444,16830,6524,6285,6292,6266,5690,5680,6124,6572,4863,4619,4736,5304,2019,1888,2104,4542,2281,1936,2058,2112,0,2118
EBITDA (tys. zl),-6702,9241,14947,7720,20510,8883,3961,1548,15665,9929,12929,18128,1227,13064,7780,12414,67926,35337,33722,17381,8279,29126,47561,44499,-4268,7561,14730,17044,28917,33573,13728,11682,56039,39941,43996,45178,28714,38358,48268,66065,19960,21237,23754,27992,11002,22732
Aktywa (tys. zl),818962,831828,856116,846189,944798,941265,918428,849792,894988,882997,874608,948873,919320,930450,903200,863103,956444,994204,951395,927483,829400,891504,864470,0,764148,753481,761782,0,882547,850394,809472,0,801194,888150,848726,0,365446,412557,610533,0,200626,224139,300049,0,168600,207942
Kapital wlasny (tys. zl),574771,572284,578076,561483,642762,621887,614115,597933,567312,563127,559495,633269,598681,599191,595030,565735,634675,644141,653246,627474,521210,536760,560114,0,510495,510578,516495,0,545320,527536,516083,0,585016,689814,642400,0,224882,251480,287377,0,75752,102476,177061,0,5691,76487
Liczba akcji (tys. szt.),"200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","207001,152","207001,152","207001,152","200000,000","207000,000","207001,152","207001,152","207001,152","207000,000","207000,000","207000,000","207000,000","207000,000","207000,000","207000,000","207000,000","224984,000","224984,000","224984,000","224984,000","224984,000","224984,000","224984,000","224984,000","224984,000","224984,000","224984,000","224984,000","56246,000","56246,000","56246,000","56246,000","11249,200","11249,200","56246,000","56246,000","2336,372","11249,200"
Zysk na akcje (zl),"-0,082","-0,012","0,031","-0,008","0,047","0,000","-0,039","-0,044","0,023","-0,014","0,016","0,027","-0,051","0,009","-0,020","-0,009","0,302","0,079","0,090","0,005","-0,023","0,075","0,113","0,116","-0,065","0,007","0,027","0,053","-0,242","0,104","0,013","0,024","0,161","0,119","0,145","0,116","0,151","0,480","0,639","0,784","1,792","2,432","0,275","0,693","2,040","1,600"
Wartosc ksiegowa na akcje (zl),"2,874","2,861","2,890","2,807","3,214","3,109","3,071","2,990","2,741","2,720","2,703","3,166","2,892","2,895","2,875","2,733","3,066","3,112","3,156","3,031","2,518","2,593","2,706","0,000","2,269","2,269","2,296","0,000","2,424","2,345","2,294","0,000","2,600","3,066","2,855","0,000","3,998","4,471","5,109","0,000","6,734","9,110","3,148","0,000","2,436","6,799"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
