index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),213274,197778,222543,207828,207514,180909,183599,191584,179399,153890,181875,181715,169974,167441,173470,162690,164819,163146,146900,188804,137166,107171,119951,145078,101218,77040,91055,104145,99661,90661,85667,90011,81852,62950,90543,102930,81784,67412,76147,85938,83847,61070,73175,72871,58771,50495,63508,78927,30700,25454,57569,56673,28070,23087,25577,26636,22637,20452,23867,24626,0,21466,20655,21582,0,0,0,0,23867,0
Zysk (strata) z dzialal. oper. (tys. zl),18876,18746,20486,11713,29610,20718,15786,24303,17887,22526,25366,24855,12789,17167,22990,26180,18795,22193,18166,42645,18378,12564,14477,25560,13922,5546,6895,13887,19952,12789,11203,12042,9757,5215,14301,17412,11993,7267,12574,13176,6625,8816,11968,10511,5472,7048,9742,13077,7013,8230,9563,21750,2251,1710,4007,4472,1580,1411,2760,2881,0,572,420,995,0,0,0,0,2760,0
Zysk (strata) brutto (tys. zl),17013,17422,18542,10015,30715,20558,16533,24325,16607,21649,24658,24285,11471,16915,21581,25822,15602,19934,16564,41490,19868,10540,14706,23155,14399,7732,204,16835,-5730,2562,9989,11559,9838,5818,13043,16098,11052,7365,12829,13366,7646,8920,12222,11061,5855,15817,13981,11630,7086,8321,10213,21347,2075,1591,2927,4272,1418,1088,2474,2564,0,319,-112,1034,0,0,0,0,2474,0
Zysk (strata) netto (tys. zl),12938,13157,13791,7093,24433,16411,12351,18785,15795,16769,21257,21342,10793,12864,16941,21739,11549,16284,33490,34326,13366,7694,11273,16780,11397,6187,140,13678,-5592,1280,8013,9404,7845,4306,10479,13076,9936,5697,10208,10908,6257,7822,10482,9316,5404,14941,13345,10229,5188,6712,7583,15157,1502,1095,2037,3048,1480,821,1646,1647,0,55,-163,680,0,0,0,0,1646,0
Amortyzacja (tys. zl),8311,8760,8568,8702,6581,7103,7552,8482,5185,5134,6346,6323,5034,5113,5185,5264,4203,4218,4455,4586,3708,4129,4228,4215,3869,3629,3704,3582,3623,3736,3788,3833,3283,3181,3497,3643,3114,3161,3169,3193,3056,3217,3239,3156,3312,3729,3493,3384,1253,1231,2926,3003,1459,1272,1127,1174,1460,1732,1379,1402,0,1753,1688,1610,0,0,0,0,630,0
EBITDA (tys. zl),27187,27506,29054,20415,36191,27821,23338,32785,23072,27660,31712,31178,17823,22280,28175,31444,22998,26411,22621,47231,22086,16693,18705,29775,17791,9175,10599,17469,23575,16525,14991,15875,13040,8396,17798,21055,15107,10428,15743,16369,9681,12033,15207,13667,8784,10777,13235,16461,8266,9461,12489,24753,3710,2982,5134,5646,3040,3143,4139,4283,0,2325,2108,2605,0,0,0,0,3390,0
Aktywa (tys. zl),794267,808866,858546,831043,700183,735831,747930,765550,522683,632550,648946,676212,504448,516485,490368,511785,466080,467581,472769,530690,365859,383831,384532,0,304868,320073,331570,0,312019,321162,313397,0,195613,218518,315756,0,193378,199778,218815,0,187312,184216,198228,0,141578,165903,176890,0,75902,92551,0,0,67307,67136,69064,71066,65183,65418,68069,67815,66158,72995,64805,66282,62177,65643,59707,73061,68069,62390
Kapital wlasny (tys. zl),416282,428467,421371,429842,385518,402127,398771,415358,323829,339861,352277,374250,298432,309040,290836,315589,234925,255030,262478,298697,198206,216722,207281,0,176289,182356,190364,0,161242,161951,160898,0,154353,158662,158793,0,139232,144898,141632,0,117038,125230,129437,0,81766,97970,105588,0,53076,63783,0,0,43534,44514,43038,46959,41186,41305,41303,42856,46672,49853,40392,40231,45410,45087,39337,46069,41303,42708
Liczba akcji (tys. szt.),"33107,028","33107,028","33107,028","33107,028","33107,028","33107,028","33107,028","33107,028","33107,028","33107,028","33107,028","33107,028","33107,028","33107,028","33107,028","33107,028","35107,028","35107,028","35107,028","33107,028","35107,028","35107,028","35107,028","35107,028","35107,028","35107,028","35107,028","35107,028","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","35293,500","37065,050","37065,050","37065,050","35293,500","27500,550","27500,550","27500,550","27500,550","30800,550","30800,550","30800,550","30800,550","30800,550","30800,550","30800,550","30800,550","30800,550","30800,550","30800,550","30800,550","2800,050","30800,550"
Zysk na akcje (zl),"0,391","0,397","0,417","0,214","0,738","0,496","0,373","0,567","0,477","0,507","0,642","0,645","0,326","0,389","0,512","0,657","0,329","0,464","0,954","1,037","0,381","0,219","0,321","0,478","0,325","0,176","0,004","0,390","-0,158","0,036","0,227","0,266","0,222","0,122","0,297","0,370","0,282","0,161","0,289","0,309","0,177","0,222","0,297","0,264","0,153","0,423","0,378","0,290","0,140","0,181","0,205","0,429","0,055","0,040","0,074","0,111","0,048","0,027","0,053","0,053","0,000","0,002","-0,005","0,022","0,000","0,000","0,000","0,000","0,588","0,000"
