index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),48672,38434,42684,43795,53304,41255,41796,39631,51891,40292,44335,41867,48844,36159,42181,40309,38995,28099,26444,46630,0
Zysk (strata) z dzialal. oper. (tys. zl),3786,2150,3169,1735,3080,2065,3128,1836,3197,2609,3435,1603,3604,1609,3229,2339,0,0,0,710,0
Zysk (strata) brutto (tys. zl),3533,1962,2914,1571,2748,1797,2876,1828,1846,2398,3212,1377,2907,1462,1901,1089,2769,1737,-256,345,0
Zysk (strata) netto (tys. zl),2394,1175,1988,863,1946,1105,1899,1137,640,1488,2292,877,1387,548,1047,337,2204,1377,-280,446,0
Amortyzacja (tys. zl),335,310,298,310,722,271,286,314,160,224,175,268,1263,1203,235,227,0,114,108,0,0
EBITDA (tys. zl),4121,2460,3467,2045,3802,2336,3414,2150,3357,2833,3610,1871,4867,2812,3464,2566,0,114,108,710,0
Aktywa (tys. zl),133516,133853,135937,138458,134820,123538,122913,120736,127652,115916,121525,120172,127630,113787,121296,116077,94684,88752,139078,129899,97
Kapital wlasny (tys. zl),85291,86493,89353,89589,82826,83103,85500,86887,75601,72682,79473,80419,61490,68211,72496,72345,55685,57720,56801,56595,97
Liczba akcji (tys. szt.),"59053,455","59053,455","57019,642","57019,642","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455","59053,455"
Zysk na akcje (zl),"0,041","0,020","0,035","0,015","0,033","0,019","0,032","0,019","0,011","0,025","0,039","0,015","0,023","0,009","0,018","0,006","0,037","0,023","-0,005","0,008","0,000"
Wartosc ksiegowa na akcje (zl),"1,444","1,465","1,567","1,571","1,403","1,407","1,448","1,471","1,280","1,231","1,346","1,362","1,041","1,155","1,228","1,225","0,943","0,977","0,962","0,958","0,002"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
