index,I Q 2009,II Q 2009,III Q 2009,IV Q 2009,I Q 2008,II Q 2008,III Q 2008,IV Q 2008,I Q 2007,II Q 2007,III Q 2007,IV Q 2007,IV Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),40745,37656,32521,45274,42238,37568,35108,53594,7285,14439,27180,46201,9370
Zysk (strata) z dzialal. oper. (tys. zl),7107,4944,5854,8853,8449,4885,4569,10666,538,3401,2239,8541,573
Zysk (strata) brutto (tys. zl),7519,5236,6138,9152,8641,5088,4920,11099,847,3438,2199,8615,1068
Zysk (strata) netto (tys. zl),6042,4159,4926,7300,6995,3074,2915,8950,847,2606,2199,6976,1336
Amortyzacja (tys. zl),2627,2366,2402,2562,2293,2358,2403,2877,638,966,1622,1613,0
EBITDA (tys. zl),9734,7310,8256,11415,10742,7243,6972,13543,1176,4367,3861,10154,573
Aktywa (tys. zl),276834,267484,0,288916,208082,261348,0,283941,71052,0,0,215306,42491
Kapital wlasny (tys. zl),257022,247139,0,259371,178039,237981,0,250980,36013,0,0,171043,35166
Liczba akcji (tys. szt.),"33418,193","33418,193","33418,193","33418,193","28613,914","33418,193","33418,193","33418,193","23013,914","23013,914","23013,914","28613,914","23013,914"
Zysk na akcje (zl),"0,181","0,124","0,147","0,218","0,244","0,092","0,087","0,268","0,037","0,113","0,096","0,244","0,058"
Wartosc ksiegowa na akcje (zl),"7,691","7,395","0,000","7,761","6,222","7,121","0,000","7,510","1,565","0,000","0,000","5,978","1,528"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N
