index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),2196000,1844400,1926200,1902300,1832600,1592000,1713100,1755100,1700700,1413900,1499100,1486300,1534200,1345200,1402900,1368900,1436600,1273800,1393000,1328100,1045900,1196900,1143300,1183200,935654,690600,761800,739400,867432,710025,707326,697247,465060,414604,753278,751462,141505,209761,292076,315502,258434,102739,114072,139371,223138,95571,78521,100708,144982,74880,89645,94350,135882,99532,48326,51838,202491,97051,59376,57004,0,72361,100490,70342,0,0,0,0,228604,0
Zysk (strata) z dzialal. oper. (tys. zl),211600,186000,176400,204000,177500,164300,168600,200700,126000,144800,150500,163900,156400,167500,158400,150300,140200,170500,163900,161000,153600,181600,160100,162700,134006,121400,132400,158700,160146,114560,137874,139070,93629,79228,120418,139342,13508,36732,40788,65402,7916,9755,5207,16728,8844,5216,18092,20624,11902,128034,853,11661,-5723,438,-3488,-3347,8234,5173,-2898,-25170,0,-5646,1756,-11004,0,0,0,0,34120,0
Zysk (strata) brutto (tys. zl),236000,163200,176100,187300,180900,162900,144400,198400,111400,164100,142800,162200,158800,155800,151800,141700,182200,185100,167900,152800,94600,180800,155900,195300,136968,132800,106500,160200,156534,104656,125889,145275,88556,77083,147375,122238,32560,34966,46468,65448,14733,10504,7106,24624,-8109,4611,17038,16050,3771,132865,-6129,1858,-18907,2272,-2835,-3506,-5303,2448,-10628,-127508,0,-841,-4396,-3648,0,0,0,0,15548,0
Zysk (strata) netto (tys. zl),126000,65600,77300,81700,89900,77400,60000,102100,45300,96600,86600,85300,92500,92400,87500,81300,106600,104500,90700,82900,99100,97200,85500,107800,94600,95500,109900,109700,100057,75051,101403,102312,58760,51011,99755,76854,28717,24436,32727,44990,11361,8638,6796,30414,-3162,2922,16149,13553,10140,3029,-4840,3267,-14873,723,-4033,-4622,-6581,-888,-9008,-129986,0,-2386,-4837,-5545,0,0,0,0,20175,0
Amortyzacja (tys. zl),62400,71800,71500,76700,68100,64700,66100,69300,70800,66400,69000,64900,64600,63900,66700,69300,66800,54200,60900,59300,37500,39000,46500,41700,36611,30000,28400,32200,25214,27057,28636,28239,13724,11670,33582,27117,2706,7476,7054,9605,3449,3442,3334,3286,3917,2319,1867,2183,8250,2895,4760,4327,5009,4096,5550,5733,4652,4212,4512,5144,0,4430,4962,4246,0,0,0,0,2578,0
EBITDA (tys. zl),274000,257800,247900,280700,245600,229000,234700,270000,196800,211200,219500,228800,221000,231400,225100,219600,207000,224700,224800,220300,191100,220600,206600,204400,170617,151400,160800,190900,185360,141617,166510,167309,107353,90898,154000,166459,16214,44208,47842,75007,11365,13197,8541,20014,12761,7535,19959,22807,20152,130929,5613,15988,-714,4534,2062,2386,12886,9385,1614,-20026,0,-1216,6718,-6758,0,0,0,0,36698,0
Aktywa (tys. zl),12052100,11803900,11921200,11763400,10683700,10937000,10948600,11315100,9968500,10258100,10029800,10139100,9642800,9745900,9821300,9642500,9483800,9492100,9721000,9293800,8465900,7823900,8182500,0,5748456,5707000,5915400,0,5728554,5811048,5488509,0,3256111,3505394,5017470,0,685567,2004733,2132037,0,696973,580276,576043,0,530397,672628,0,0,249724,529664,257213,340673,302231,210734,226046,227539,484324,422684,385750,245735,401156,359072,392290,343480,171755,214731,221362,221900,522809,157825
Kapital wlasny (tys. zl),5361800,5436200,5315800,5388200,5282900,5255000,5131700,5217000,5247500,5350700,5210200,5226500,5157500,5305300,5254700,5254800,4861300,4865300,4797800,4790600,4459400,4569500,4494000,0,3715527,3702900,3976100,0,3402864,3563601,3537623,0,1923068,1967018,2605644,0,340283,1473293,1492493,0,283725,289523,282863,0,137241,281586,0,0,128152,136517,126147,138461,126564,126330,122297,117675,248937,248049,239041,109055,221349,266452,253144,254620,137268,163637,176700,183992,158636,120682
Liczba akcji (tys. szt.),"83000,303","83000,303","83000,303","83000,303","83000,303","83000,303","83000,303","83000,303","83000,303","83000,303","83000,303","83000,303","83000,303","83000,303","83000,303","83000,303","77565,530","77565,530","77565,530","77565,530","77565,530","77565,530","77565,530","77565,530","77565,530","77565,530","77565,530","77565,530","77565,530","77565,530","77565,530","77565,530","51090,384","51090,384","71292,980","71292,980","25174,713","46120,528","46415,528","46415,528","25174,713","25174,713","25174,713","25174,713","20950,512","20950,512","20950,512","25174,713","20950,512","20950,512","20950,512","20950,512","17413,992","20613,992","20613,992","20613,992","17413,992","17413,992","17413,992","17413,992","17413,992","17413,992","17413,992","17413,992","17413,992","17413,992","17413,992","17413,992","20950,512","17413,992"
Zysk na akcje (zl),"1,518","0,790","0,931","0,984","1,083","0,933","0,723","1,230","0,546","1,164","1,043","1,028","1,114","1,113","1,054","0,980","1,374","1,347","1,169","1,069","1,278","1,253","1,102","1,390","1,220","1,231","1,417","1,414","1,290","0,968","1,307","1,319","1,150","0,998","1,399","1,078","1,141","0,530","0,705","0,969","0,451","0,343","0,270","1,208","-0,151","0,139","0,771","0,538","0,484","0,145","-0,231","0,156","-0,854","0,035","-0,196","-0,224","-0,378","-0,051","-0,517","-7,464","0,000","-0,137","-0,278","-0,318","0,000","0,000","0,000","0,000","0,963","0,000"
