index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,II Q 2007,IV Q 2007,II Q 2008,III Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),139718,119873,140165,131172,165473,98553,121847,127087,150141,99281,121017,115159,137311,100633,112628,106999,146299,105278,116496,103369,149823,97976,101446,116146,126490,92298,100329,107886,109412,114629,110032,85503,0,0,0,82312
Zysk (strata) z dzialal. oper. (tys. zl),14406,10216,13745,12492,15766,9867,14157,14667,13456,8004,10549,11913,16271,9857,9037,9765,18792,12348,12118,11857,16344,11119,10036,14955,16601,9616,11873,13235,12314,16576,15010,7558,-3,0,0,11514
Zysk (strata) brutto (tys. zl),15225,10212,13767,12559,15849,10146,13946,14347,13584,8027,10543,11798,16555,10401,9914,9470,20661,13854,12616,11613,15324,13394,12656,15388,16732,9368,11674,15430,10408,15847,16113,6945,-3,0,0,9344
Zysk (strata) netto (tys. zl),11088,8149,12227,10916,13672,8129,11649,12714,12154,7015,9110,9238,14957,7808,7374,8613,18341,12708,10996,10965,12593,12115,11048,13260,13282,8173,9811,13070,5766,8444,11743,4807,-3,0,0,4905
Amortyzacja (tys. zl),8338,8683,9142,9412,6513,6909,7253,7799,3708,4626,5658,6215,3071,3275,3487,3466,2471,2459,2619,2658,1849,1980,2089,2204,1035,1500,1573,1573,1009,1113,1125,1225,0,0,0,775
EBITDA (tys. zl),22744,18899,22887,21904,22279,16776,21410,22466,17164,12630,16207,18128,19342,13132,12524,13231,21263,14807,14737,14515,18193,13099,12125,17159,17636,11116,13446,14808,13323,17689,16135,8783,-3,0,0,12289
Aktywa (tys. zl),850030,842533,905305,868014,848297,798338,830847,822561,776815,779292,815382,792790,759840,773456,820648,738399,821016,759457,803579,752377,728634,717949,732843,0,683113,635627,675801,0,631803,665524,0,0,0,270443,594964,0
Kapital wlasny (tys. zl),689309,677848,710976,703578,679006,643549,663198,677452,648253,656759,651892,657907,664672,691336,670872,651183,705811,663405,662377,654627,597264,620720,620180,0,578509,551192,575975,0,296853,325075,0,0,0,-227,84297,0
Liczba akcji (tys. szt.),"51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","51894,251","50992,132","50992,132","51894,251","51894,251","48037,450","49561,719","49561,719","49561,719","25770,009","25770,009","25770,009","25770,009","25770,009","25770,009","25770,009","25770,009"
Zysk na akcje (zl),"0,214","0,157","0,236","0,210","0,263","0,157","0,224","0,245","0,234","0,135","0,176","0,178","0,288","0,150","0,142","0,166","0,353","0,245","0,212","0,211","0,247","0,238","0,213","0,256","0,276","0,165","0,198","0,264","0,224","0,328","0,456","0,187","0,000","0,000","0,000","0,190"
Wartosc ksiegowa na akcje (zl),"13,283","13,062","13,700","13,558","13,084","12,401","12,780","13,054","12,492","12,656","12,562","12,678","12,808","13,322","12,928","12,548","13,601","12,784","12,764","12,615","11,713","12,173","11,951","0,000","12,043","11,121","11,621","0,000","11,519","12,614","0,000","0,000","0,000","-0,009","3,271","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
