index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,I Q 2014,II Q 2014,II Q 2014,III Q 2014,I Q 2013,II Q 2013,III Q 2013,IV Q 2013,I Q 2012,II Q 2012,III Q 2012,IV Q 2012,I Q 2011,II Q 2011,III Q 2011,IV Q 2011,I Q 2010,II Q 2010,III Q 2010,IV Q 2010,I Q 2009,II Q 2009,III Q 2009,IV Q 2009,I Q 2008,II Q 2008,III Q 2008,IV Q 2008,I Q 2007,II Q 2007,III Q 2007,IV Q 2007,I Q 2006,II Q 2006,III Q 2006,IV Q 2006,IV Q 2003,IV Q 2004,IV Q 2005
Przychody netto ze sprzedaÅ¼y (tys. euro),106134,80250,112608,70254,104848,76320,98729,80443,99970,132137,131062,63028,88118,137204,104266,44732,64320,78242,108392,158249,50752,65393,85227,119991,44905,65393,51958,68234,21618,54410,28883,52969,19923,22697,28429,52333,14489,15324,24955,32789,10906,11641,15967,31780,0,0,20880
Zysk (strata) z dzialal. oper. (tys. euro),16468,36144,59227,12655,4632,36257,41289,13985,31474,63159,69595,-14211,16957,46879,19945,-49732,12366,47138,38021,-35927,21731,37459,37351,-2596,19456,38675,41561,2855,2206,23894,8482,11881,6727,10352,9359,-4884,15772,21689,21596,29459,2964,13326,11675,29226,0,0,288
Zysk (strata) brutto (tys. euro),-11640,18385,58380,2521,-50121,-30011,51034,4654,-42840,48488,54795,-29018,11268,41233,29721,-59598,8770,42852,31670,-38451,20452,39118,36619,-6193,19289,39118,37833,-233,271,22737,2662,8797,5040,12601,2237,-30681,15576,18598,24208,27722,2064,12696,11639,28762,0,0,-138
Zysk (strata) netto (tys. euro),-11093,18797,56426,3397,-50718,-28887,51647,4277,-42863,48226,54533,-29013,11479,40886,30095,-60130,8645,44308,31332,-38494,20156,36552,36780,-5931,19893,36552,38193,992,945,20975,2356,8374,4916,12089,2982,-27656,3353,4724,10749,2666,1683,1207,4209,-1764,0,0,-1305
Amortyzacja (tys. euro),5514,7006,6811,7163,6491,5622,5445,5520,7544,5554,5554,5778,6429,6447,6556,7701,5975,5977,6613,6633,3653,3790,4566,5465,3570,4286,4448,894,2120,5736,-1659,1981,1864,1974,2314,3256,1359,1237,1357,1587,1414,1130,717,1181,0,0,0
EBITDA (tys. euro),21982,43150,66038,19818,11123,41879,46734,19505,39018,68713,75149,-8433,23386,53326,26501,-42031,18341,53115,44634,-29294,25384,41249,41917,2869,23026,42961,46009,3749,4326,29630,6823,13862,8591,12326,11673,-1628,17131,22926,22953,31046,4378,14456,12392,30407,0,0,288
Aktywa (tys. euro),491639,446831,510342,529237,506540,427942,452809,451199,528131,523291,519466,515832,673579,694771,709585,692993,568900,638269,668362,651241,385621,428339,0,570225,265045,316699,0,352639,171947,0,0,231414,169244,0,0,173692,122002,129978,0,172695,73528,81675,0,119117,37452,47896,0
Kapital wlasny (tys. euro),240477,232063,305356,294225,220214,143977,208383,207374,251669,283295,278051,246157,363163,398764,411527,370451,306425,370705,386044,343797,214063,245852,0,306461,148625,185123,0,208942,60265,0,0,118433,95836,0,0,56644,64043,68446,0,98060,31315,37485,0,61800,16560,18209,0
Liczba akcji (tys. szt.),"2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","25000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","2500000,000","20000,000","20000,000","2500000,000","2500000,000","20000,000","20000,000","20000,000"
Zysk na akcje (euro),"-0,004","0,008","0,023","0,001","-0,020","-0,012","0,021","0,002","-0,017","1,929","0,022","-0,012","0,005","0,016","0,012","-0,024","0,003","0,018","0,013","-0,015","0,008","0,015","0,015","-0,002","0,008","0,015","0,015","0,000","0,000","0,008","0,001","0,003","0,002","0,005","0,001","-0,011","0,001","0,002","0,004","0,001","0,084","0,060","0,002","-0,001","0,000","0,000","-0,065"
Wartosc ksiegowa na akcje (euro),"0,096","0,093","0,122","0,118","0,088","0,058","0,083","0,083","0,101","11,332","0,111","0,098","0,145","0,160","0,165","0,148","0,123","0,148","0,154","0,138","0,086","0,098","0,000","0,123","0,059","0,074","0,000","0,084","0,024","0,000","0,000","0,047","0,038","0,000","0,000","0,023","0,026","0,027","0,000","0,039","1,566","1,874","0,000","0,025","0,828","0,910","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
