index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,II Q 2011,III Q 2011
Przychody netto ze sprzedaÅ¼y (tys. zl),88393,31752,55945,49419,85538,44292,50488,92804,78212,38031,36415,47313,60577,28745,64270,51778,89477,36277,55277,36909,0,57407
Zysk (strata) z dzialal. oper. (tys. zl),10893,-2350,5348,3363,10951,-1188,638,4284,7398,458,-229,2521,5548,-940,2981,6094,3100,556,2772,605,0,4658
Zysk (strata) brutto (tys. zl),10436,-2965,4954,3267,10163,-1897,199,4493,7414,215,-641,1961,5347,-1289,3127,6081,1673,383,1261,747,0,2843
Zysk (strata) netto (tys. zl),8059,-2250,3659,2831,7520,-1459,-98,3748,5331,54,-710,1412,4180,-1307,2618,4631,1334,272,841,6118,0,2284
Amortyzacja (tys. zl),1460,1523,1559,1592,1587,1618,1625,1536,1580,1528,1489,1495,1590,1449,1501,1487,761,519,1151,1521,0,719
EBITDA (tys. zl),12353,-827,6907,4955,12538,430,2263,5820,8978,1986,1260,4016,7138,509,4482,7581,3861,1075,3923,2126,0,5377
Aktywa (tys. zl),178224,130373,135865,146449,161333,126335,128694,207322,155476,125113,112132,111884,129663,110148,160152,115548,116258,83943,132897,110369,65126,0
Kapital wlasny (tys. zl),64164,61960,58553,61385,59182,57769,51637,55386,61252,61367,50132,51600,52568,51308,51117,55832,28074,28432,47764,48347,24401,0
Liczba akcji (tys. szt.),"36343,344","36343,344","36343,344","36343,344","36343,344","36343,344","36343,344","36343,344","36343,344","36343,344","36343,344","36343,344","36343,344","36343,344","36343,344","36343,344","4933,865","4933,865","36343,344","36343,344","4933,865","4933,865"
Zysk na akcje (zl),"0,222","-0,062","0,101","0,078","0,207","-0,040","-0,003","0,103","0,147","0,001","-0,020","0,039","0,115","-0,036","0,072","0,127","0,270","0,055","0,023","0,168","0,000","0,463"
Wartosc ksiegowa na akcje (zl),"1,765","1,705","1,611","1,689","1,628","1,590","1,421","1,524","1,685","1,689","1,379","1,420","1,446","1,412","1,407","1,536","5,690","5,763","1,314","1,330","4,946","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
