index,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,III Q 2012,IV Q 2012,II Q 2013,III Q 2013,III Q 2011,IV Q 2011,I Q 2012,II Q 2012,III Q 2010,IV Q 2010,I Q 2011,II Q 2011,III Q 2009,IV Q 2009,I Q 2010,II Q 2010,III Q 2008,IV Q 2008,I Q 2009,II Q 2009,III Q 2007,IV Q 2007,I Q 2008,II Q 2008,IV Q 2006,I Q 2007,II Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),137,5,-5,23,8685,7996,3277,2139,27178,56406,0,14566,18631,51299,19519,34056,40457,85029,17231,24003,15401,30075,6752,16267,16797,23378,13186,10072,7236,14977,13210,13406,0,6414,10658
Zysk (strata) z dzialal. oper. (tys. zl),-2557,-91,-13332,0,-3279,-693,-405,786,-2079,3421,0,-1455,-526,2386,-3888,-3288,-48,3808,-390,66,29,967,-1463,215,661,2380,-34,-611,6056,1331,272,295,0,95,303
Zysk (strata) brutto (tys. zl),-2557,-4360,-9061,-3,-3364,-991,-432,785,-1967,2772,0,-1557,-674,942,-3986,-3466,-399,3620,-494,-58,-59,875,-1525,125,591,2088,-175,-683,6076,1330,282,270,0,116,340
Zysk (strata) netto (tys. zl),-2557,-4360,-9061,-3,-3352,-965,-797,785,-1234,2050,0,-1531,-594,365,-3574,-4013,-252,2855,-380,-93,-134,747,-1379,164,409,1495,-245,-801,12,1081,161,199,0,92,286
Amortyzacja (tys. zl),26,188,0,0,-1,56,0,0,295,118,0,95,310,299,471,162,394,365,302,333,246,327,250,242,240,462,256,248,63,176,183,276,0,83,55
EBITDA (tys. zl),-2531,97,-13332,0,-3280,-637,-405,786,-1784,3539,0,-1360,-216,2685,-3417,-3126,346,4173,-88,399,275,1294,-1213,457,901,2842,222,-363,6119,1507,455,571,0,178,358
Aktywa (tys. zl),11905,7905,134,182,16952,16156,9868,12898,44624,66854,21649,23937,40339,67922,38042,52735,51587,96440,37347,45833,32892,40456,24172,33871,32722,35379,30481,28466,13032,30215,24147,28930,12853,14122,13947
Kapital wlasny (tys. zl),-1644,-6003,-13294,-13297,830,-3,126,914,10299,12348,5713,4182,18714,19120,16079,11534,26641,27071,19441,19349,15786,16629,15011,15651,15476,16843,16698,15802,7260,14596,14526,15010,2858,7165,7247
Liczba akcji (tys. szt.),"2477,286","2477,286","2477,286","2477,286","1415,594","1547,094","2477,288","2477,286","1415,594","1415,594","1415,594","1415,594","1415,594","1415,594","1415,594","1415,594","1396,615","1396,615","1415,594","1415,594","946,616","946,616","946,616","946,616","936,047","936,047","936,047","936,047","810,000","936,047","936,047","936,047","693,000","810,000","810,000"
Zysk na akcje (zl),"-1,032","-1,760","-3,658","-0,001","-2,368","-0,624","-0,322","0,317","-0,872","1,448","0,000","-1,082","-0,420","0,258","-2,525","-2,835","-0,180","2,044","-0,268","-0,066","-0,142","0,789","-1,457","0,173","0,437","1,597","-0,262","-0,856","0,015","1,155","0,172","0,213","0,000","0,114","0,353"
Wartosc ksiegowa na akcje (zl),"-0,664","-2,423","-5,366","-5,368","0,586","-0,002","0,051","0,369","7,275","8,723","4,036","2,954","13,220","13,507","11,358","8,148","19,075","19,383","13,733","13,668","16,676","17,567","15,858","16,534","16,533","17,994","17,839","16,882","8,963","15,593","15,518","16,036","4,124","8,846","8,947"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
