index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2007,IV Q 2008,II Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),0,0,0,0,295,0,0,0,1580,1517,1563,1046,3339,2737,1884,1572,11339,11311,9453,5178,9677,10219,12231,12683,0,4357,5064,17896,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-100,-16,478,-55012,-4167,-128,-174,-447,-1426,-1759,-1508,-1286,-1513,-435,-1132,-802,1156,1394,939,-312,2896,2212,2414,2748,0,938,461,2722,0,0,0
Zysk (strata) brutto (tys. zl),-100,-19,478,-55012,-9352,-128,-174,-449,-902,-1569,-1545,-704,-1529,-464,-1006,-711,1299,2095,1013,-419,2967,2301,2467,2525,0,965,510,2847,0,0,0
Zysk (strata) netto (tys. zl),-100,-19,478,-55012,-9250,-128,-174,-449,-953,-1653,-1593,-744,-1432,-466,-1002,-759,747,1649,803,-229,2137,2010,2089,2056,0,965,473,2291,0,0,0
Amortyzacja (tys. zl),5,6,5,5,14,6,7,6,41,96,57,65,42,38,38,41,38,34,42,44,44,28,40,36,0,18,19,22,0,0,0
EBITDA (tys. zl),-95,-10,483,-55007,-4153,-122,-167,-441,-1385,-1663,-1451,-1221,-1471,-397,-1094,-761,1194,1428,981,-268,2940,2240,2454,2784,0,956,480,2744,0,0,0
Aktywa (tys. zl),82,77,70,74,464,725,490,102,9742,8545,8065,7760,13638,12932,11658,10431,21463,23698,15486,0,12611,23463,18807,0,5731,6337,7050,0,6266,3995,4096
Kapital wlasny (tys. zl),-6933,-6952,-6474,-61486,-6399,-6527,-6384,-6833,6841,5188,3596,2851,11111,10646,9435,8672,17483,19132,12835,0,9973,19673,14505,0,4109,5075,5547,0,5113,2986,3568
Liczba akcji (tys. szt.),"1741,409","1741,409","1741,409","1741,409","1493,100","1583,100","1741,409","1741,409","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100","1493,100"
Zysk na akcje (zl),"-0,057","-0,011","0,274","-31,591","-6,195","-0,081","-0,100","-0,258","-0,638","-1,107","-1,067","-0,498","-0,959","-0,312","-0,671","-0,508","0,500","1,104","0,538","-0,153","1,431","1,346","1,399","1,377","0,000","0,646","0,317","1,534","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"-3,981","-3,992","-3,718","-35,308","-4,286","-4,123","-3,666","-3,924","4,582","3,475","2,408","1,909","7,442","7,130","6,319","5,808","11,709","12,814","8,596","0,000","6,679","13,176","9,715","0,000","2,752","3,399","3,715","0,000","3,424","2,000","2,390"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
