index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2006,IV Q 2007,IV Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),91692,75930,100790,117507,95271,91879,120280,134354,79454,66774,88712,112487,46891,40149,57610,68016,52284,37311,43626,54201,39893,34288,47041,58546,0,25579,40327,49785,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-1637,-2272,2577,5302,912,-2219,3910,8505,-3441,-5277,329,6800,-4221,-2985,565,2266,0,-2010,0,351,0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) brutto (tys. zl),-2477,-3257,1798,4975,-970,-3479,3326,7585,-3576,-7321,-160,5237,-4429,-3192,-170,2059,-582,-2093,-2456,83,-814,-2045,2461,4293,0,-3698,2962,4453,0,0,0
Zysk (strata) netto (tys. zl),-3087,-3111,1222,4765,-1189,-3473,2604,6640,-3959,-6913,-382,4619,-5262,-2993,-518,1814,-355,-2130,-1109,72,-658,-2063,2191,4295,0,-3710,2867,4130,0,0,0
Amortyzacja (tys. zl),2207,1676,1700,1739,1668,1682,1783,1853,1439,1558,1629,1764,1252,987,1023,1267,0,728,1123,1158,0,0,0,0,0,0,0,0,0,0,0
EBITDA (tys. zl),570,-596,4277,7041,2580,-537,5693,10358,-2002,-3719,1958,8564,-2969,-1998,1588,3533,0,-1282,1123,1509,0,0,0,0,0,0,0,0,0,0,0
Aktywa (tys. zl),94294,94067,98804,103220,98349,93256,107074,98189,91328,88630,103367,101343,48135,53439,63657,67306,52379,48455,52967,55553,43932,44534,42569,49330,45517,48061,43991,46899,28441,39306,46002
Kapital wlasny (tys. zl),8973,5529,6889,10593,6503,2538,5458,11559,12358,5183,4551,7874,16856,13803,13676,15433,25791,23558,22078,22095,15951,15730,22553,26873,14531,11221,14107,18312,16375,25366,21179
Liczba akcji (tys. szt.),"11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","11256,577","10711,200","10711,200","11256,577","11256,577","10711,200","10711,200","10711,200","10711,200","10711,200","10711,200","10711,200"
Zysk na akcje (zl),"-0,274","-0,276","0,109","0,423","-0,106","-0,309","0,231","0,590","-0,352","-0,614","-0,034","0,410","-0,467","-0,266","-0,046","0,161","-0,032","-0,189","-0,099","0,006","-0,061","-0,193","0,195","0,382","0,000","-0,346","0,268","0,386","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"0,797","0,491","0,612","0,941","0,578","0,225","0,485","1,027","1,098","0,460","0,404","0,700","1,497","1,226","1,215","1,371","2,291","2,093","1,961","1,963","1,489","1,469","2,004","2,387","1,357","1,048","1,317","1,710","1,529","2,368","1,977"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
