index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,I Q 2006,II Q 2006,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),4844,26903,19246,13655,15631,1019,889,1284,11767,5303,10057,866,9286,10332,18008,13548,8757,7311,12860,17062,3112,18933,8308,2707,0,0,0,0,72,568,591,267,1036,663,693,13871,30,925,934,981,1688,1582,764
Zysk (strata) z dzialal. oper. (tys. zl),-3694,1410,445,-562,25409,-3496,-130,-2934,-7357,-4239,-1902,-3685,-19032,-2434,-1601,-2742,1161,-2598,9568,522,9229,21340,-2071,2797,-4190,-1025,25173,-4292,-1974,-971,-1493,-780,-1466,-1132,-1596,11950,534,180,-235,-17,1236,1051,93
Zysk (strata) brutto (tys. zl),-1369,-155,-2054,-1123,-9485,-3218,2710,-1093,-9139,-624,302,-4180,-455,2974,-697,3301,410,331,5770,-76,4217,20904,-2213,2814,-4681,-769,25840,-4306,-2040,-1136,-1589,-829,186,-1706,-605,12101,759,224,-203,-626,1236,1063,866
Zysk (strata) netto (tys. zl),-784,-1066,-2216,-1562,-8189,-3776,2707,-1537,15397,-1203,443,-4873,-610,1094,-338,1183,11,-758,3508,-385,-2293,16825,-2570,1551,-5180,-637,21111,-4635,-1539,-1439,-1438,-1003,591,-1677,-459,12026,625,-36,-313,-863,1236,1442,755
Amortyzacja (tys. zl),0,0,0,0,0,0,0,0,173,0,0,0,117,127,134,148,67,64,67,133,42,38,68,54,41,37,36,39,-412,49,37,37,54,56,63,58,21,47,42,43,16,11,10
EBITDA (tys. zl),-3694,1410,445,-562,25409,-3496,-130,-2934,-7184,-4239,-1902,-3685,-18915,-2307,-1467,-2594,1228,-2534,9635,655,9271,21378,-2003,2851,-4149,-988,25209,-4253,-2386,-922,-1456,-743,-1412,-1076,-1533,12008,555,227,-193,26,1252,1062,103
Aktywa (tys. zl),476710,450378,425518,418865,548262,447534,455777,480025,507740,524905,529020,542436,487066,510898,498802,508792,494936,534716,569119,0,470214,452375,454039,0,426872,461747,469330,0,415475,389616,418943,0,290009,238601,372508,0,54046,75890,142629,0,0,0,0
Kapital wlasny (tys. zl),241972,240806,238590,237281,256601,252825,244088,242172,270420,269217,269662,264790,252811,254000,253849,255028,250513,249692,253252,0,233838,250643,249035,0,196135,195498,242644,0,140190,143826,202257,0,134373,133640,132591,0,53808,53773,110266,0,0,0,0
Liczba akcji (tys. szt.),"104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","104615,650","92061,770","92061,770","104615,650","104615,650","49147,064","54061,770","92061,770","92061,770","22843,532","49147,064","49147,064","49147,064","22843,532","22843,532","22843,532","22843,532","4568,706","4568,706","4568,706"
Zysk na akcje (zl),"-0,007","-0,010","-0,021","-0,015","-0,078","-0,036","0,026","-0,015","0,147","-0,011","0,004","-0,047","-0,006","0,010","-0,003","0,011","0,000","-0,007","0,034","-0,004","-0,022","0,161","-0,025","0,015","-0,056","-0,007","0,202","-0,044","-0,031","-0,027","-0,016","-0,011","0,026","-0,034","-0,009","0,245","0,027","-0,002","-0,014","-0,038","0,271","0,316","0,165"
Wartosc ksiegowa na akcje (zl),"2,313","2,302","2,281","2,268","2,453","2,417","2,333","2,315","2,585","2,573","2,578","2,531","2,417","2,428","2,426","2,438","2,395","2,387","2,421","0,000","2,235","2,396","2,380","0,000","2,130","2,124","2,319","0,000","2,852","2,660","2,197","0,000","5,882","2,719","2,698","0,000","2,356","2,354","4,827","0,000","0,000","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
