index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),162324,164680,186369,206640,118417,125011,140247,139551,45504,67250,99969,107327,50429,59549,70386,103955,51419,57412,73974,47372
Zysk (strata) z dzialal. oper. (tys. zl),4448,6315,8254,6704,5498,4440,5979,4702,1082,2808,3118,3729,631,2282,0,3361,0,0,0,1087
Zysk (strata) brutto (tys. zl),4102,6101,7528,6461,4894,4504,5351,4373,346,2460,2897,3560,302,1995,2168,3244,1425,361,2623,1001
Zysk (strata) netto (tys. zl),3922,6060,7076,6041,4593,4469,5219,4209,362,2013,2500,3470,-61,1833,2149,3256,963,297,2538,919
Amortyzacja (tys. zl),352,379,392,544,226,268,303,286,155,179,223,233,120,114,112,119,0,130,97,119
EBITDA (tys. zl),4800,6694,8646,7248,5724,4708,6282,4988,1237,2987,3341,3962,751,2396,112,3480,0,130,97,1206
Aktywa (tys. zl),99147,113222,123181,130909,80435,88131,94755,88964,40073,58722,63952,58877,38480,54251,48636,45614,25563,37905,42424,40657
Kapital wlasny (tys. zl),62858,68410,75486,81527,45038,49507,54726,58935,31868,33881,36053,39524,24329,26162,28311,31567,18089,20762,23300,24219
Liczba akcji (tys. szt.),"5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260","5978,260"
Zysk na akcje (zl),"0,656","1,014","1,184","1,010","0,768","0,748","0,873","0,704","0,060","0,337","0,418","0,580","-0,010","0,307","0,359","0,545","0,161","0,050","0,425","0,154"
Wartosc ksiegowa na akcje (zl),"10,514","11,443","12,627","13,637","7,534","8,281","9,154","9,858","5,331","5,667","6,031","6,611","4,070","4,376","4,736","5,280","3,026","3,473","3,897","4,051"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
