index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,I Q 2010,II Q 2010,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),28582,29793,23720,29286,13229,31109,34756,27944,22748,19164,20043,15719,31313,24072,26239,26638,27965,25672,22198,22662,22273,21603,26768,21685,15992,12972,17781
Zysk (strata) z dzialal. oper. (tys. zl),3101,2518,1979,2617,53869,4192,5252,2507,5951,4197,3142,747,2832,2158,5669,1957,4156,3931,-464,3077,3543,3334,3524,2684,2602,1761,3387
Zysk (strata) brutto (tys. zl),1085,1404,-678,1615,52806,2432,3461,1096,5521,3529,2423,-25,-66,368,4383,215,2475,2197,-2392,617,2248,2376,2347,1465,2444,2006,1730
Zysk (strata) netto (tys. zl),1067,1232,-1581,1607,52195,2005,578,1813,4983,3201,2131,-131,-267,281,3542,108,1979,1758,-1992,488,1752,1879,2012,1147,1968,1638,1361
Amortyzacja (tys. zl),2732,2717,2948,2806,1169,2608,3263,1772,6666,1060,1207,6026,4289,4876,5047,6013,2746,3129,3357,3533,1615,2111,2563,2546,1047,1035,1154
EBITDA (tys. zl),5833,5235,4927,5423,55038,6800,8515,4279,12617,5257,4349,6773,7121,7034,10716,7970,6902,7060,2893,6610,5158,5445,6087,5230,3649,2796,4541
Aktywa (tys. zl),202028,212429,207692,216105,233957,224370,228135,219776,89606,182745,181989,170013,159265,177481,180211,181670,146022,156455,153518,157684,100104,129826,123794,124435,72964,92099,100804
Kapital wlasny (tys. zl),76950,79314,75160,78467,83053,85058,87885,89499,27417,63614,63333,63394,51835,63237,66779,66887,47342,49099,47107,56289,41853,43732,45744,46891,31108,32508,40131
Liczba akcji (tys. szt.),"64468,029","64468,029","64468,029","64468,029","64468,029","64468,029","64468,029","64468,029","8308,029","8308,029","8308,029","8308,029","6378,259","8308,029","8308,029","8308,029","5308,029","5308,029","5308,029","6378,259","5308,029","5308,029","5308,029","5308,029","4280,029","4708,029","5308,029"
Zysk na akcje (zl),"0,017","0,019","-0,025","0,025","0,810","0,031","0,009","0,028","0,600","0,385","0,256","-0,016","-0,042","0,034","0,426","0,013","0,373","0,331","-0,375","0,077","0,330","0,354","0,379","0,216","0,460","0,348","0,256"
Wartosc ksiegowa na akcje (zl),"1,194","1,230","1,166","1,217","1,288","1,319","1,363","1,388","3,300","7,657","7,623","7,630","8,127","7,612","8,038","8,051","8,919","9,250","8,875","8,825","7,885","8,239","8,618","8,834","7,268","6,905","7,560"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
