index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004, Q 0000,IV Q 2001,IV Q 2002
Przychody netto ze sprzedaÅ¼y (tys. zl),755416,534600,864900,664700,679201,431900,607600,512400,583404,359691,496199,473968,435820,221223,422337,416175,364415,256605,326411,298621,320378,184925,299332,242588,270381,195708,244546,267927,221523,162561,259577,229889,164772,138866,201101,200429,127362,104307,145981,129433,99161,68093,119014,92342,81946,62476,94821,76283,56333,58943,70203,66894,81946,0,0
Zysk (strata) z dzialal. oper. (tys. zl),118295,-4800,138000,25200,98798,10400,92100,24300,94972,5035,87173,52228,58121,-33904,73070,33380,80610,8465,50488,24260,50056,-1907,57468,22881,45838,9172,38729,31161,32381,7493,39245,15583,19749,20377,43580,35540,16310,15841,26622,11420,18765,4967,27768,11194,13240,7696,16702,12027,4593,4400,9160,3811,13533,0,0
Zysk (strata) brutto (tys. zl),114318,-14700,142400,9500,95059,900,88100,18800,89195,2211,82492,45374,54174,-37376,71057,28400,78336,4595,47178,20375,49635,-3674,55500,21212,43760,7199,36326,29449,30666,4702,37876,13339,18022,18021,40567,33099,17615,14025,20544,10184,18835,4799,29279,11218,12240,7455,16899,11771,2716,3075,7295,2209,12207,0,0
Zysk (strata) netto (tys. zl),105222,-19500,131600,8200,309939,6400,101300,33800,70419,416,69757,40244,43470,-39664,69167,25295,63994,2678,42775,17391,41055,-6234,47917,17099,37049,5090,47762,23949,26418,4601,30886,11067,17319,17110,32713,27234,14101,11010,17217,8355,16907,4164,24017,9068,10143,5380,13240,8550,1575,2464,5028,2621,10110,0,0
Amortyzacja (tys. zl),23500,16200,13000,21500,23373,14200,16300,12900,9677,10805,10502,8020,14698,8709,7948,9569,6475,6691,8585,9006,5835,5863,5912,5992,5304,5698,5151,5482,4287,4087,4336,4619,3272,2697,3214,2828,1532,1742,1947,2172,1118,1251,1293,1329,372,786,963,1028,314,427,925,673,141,0,0
EBITDA (tys. zl),141795,11400,151000,46700,122171,24600,108400,37200,104649,15840,97675,60248,72819,-25195,81018,42949,87085,15156,59073,33266,55891,3956,63380,28873,51142,14870,43880,36643,36668,11580,43581,20202,23021,23074,46794,38368,17842,17583,28569,13592,19883,6218,29061,12523,13612,8482,17665,13055,4907,4827,10085,4484,13674,0,0
Aktywa (tys. zl),2072000,2286000,2433400,2596900,1794200,1911100,1804506,1847625,1119727,1362966,1670986,1562502,978114,937658,1005447,1122165,965613,1003609,965687,974908,678222,752802,816469,0,551125,574865,594822,0,491597,539200,556692,0,326550,425741,460313,0,240882,301978,303915,0,204491,217596,218064,0,181673,206863,182760,0,110108,137341,0,0,180110,101991,135793
Kapital wlasny (tys. zl),1123630,1101900,938400,992100,952230,960800,955901,1000607,591856,592382,601993,642122,528711,488227,497669,523294,495085,498591,468690,485632,422848,418343,410481,0,340209,345341,354806,0,295157,299031,292022,0,192828,208152,240665,0,183441,194658,173589,0,168704,172403,158379,0,125757,130951,143940,0,28083,32286,0,0,124517,21001,22757
Liczba akcji (tys. szt.),"38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","38400,000","32000,000","32000,000","32000,000","32000,000","38400,000","32000,000","32000,000"
Zysk na akcje (zl),"2,740","-0,508","3,427","0,214","8,071","0,167","2,638","0,880","1,834","0,011","1,817","1,048","1,132","-1,033","1,801","0,659","1,667","0,070","1,114","0,453","1,069","-0,162","1,248","0,445","0,965","0,133","1,244","0,624","0,688","0,120","0,804","0,288","0,451","0,446","0,852","0,709","0,367","0,287","0,448","0,218","0,440","0,108","0,625","0,236","0,264","0,140","0,345","0,223","0,049","0,077","0,157","0,082","0,263","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"29,261","28,695","24,438","25,836","24,798","25,021","24,893","26,057","15,413","15,427","15,677","16,722","13,769","12,714","12,960","13,627","12,893","12,984","12,205","12,647","11,012","10,894","10,690","0,000","8,860","8,993","9,240","0,000","7,686","7,787","7,605","0,000","5,022","5,421","6,267","0,000","4,777","5,069","4,521","0,000","4,393","4,490","4,124","0,000","3,275","3,410","3,748","0,000","0,878","1,009","0,000","0,000","3,243","0,656","0,711"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
