index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2007,IV Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),4883,4726,4979,4925,4069,4672,4374,4806,1522,3945,3274,3779,3243,4086,3752,4521,9292,4292,6165,3028,10862,10466,8826,13046,30107,12679,15945,7130,0,0
Zysk (strata) z dzialal. oper. (tys. zl),59388,864,3289,-4762,59153,-8415,6930,269,-18859,-2884,-3028,52434,-48276,-2686,-4292,-8562,-227107,-11618,-101661,-7333,32513,-9539,-8318,-5636,137114,-19710,217,-27910,0,0
Zysk (strata) brutto (tys. zl),56020,-1776,-802,-3382,63621,27029,-29151,-480,-19068,-5037,-4509,50762,-50472,-5111,-8882,-7472,-261151,-3874,-103400,-7793,34892,-11216,-9222,-5027,124014,3478,-31208,-4162,0,0
Zysk (strata) netto (tys. zl),48037,-2102,-1566,-3168,60843,28716,-29564,-841,-19466,-5315,-3987,52933,-50698,-5588,-11422,-6584,-259190,-2606,-102367,-7173,30267,-12565,-10162,-4281,91746,17207,49767,-15394,0,0
Amortyzacja (tys. zl),0,0,0,0,27,0,0,0,45,43,0,0,96,82,38,5,151,127,100,50,140,127,124,134,0,134,117,124,0,0
EBITDA (tys. zl),59388,864,3289,-4762,59180,-8415,6930,269,-18814,-2841,-3028,52434,-48180,-2604,-4254,-8557,-226956,-11491,-101561,-7283,32653,-9412,-8194,-5502,137114,-19576,334,-27786,0,0
Aktywa (tys. zl),711477,710913,722855,706715,621056,684264,659093,654580,474923,474995,472362,553206,521851,521838,502157,492957,677608,676892,571070,0,951755,945019,935180,0,1096397,0,257422,0,111137,237306
Kapital wlasny (tys. zl),450831,448757,447072,443907,404493,433677,403665,402786,329362,323837,319885,372833,383621,377999,353630,347198,543281,541347,438153,0,825478,813188,803139,0,774890,0,204667,0,75684,163081
Liczba akcji (tys. szt.),"32863,203","32863,203","32863,203","32863,203","32863,203","32863,203","32863,203","32863,203","34595,597","34595,597","34595,597","34595,597","34231,466","34307,488","34307,488","34595,597","34068,252","34068,252","34068,252","34231,466","34068,252","34068,252","34068,252","34068,252","34833,295","34833,295","34833,295","34068,252","34833,295","34833,295"
Zysk na akcje (zl),"1,462","-0,064","-0,048","-0,096","1,851","0,874","-0,900","-0,026","-0,563","-0,154","-0,115","1,530","-1,481","-0,163","-0,333","-0,190","-7,608","-0,076","-3,005","-0,210","0,888","-0,369","-0,298","-0,126","2,634","0,494","1,429","-0,452","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"13,718","13,655","13,604","13,508","12,308","13,196","12,283","12,256","9,520","9,361","9,246","10,777","11,207","11,018","10,308","10,036","15,947","15,890","12,861","0,000","24,230","23,869","23,574","0,000","22,246","0,000","5,876","0,000","2,173","4,682"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
