index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2006,IV Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),28851,28343,32686,30211,-917,21081,20354,26790,2813,3033,8042,1819,-677,2859,3664,2785,11383,13980,7643,5769,19894,13324,10313,15991,9776,8669,15756,19465,0,6410,9650,13361,0,0
Zysk (strata) z dzialal. oper. (tys. zl),48448,26655,29878,22254,4941,3973,7024,6363,-8428,6175,-4664,164,-6120,282,-140,613,-18453,370,-3703,-1024,1621,1069,-5720,-1876,-517,412,1776,1581,0,-654,1725,1700,0,0
Zysk (strata) brutto (tys. zl),20971,25645,29147,19166,4267,3240,5358,3463,-4949,5694,-5923,-470,-7878,-444,767,-6687,-18976,-482,-8547,-839,714,191,-6574,-2756,-1284,-191,1070,853,0,-1272,1154,953,0,0
Zysk (strata) netto (tys. zl),13329,22452,21879,15686,4366,3061,6466,3613,-4909,4935,-4508,-496,-7521,-420,866,-6362,-18361,-1017,-7690,-840,291,-527,-7332,-1798,-560,-395,884,708,0,-1733,902,808,0,0
Amortyzacja (tys. zl),1675,1022,1068,1203,696,996,1179,639,521,481,445,318,508,413,565,456,1107,559,592,504,672,688,661,666,732,671,669,671,0,797,785,423,0,0
EBITDA (tys. zl),50123,27677,30946,23457,5637,4969,8203,7002,-7907,6656,-4219,482,-5612,695,425,1069,-17346,929,-3111,-520,2293,1757,-5059,-1210,215,1083,2445,2252,0,143,2510,2123,0,0
Aktywa (tys. zl),1207000,1254945,1321252,1332331,1122686,1130531,1144393,1180300,114947,129406,129149,127528,121612,121652,118247,118573,148156,150034,132126,132207,164978,166115,169851,0,160692,160895,161993,0,165716,0,0,0,125799,148961
Kapital wlasny (tys. zl),53157,75611,97489,113174,26688,29749,36215,44392,12496,27517,22817,22323,5192,4648,5638,16371,22260,21243,13554,12713,54910,54383,47051,0,53587,53375,54077,0,49432,0,0,0,20069,38932
Liczba akcji (tys. szt.),"53712,000","53712,000","53712,000","53712,000","53712,000","53712,000","53712,000","53712,000","32242,592","52515,592","52515,592","53712,000","11250,000","11250,000","11250,000","11523,000","11250,000","11250,000","11250,000","11250,000","11250,000","11250,000","11250,000","11250,000","10000,000","11250,000","11250,000","11250,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000"
Zysk na akcje (zl),"0,248","0,418","0,407","0,292","0,081","0,057","0,120","0,067","-0,152","0,094","-0,086","-0,009","-0,669","-0,037","0,077","-0,552","-1,632","-0,090","-0,684","-0,075","0,026","-0,047","-0,652","-0,160","-0,056","-0,035","0,079","0,063","0,000","-0,173","0,090","0,081","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"0,990","1,408","1,815","2,107","0,497","0,554","0,674","0,826","0,388","0,524","0,434","0,416","0,462","0,413","0,501","1,421","1,979","1,888","1,205","1,130","4,881","4,834","4,182","0,000","5,359","4,744","4,807","0,000","4,943","0,000","0,000","0,000","2,007","3,893"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
