index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,III Q 2014
Przychody netto ze sprzedaÅ¼y (tys. zl),167736,225616,273483,324077,46152,64469,136465,172609,0,20143,24230
Zysk (strata) z dzialal. oper. (tys. zl),1243,-273,-1370,609,3056,103,3677,999,0,122,1486
Zysk (strata) brutto (tys. zl),1061,-207,-786,618,2595,143,3597,1151,0,323,1640
Zysk (strata) netto (tys. zl),897,-527,-252,302,2086,-547,3038,846,0,165,1252
Amortyzacja (tys. zl),109,104,99,85,116,115,120,113,0,118,117
EBITDA (tys. zl),1352,-169,-1271,694,3172,218,3797,1112,0,240,1603
Aktywa (tys. zl),85945,82834,138480,134091,91518,86171,86319,88115,90705,84899,69613
Kapital wlasny (tys. zl),53441,52864,52662,52964,53379,52832,51780,52626,50582,50747,51294
Liczba akcji (tys. szt.),"9090,000","9090,000","9090,000","9090,000","9090,000","9090,000","9090,000","9090,000","9090,000","9090,000","9090,000"
Zysk na akcje (zl),"0,099","-0,058","-0,028","0,033","0,229","-0,060","0,334","0,093","0,000","0,018","0,138"
Wartosc ksiegowa na akcje (zl),"5,879","5,816","5,793","5,827","5,872","5,812","5,696","5,789","5,565","5,583","5,643"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N
