index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,I Q 2005,II Q 2005,II Q 2006,III Q 2006,I Q 2004,II Q 2004,III Q 2004,IV Q 2004,I Q 2003,II Q 2003,III Q 2003,IV Q 2003,I Q 2002,II Q 2002,III Q 2002,IV Q 2002,I Q 2001,II Q 2001,III Q 2001,IV Q 2001,II Q 1999,IV Q 1999,II Q 2000,IV Q 2000, Q 0000, Q 0000,II Q 1998,IV Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),299087,355672,369507,309745,336305,370782,353147,341788,329140,351336,367938,366967,260160,284407,337687,343035,421292,399419,428763,311332,264854,328205,398654,401496,235142,2847,443757,285517,137429,104210,307362,302254,206677,247188,241841,216537,41042,42855,89527,105931,36719,39192,0,44034,34603,42360,44437,47298,31440,50616,42556,40710,34240,40282,41147,40500,42377,47198,45005,41043,0,0,0,0,40710,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-4869,4907,24102,15342,17273,7603,10896,-577,7816,24158,16607,7987,-5933,1824,12323,6150,13110,3920,23191,3672,-23433,17280,33067,37025,-46574,-202,-14326,8253,-13073,-4168,-38497,-20392,-5827,4635,2478,-673,751,1542,-4354,1357,-182,985,0,1888,974,787,1561,2306,-2,1106,169,-450,-242,930,968,-436,1030,1031,6364,-633,0,0,0,0,-450,0,0,0
Zysk (strata) brutto (tys. zl),-730,-8696,-3514,13346,-4063,12955,-10354,-19140,-8174,6671,5740,-5915,-16178,-23737,-21289,5358,-3044,16487,-4972,3764,-25688,-2227,25903,-18629,-50421,-275,-56607,7082,-14826,13067,-12647,-16575,23090,3617,1597,-2112,156,1259,-4674,1269,-700,-2141,0,1563,334,-306,771,-59,-428,611,-39,785,-1080,49,-211,2335,-760,-370,4226,-1826,0,0,0,0,785,0,0,0
Zysk (strata) netto (tys. zl),-769,-5542,-496,11040,-5293,7344,-6943,-14459,-8814,6107,4715,-5495,-11837,-24699,-16201,1144,-4443,14367,-4402,1429,-19477,32422,101423,-13582,-38591,-7646,-44656,5534,-11767,10941,4254,-15253,23988,2694,397,-3130,165,1008,-4004,-88,-673,423,0,1266,95,-366,314,-114,-257,396,-161,791,-980,-279,-350,2553,-809,-447,3897,-1809,0,0,0,0,791,0,0,0
Amortyzacja (tys. zl),9445,8892,9316,9644,8685,8945,8649,8824,8660,8442,8659,9286,10130,9844,9706,8868,11597,10525,10434,10443,3321,11010,10843,10719,4740,106,23859,11385,2313,1966,6505,5125,2811,1978,2022,2077,474,395,706,889,719,482,0,451,725,609,624,662,540,522,518,494,973,1058,966,-833,977,950,930,1027,0,0,0,0,2578,482,0,0
EBITDA (tys. zl),4576,13799,33418,24986,25958,16548,19545,8247,16476,32600,25266,17273,4197,11668,22029,15018,24707,14445,33625,14115,-20112,28290,43910,47744,-41834,-96,9533,19638,-10760,-2202,-31992,-15267,-3016,6613,4500,1404,1225,1937,-3648,2246,537,1467,0,2339,1699,1396,2185,2968,538,1628,687,44,731,1988,1934,-1269,2007,1981,7294,394,0,0,0,0,2128,482,0,0
Aktywa (tys. zl),846311,846994,872773,846673,940517,975344,1009516,959823,910465,969977,996281,968972,914509,918305,938866,906811,979617,1024344,991451,923025,1436178,1112319,999861,0,621702,644446,659833,0,397199,1043526,829326,0,576746,508136,494492,0,68394,89905,360048,0,91644,71907,72111,0,92431,91008,94678,86830,94037,102175,93258,87285,105070,116385,109332,92752,126634,128642,124801,120186,108463,108407,116739,125112,87284,0,93186,101686
Kapital wlasny (tys. zl),147122,139375,139942,148474,166023,172147,165012,147695,115435,199891,204554,198315,164011,139282,123082,124212,164240,178793,174392,175792,83055,96947,198407,0,285515,268311,277608,0,254247,287209,356072,0,266154,268848,267725,0,25978,26986,241449,0,34845,25023,24546,0,35262,28734,30636,30463,31585,32243,33061,30445,30241,31697,31336,31848,27927,29424,32990,32382,29555,28088,29740,28667,30445,0,27458,29600
Liczba akcji (tys. szt.),"69851,487","69851,487","69851,487","70719,943","66222,248","66222,248","66222,248","66313,737","66222,248","66222,248","66222,248","66222,248","66222,248","66222,248","66222,248","66222,248","66222,248","66222,248","66222,248","66222,248","66222,248","66222,248","66222,248","66222,248","51187,167","51187,167","66222,248","66222,248","35187,167","35187,167","35187,167","51187,167","35187,167","35187,167","35187,167","35187,167","5187,167","5187,167","35187,167","35187,167","5700,886","5700,886","5187,167","5187,167","6331,487","6331,487","5700,886","5700,886","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487","6331,487",,"6331,487","6331,487"
Zysk na akcje (zl),"-0,011","-0,079","-0,007","0,156","-0,080","0,111","-0,105","-0,218","-0,133","0,092","0,071","-0,083","-0,179","-0,373","-0,245","0,017","-0,067","0,217","-0,066","0,022","-0,294","0,490","1,532","-0,205","-0,754","-0,149","-0,674","0,084","-0,334","0,311","0,121","-0,298","0,682","0,077","0,011","-0,089","0,032","0,194","-0,114","-0,003","-0,118","0,074","0,000","0,244","0,015","-0,058","0,055","-0,020","-0,041","0,063","-0,025","0,125","-0,155","-0,044","-0,055","0,403","-0,128","-0,071","0,615","-0,286","0,000","0,000","0,000","0,000","0,125",,"0,000","0,000"
