index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000,IV Q 1998,I Q 1999,II Q 1999,III Q 1999, Q 0000,I Q 1998,II Q 1998,III Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),354597,451760,453584,451280,319606,481428,458098,471461,422162,532137,496645,489417,439308,549247,469682,545087,543388,736593,421625,534272,463138,520958,540199,717041,312805,418172,395773,516268,315396,384039,358330,367385,362505,373397,363807,402311,340934,417153,378167,388714,315844,365824,392816,426236,295088,368398,366065,367366,309926,393328,368908,340602,265568,307347,340398,329779,206824,261898,247494,274365,256253,268789,252205,212228,245420,248559,267697,267746,230613,201274,223254,257720,295088,190708,229298,225572
Zysk (strata) z dzialal. oper. (tys. zl),-25377,30093,25538,19222,-29003,51895,29340,26763,11132,43735,34204,28470,23297,32329,9328,44233,23570,41884,516,44970,29251,22561,29010,59853,25098,17916,26113,37040,57958,25157,22674,30002,18404,22290,22784,13607,18331,27797,22159,4967,-1562,20198,14932,22956,3577,23220,33849,16137,31581,56217,36721,23152,27017,23798,42064,29733,-5928,16017,29301,29228,-3949,11954,3596,11341,22099,20816,25763,19915,19791,19144,8623,23000,3577,21128,19293,28576
Zysk (strata) brutto (tys. zl),-24510,27431,27456,21114,-29332,48498,34758,28073,12385,41565,34065,28083,23840,32412,13409,44347,19312,47680,-945,47882,26242,24389,29256,40647,22476,13795,16982,44828,50069,18150,18415,30698,18142,24009,20308,8406,24046,25942,21782,5216,-3133,17699,12940,21173,174,19256,34035,13440,34650,53647,41432,21556,21923,34298,37109,35694,-14964,19262,34330,33642,-7740,8944,-870,18509,20935,17991,32277,21610,24487,24106,8884,28034,174,25188,25825,32283
Zysk (strata) netto (tys. zl),-23090,28922,28999,22289,-26145,35614,36258,29628,19320,41501,40902,30688,19071,26016,25197,44993,15084,38282,-1197,38576,21007,19678,23385,32648,17988,10976,13577,36125,40390,14577,14733,24731,14492,19305,16310,6687,19365,20895,17520,4118,-2718,14260,10260,17108,-188,15488,27482,10852,32059,43398,33377,17431,16606,24585,26805,25910,-11299,13696,23545,24077,-5436,5359,-645,13310,17291,13238,23403,15663,18178,19961,6077,19322,-188,18381,17946,22788
Amortyzacja (tys. zl),23379,23282,23404,23840,22769,22811,23031,23115,19712,20653,21621,22601,17639,18355,18964,19299,18059,18183,17528,17227,16491,16622,17338,17251,15779,15953,16155,16388,13757,14638,14941,15319,11968,12282,12650,13094,10256,11246,11348,11869,10400,11359,11500,8006,9194,9293,9492,9838,9183,9199,9294,8986,9582,9759,9450,9017,10373,10504,11023,10432,9934,10228,10487,10543,10012,8675,9101,9535,11069,9814,9904,10455,2578,9342,9789,9724
EBITDA (tys. zl),-1998,53375,48942,43062,-6234,74706,52371,49878,30844,64388,55825,51071,40936,50684,28292,63532,41629,60067,18044,62197,45742,39183,46348,77104,40877,33869,42268,53428,71715,39795,37615,45321,30372,34572,35434,26701,28587,39043,33507,16836,8838,31557,26432,30962,12771,32513,43341,25975,40764,65416,46015,32138,36599,33557,51514,38750,4445,26521,40324,39660,5985,22182,14083,21884,32111,29491,34864,29450,30860,28958,18527,33455,6155,30470,29082,38300
Aktywa (tys. zl),1431948,1519780,1561055,1581051,1397302,1499954,1511443,1588106,1429478,1550564,1568055,1570208,1391969,1495350,1483206,1577221,1454724,1533748,1388127,1456178,1377530,1385947,1475008,1645324,1141820,1215661,1264573,1347067,1250577,1221161,1158241,1174047,1109280,1164453,1218284,1252224,1062759,1083530,1057466,1089908,957848,1023074,1039616,1073161,989056,969382,1059638,1004217,1038217,1088860,1087084,993724,913564,970955,1023878,998579,770084,803464,841222,851498,822522,803661,782130,769931,703720,740052,787543,783646,688315,705380,708365,705730,989056,662451,678643,662634
Kapital wlasny (tys. zl),999803,1028725,1018248,1040538,964369,999982,992762,1022390,935118,976619,959826,990514,866245,892262,870804,915798,818230,856511,809904,848480,768292,787970,770498,803146,748719,759695,711159,747284,698774,713351,706000,730730,639808,659114,653745,660433,613148,634043,621197,625316,603226,617486,576676,593783,645981,661469,595092,605944,659625,703024,628739,646170,627561,652147,601656,627566,551846,567474,586914,610990,557188,562547,549479,562789,542067,555305,546962,562624,498739,518700,505453,524776,645981,515053,457773,480562
Liczba akcji (tys. szt.),"13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750","13802,750"
Zysk na akcje (zl),"-1,673","2,095","2,101","1,615","-1,894","2,580","2,627","2,147","1,400","3,007","2,963","2,223","1,382","1,885","1,826","3,260","1,093","2,774","-0,087","2,795","1,522","1,426","1,694","2,365","1,303","0,795","0,984","2,617","2,926","1,056","1,067","1,792","1,050","1,399","1,182","0,484","1,403","1,514","1,269","0,298","-0,197","1,033","0,743","1,239","-0,014","1,122","1,991","0,786","2,323","3,144","2,418","1,263","1,203","1,781","1,942","1,877","-0,819","0,992","1,706","1,744","-0,394","0,388","-0,047","0,964","1,253","0,959","1,696","1,135","1,317","1,446","0,440","1,400","-0,014","1,332","1,300","1,651"
