index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,II Q 2004
Przychody netto ze sprzedaÅ¼y (tys. zl),46745,47086,53461,56388,59577,49384,47645,54134,72188,66677,69087,77283,71736,66283,75703,80041,74423,71441,75319,83509,65489,64440,72459,90276,68278,55778,62369,79634,73805,71743,69404,78041,71928,71854,71579,86873,50969,52927,55993,68557,53227,38739,40173,56066,24386,23706,34149,47472,0
Zysk (strata) z dzialal. oper. (tys. zl),3163,2503,4493,6899,-623,3157,2382,1114,2135,2204,2316,6251,2855,3168,6036,7359,2910,3655,2174,6890,-1613,404,3908,7069,2548,288,2421,7750,7976,9495,7440,8274,3480,6911,4357,11298,4553,6319,5745,11997,3745,4792,5871,9786,2694,3806,7156,8748,0
Zysk (strata) brutto (tys. zl),2872,4619,2996,5032,-7756,3192,480,87,46,-5768,2286,4008,2701,3232,2985,5873,883,7069,-1837,7672,-992,1105,3589,-3270,32,1244,-5500,8931,-15958,-7763,12574,11591,1983,6882,5422,4905,3989,6605,5180,10417,5152,5759,4423,10787,2275,3536,8031,8168,0
Zysk (strata) netto (tys. zl),1192,4626,2427,3799,-7169,2359,197,-384,-139,-5611,1499,3560,1548,2475,2281,4557,644,5618,-1557,6258,1230,913,2990,-1422,-624,661,-5597,8049,-12141,-6258,11267,10019,2161,5881,4220,4912,3866,5831,5093,9054,4195,4816,3687,9710,1755,2914,6886,6460,0
Amortyzacja (tys. zl),2072,2405,1655,2004,2619,2468,2026,2111,2468,2765,2431,2695,2857,2767,2569,2553,2768,2573,2414,2440,3017,3116,2343,2723,2689,3263,3194,2477,2857,2782,2791,2869,2010,2114,2238,2286,1394,1477,1636,2199,1219,1162,1274,1846,1197,1181,296,943,0
EBITDA (tys. zl),5235,4908,6148,8903,1996,5625,4408,3225,4603,4969,4747,8946,5712,5935,8605,9912,5678,6228,4588,9330,1404,3520,6251,9792,5237,3551,5615,10227,10833,12277,10231,11143,5490,9025,6595,13584,5947,7796,7381,14196,4964,5954,7145,11632,3891,4987,7452,9691,0
Aktywa (tys. zl),214490,213842,196074,195413,231838,224154,221051,221047,258757,249724,255289,252282,266530,262551,266618,264999,279546,277257,281617,280768,270253,270638,283459,0,264863,268009,272267,0,281982,305166,304615,0,250421,255350,263882,0,174413,176071,0,0,115746,141946,153687,0,54724,55830,92673,0,47510
Kapital wlasny (tys. zl),139341,141834,115485,121504,137125,140175,140738,138314,153176,148040,145861,148114,151466,154410,151047,154159,144479,149370,144555,149954,141822,143086,143053,0,134427,134666,124429,0,119593,105647,117990,0,128947,134979,135902,0,108241,114783,0,0,86090,91647,92449,0,41641,42556,52465,0,37097
Liczba akcji (tys. szt.),"11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11303,320","11310,627","11303,320","11303,320","11303,320","11306,992","11310,627","11310,627","11310,627","11209,650","11297,644","11306,992","11306,992","11000,000","11209,650","11209,650","11209,650","11000,000","11000,000","11000,000","11000,000","10000,000","10000,000","11000,000","11000,000","10000,000"
Zysk na akcje (zl),"0,105","0,409","0,215","0,336","-0,634","0,209","0,017","-0,034","-0,012","-0,496","0,133","0,315","0,137","0,219","0,202","0,403","0,057","0,497","-0,138","0,554","0,109","0,081","0,265","-0,126","-0,055","0,058","-0,495","0,712","-1,074","-0,553","0,996","0,886","0,193","0,521","0,373","0,434","0,351","0,520","0,454","0,808","0,381","0,438","0,335","0,883","0,176","0,291","0,626","0,587","0,000"
Wartosc ksiegowa na akcje (zl),"12,327","12,548","10,217","10,749","12,131","12,401","12,451","12,237","13,551","13,097","12,904","13,104","13,400","13,661","13,363","13,638","12,782","13,215","12,789","13,266","12,547","12,659","12,656","0,000","11,885","11,914","11,008","0,000","10,577","9,341","10,432","0,000","11,503","11,948","12,019","0,000","9,840","10,240","0,000","0,000","7,826","8,332","8,404","0,000","4,164","4,256","4,770","0,000","3,710"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
