index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2003,IV Q 2004,II Q 2005,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),479988,139058,228657,218211,262756,72526,157769,193912,212597,198660,162960,159888,238270,220313,119877,123590,210980,141929,166118,305096,96422,20175,146018,201501,189647,159902,142832,114523,92227,190628,191954,132134,204195,266768,267993,270800,207513,171877,230009,272672,199801,120711,228277,173315,0,0,0,145340
Zysk (strata) z dzialal. oper. (tys. zl),81763,7346,23231,21010,36881,-5695,13167,13224,35660,8861,2986,20291,32058,32993,1861,2820,47208,18540,19063,43850,9361,-14780,23896,46857,17766,17421,19070,13198,4952,53488,30710,9193,52324,82399,83302,93619,51502,43974,65913,78749,43821,20372,52633,40452,0,0,0,11621
Zysk (strata) brutto (tys. zl),81788,6379,23172,20889,36622,-6522,12961,12386,33709,11661,2596,18555,31819,32554,1402,2028,48160,18216,19471,44006,8788,-15041,23619,46074,14651,14917,16666,10718,5114,51749,28347,6006,54398,86180,85562,94660,54680,46608,68094,81263,40442,19452,52024,41617,0,0,0,10575
Zysk (strata) netto (tys. zl),66026,5118,18415,16828,29521,-5401,10553,9547,25930,9253,1627,15267,25454,26323,1053,1126,38968,14576,15650,35537,7012,-12241,19364,36568,11462,11819,13186,8398,2470,41615,22617,4513,43122,69389,68722,76204,43763,37370,54734,65418,33678,15279,42667,33489,0,0,0,6873
Amortyzacja (tys. zl),1206,1251,1321,1413,950,1019,1044,1140,736,714,759,836,733,766,827,810,652,723,749,789,594,565,581,652,591,580,587,619,702,649,598,590,628,538,553,627,377,467,571,560,464,408,389,393,0,0,0,424
EBITDA (tys. zl),82969,8597,24552,22423,37831,-4676,14211,14364,36396,9575,3745,21127,32791,33759,2688,3630,47860,19263,19812,44639,9955,-14215,24477,47509,18357,18001,19657,13817,5654,54137,31308,9783,52952,82937,83855,94246,51879,44441,66484,79309,44285,20780,53022,40845,0,0,0,12045
Aktywa (tys. zl),1752953,1860715,2030738,2059207,1606257,1762567,1858628,1880263,1728894,1666207,1616607,1664612,1759690,1710844,1658362,1700460,1916100,1964386,1986757,0,1623749,1704104,1767310,0,1578299,1452478,1561255,0,1764592,1723386,1653930,0,1252067,1272400,1331601,0,923923,976759,1028497,0,586386,0,635207,0,322550,419789,441299,0
Kapital wlasny (tys. zl),883604,888391,826746,843716,858517,853131,807949,817498,857054,866567,813706,828979,893022,919738,829770,830902,835706,852195,831119,0,773481,761901,759807,0,748830,761633,756166,0,683453,726080,730551,0,696138,743592,764004,0,491882,532480,585098,0,133411,0,191914,0,70631,76525,92639,0
Liczba akcji (tys. szt.),"24771,272","24771,272","24782,592","24782,592","24770,272","24771,272","24771,272","24771,272","24753,197","24770,272","24770,272","24770,272","24715,272","24741,272","24741,272","24741,272","24560,222","24670,397","24670,397","24670,397","24560,222","24560,222","24560,222","24560,222","24560,222","24560,222","24560,222","24560,222","24560,222","24560,222","24560,222","24560,222","24560,222","24560,222","24560,222","24560,222","24050,372","24560,222","24560,222","24560,222","21344,490","21344,490","21344,490","21344,490","21344,490","21344,490","21344,490","21344,490"
Zysk na akcje (zl),"2,665","0,207","0,743","0,679","1,192","-0,218","0,426","0,385","1,048","0,374","0,066","0,616","1,030","1,064","0,043","0,046","1,587","0,591","0,634","1,440","0,286","-0,498","0,788","1,489","0,467","0,481","0,537","0,342","0,101","1,694","0,921","0,184","1,756","2,825","2,798","3,103","1,820","1,522","2,229","2,664","1,578","0,716","1,999","1,569","0,000","0,000","0,000","0,322"
Wartosc ksiegowa na akcje (zl),"35,671","35,864","33,360","34,045","34,659","34,440","32,616","33,002","34,624","34,984","32,850","33,467","36,132","37,174","33,538","33,584","34,027","34,543","33,689","0,000","31,493","31,022","30,936","0,000","30,490","31,011","30,788","0,000","27,828","29,563","29,745","0,000","28,344","30,276","31,107","0,000","20,452","21,681","23,823","0,000","6,250","0,000","8,991","0,000","3,309","3,585","4,340","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
