index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2007,IV Q 2008,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),13547,10921,11927,5479,14415,10750,10691,8435,7355,6240,8884,11277,2653,949,4937,9450,23926,4826,5200,5106,19493,7400,6072,7826,19081,5412,16705,10192,0,0,15232
Zysk (strata) z dzialal. oper. (tys. zl),2683,1218,1914,-211,2603,2008,1797,865,774,602,897,1341,388,-1163,111,1654,5031,31,138,273,3271,693,3624,353,4778,1638,4042,1428,0,0,2714
Zysk (strata) brutto (tys. zl),2675,1172,1916,-240,2670,2033,1922,681,743,519,842,1344,390,-1254,111,1638,5290,159,261,380,1521,669,3779,313,4434,1650,4104,1356,0,0,2716
Zysk (strata) netto (tys. zl),2171,931,1553,-207,2161,1585,1563,501,593,419,683,1033,309,-972,31,1329,4312,117,205,315,2666,132,3926,728,6363,1846,2452,1272,0,0,2716
Amortyzacja (tys. zl),41,42,42,42,30,37,42,43,31,30,30,29,48,52,49,43,29,40,54,54,41,41,42,36,25,24,22,29,0,0,24
EBITDA (tys. zl),2724,1260,1956,-169,2633,2045,1839,908,805,632,927,1370,436,-1111,160,1697,5060,71,192,327,3312,734,3666,389,4803,1662,4064,1457,0,0,2738
Aktywa (tys. zl),107938,114658,126798,131214,120066,130652,145858,100168,76369,82614,102856,110696,70684,72130,76435,68646,76020,74357,74633,73331,120760,126929,150454,0,47073,56109,74740,0,114932,33446,35094
Kapital wlasny (tys. zl),52345,53276,53591,53384,49499,51084,49674,50174,45947,46366,46306,47338,45587,44615,44026,45354,49258,48753,46773,46979,42196,42328,44348,0,25821,27667,21095,0,11575,20534,19487
Liczba akcji (tys. szt.),"12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","12705,054","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000"
Zysk na akcje (zl),"0,171","0,073","0,122","-0,016","0,170","0,125","0,123","0,039","0,047","0,033","0,054","0,081","0,024","-0,077","0,002","0,105","0,339","0,009","0,016","0,025","0,210","0,010","0,309","0,057","0,636","0,185","0,245","0,127","0,000","0,000","0,272"
Wartosc ksiegowa na akcje (zl),"4,120","4,193","4,218","4,202","3,896","4,021","3,910","3,949","3,616","3,649","3,645","3,726","3,588","3,512","3,465","3,570","3,877","3,837","3,681","3,698","3,321","3,332","3,491","0,000","2,582","2,767","2,110","0,000","1,158","2,053","1,949"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
