index,I Q 2013,II Q 2013,III Q 2013,IV Q 2013,I Q 2012,II Q 2012,III Q 2012,IV Q 2012,I Q 2011,II Q 2011,III Q 2011,IV Q 2011,I Q 2010,II Q 2010,III Q 2010,IV Q 2010,I Q 2009,II Q 2009,III Q 2009,IV Q 2009,I Q 2008,II Q 2008,III Q 2008,IV Q 2008,I Q 2007,II Q 2007,III Q 2007,IV Q 2007,I Q 2006,II Q 2006,III Q 2006,IV Q 2006,IV Q 2004,III Q 2005,IV Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),1076,1024,1334,1689,1853,1211,1878,1807,705,2058,2341,-1372,1873,76,436,1497,1103,980,1461,2751,806,1496,2355,1749,1993,1271,911,2978,639,1148,908,1572,0,1616,1828
Zysk (strata) z dzialal. oper. (tys. zl),110,239,-267,3047,349,19748,682,-946,-137,217,25,-1189,-746,-520,771,-1394,-863,-687,-409,138,-492,251,-217,-575,380,176,333,958,26,271,233,440,0,225,328
Zysk (strata) brutto (tys. zl),449,612,-172,3836,810,18973,175,-1101,-580,-3387,394,-958,-843,-543,767,-1536,-1021,-1141,-803,178,-537,-417,-96,-460,1255,163,315,-579,74,275,-288,1481,0,228,248
Zysk (strata) netto (tys. zl),396,630,37,3173,168,15192,483,-2834,-371,-3425,120,-410,-843,-546,715,-1481,-1021,-1141,-803,178,-534,-950,-93,-448,89,-22,-1,-1018,-458,-395,-435,244,0,-345,-441
Amortyzacja (tys. zl),38,41,142,-79,137,81,80,37,78,253,59,150,102,73,92,77,96,102,98,100,73,77,79,83,72,73,73,71,85,77,83,51,0,93,75
EBITDA (tys. zl),148,280,-125,2968,486,19829,762,-909,-59,470,84,-1039,-644,-447,863,-1317,-767,-585,-311,238,-419,328,-138,-492,452,249,406,1029,111,348,316,491,0,318,403
Aktywa (tys. zl),61410,61751,61553,62633,44387,67719,66702,61211,26264,37138,0,27891,14348,13476,0,13358,15409,14745,14140,16100,8239,18285,0,17411,8499,8189,0,9793,8132,7755,0,8314,12340,9815,8851
Kapital wlasny (tys. zl),54873,55485,55522,56154,22827,57682,57292,54458,9475,22651,0,22362,11129,11243,0,9816,13719,12578,11743,11972,-875,15276,0,14740,-1374,-1396,0,-493,-876,-1272,0,-1463,1314,23,-419
Liczba akcji (tys. szt.),"15143,172","15143,172","15143,172","15143,172","14262,010","15143,172","15143,172","15143,172","5047,724","9790,581","9790,581","9790,581","5047,724","5047,724","5047,724","5047,724","5047,724","5047,724","5047,724","5047,724","919,880","919,880","5047,724","5047,724","459,940","459,940","459,940","919,880","459,940","459,940","459,940","459,940","459,940","459,940","459,940"
Zysk na akcje (zl),"0,026","0,042","0,002","0,210","0,012","1,003","0,032","-0,187","-0,073","-0,350","0,012","-0,042","-0,167","-0,108","0,142","-0,293","-0,202","-0,226","-0,159","0,035","-0,581","-1,033","-0,018","-0,089","0,194","-0,048","-0,002","-1,107","-0,996","-0,859","-0,946","0,531","0,000","-0,750","-0,959"
Wartosc ksiegowa na akcje (zl),"3,624","3,664","3,666","3,708","1,601","3,809","3,783","3,596","1,877","2,314","0,000","2,284","2,205","2,227","0,000","1,945","2,718","2,492","2,326","2,372","-0,951","16,607","0,000","2,920","-2,987","-3,035","0,000","-0,536","-1,905","-2,766","0,000","-3,181","2,857","0,050","-0,911"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
