index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002, Q 0000,IV Q 1998,IV Q 1999,IV Q 2000
Przychody netto ze sprzedaÅ¼y (tys. zl),592795,605464,607247,605764,512000,486342,496089,519501,511704,479443,502360,484207,507044,493047,489711,473018,517123,491419,487489,463024,26381,24089,885039,464139,1425803,430248,1942695,1317322,1356717,1286504,1397872,1415477,1090928,1282070,1336498,1315257,387520,1067825,1114087,1206722,326861,319572,346684,352952,308559,304093,324663,324508,255800,253838,273864,295245,176016,181666,218263,236091,153570,156416,164290,170238,309140,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),12358,9304,13019,19818,14673,19895,13393,9278,1333,5568,16025,3023,10858,13546,10396,-11112,11929,11642,-777,-37688,6060,-706,5671,11567,26766,10468,30582,34983,23037,13301,44042,29074,42269,26947,30684,18721,5109,22224,44044,27649,5207,12863,6470,8524,4995,3623,8216,14742,5976,4955,6580,4751,5256,3084,5480,4504,2793,3079,3013,3775,5515,0,0,0
Zysk (strata) brutto (tys. zl),12269,9448,12985,19688,15022,19956,12446,9744,2222,5942,16213,3387,12993,15246,11835,-10329,619612,23239,9875,-35548,6270,-916,3186,9919,22871,9083,27422,31322,16776,9590,34824,24939,29805,23698,28168,13565,4250,20701,40724,19285,4286,12058,5764,7775,3938,2180,6916,13459,5481,4506,6045,3891,4932,1855,5122,4192,2466,2974,3332,3504,4372,0,0,0
Zysk (strata) netto (tys. zl),11063,7591,10776,16423,13027,18811,10261,8185,198,3229,14126,119,12612,13707,10888,-10994,620786,26151,10433,-28390,39159,-1557,29839,39884,17155,12424,20011,26889,17922,2581,29015,20592,23525,18005,22076,5452,3238,16728,32661,15503,3072,9455,4495,6188,3098,1662,5442,10684,3797,3530,4812,3047,3591,1402,3716,2995,1594,2141,2375,2031,3524,0,0,0
Amortyzacja (tys. zl),11495,11926,12241,12384,8745,11048,10887,11073,11304,11664,11738,11873,8718,10134,10061,10332,16833,11112,10566,10434,17291,17471,17201,17026,16215,16697,17042,17338,14287,14705,16000,16429,10368,12111,12682,13820,4910,8765,9702,11135,4421,4311,4525,4518,3510,4175,4289,4340,2703,3111,3051,3271,1814,2146,2370,2862,1401,1688,1722,1887,1303,0,0,0
EBITDA (tys. zl),23853,21230,25260,32202,23418,30943,24280,20351,12637,17232,27763,14896,19576,23680,20457,-780,28762,22754,9789,-27254,23351,16765,22872,28593,42981,27165,47624,52321,37324,28006,60042,45503,52637,39058,43366,32541,10019,30989,53746,38784,9628,17174,10995,13042,8505,7798,12505,19082,8679,8066,9631,8022,7070,5230,7850,7366,4194,4767,4735,5662,6818,0,0,0
Aktywa (tys. zl),1017258,1013590,1011097,1004998,952228,940714,899550,931795,1062522,976624,960778,936620,978402,997475,991858,953959,1903373,1754356,943507,939613,1916069,2039711,2030803,0,1830168,1900012,1978513,0,1725268,1799460,1862395,0,1487202,1548440,1612567,0,629751,1189352,0,0,326901,340376,0,0,311987,319417,335681,0,226765,235648,0,0,163197,168337,192191,199269,134624,143260,140512,145243,316244,47189,73932,98266
Kapital wlasny (tys. zl),594904,592210,600774,615207,606999,611035,585474,590332,643962,633644,623832,614887,687925,701579,684997,656330,1497162,1512067,703703,675313,878816,885970,862457,0,805735,819159,825917,0,744691,746824,767547,0,687298,704857,722711,0,357126,377801,0,0,107015,118496,0,0,90359,92114,95230,0,77986,81021,0,0,66874,68272,72060,75056,56497,58687,61253,63284,91354,2199,23381,30383
Liczba akcji (tys. szt.),"13235,495","12340,049","12340,049","12340,049","15179,589","15223,565","13192,018","13235,495","15115,161","15115,161","15115,161","15179,589","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","15115,161","14770,200","14992,732","15115,161","15115,161","6635,100","12923,985","13270,200","13270,200","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100","6635,100"
Zysk na akcje (zl),"0,836","0,615","0,873","1,331","0,858","1,236","0,778","0,618","0,013","0,214","0,935","0,008","0,834","0,907","0,720","-0,727","41,070","1,730","0,690","-1,878","2,591","-0,103","1,974","2,639","1,135","0,822","1,324","1,779","1,186","0,171","1,920","1,362","1,593","1,201","1,461","0,361","0,488","1,294","2,461","1,168","0,463","1,425","0,677","0,933","0,467","0,250","0,820","1,610","0,572","0,532","0,725","0,459","0,541","0,211","0,560","0,451","0,240","0,323","0,358","0,306","0,531","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"44,948","47,991","48,685","49,855","39,988","40,137","44,381","44,602","42,604","41,921","41,272","40,507","45,512","46,416","45,319","43,422","99,050","100,036","46,556","44,678","58,141","58,615","57,059","0,000","53,306","54,195","54,642","0,000","49,268","49,409","50,780","0,000","46,533","47,013","47,814","0,000","53,824","29,233","0,000","0,000","16,129","17,859","0,000","0,000","13,618","13,883","14,352","0,000","11,754","12,211","0,000","0,000","10,079","10,290","10,860","11,312","8,515","8,845","9,232","9,538","13,768","0,331","3,524","4,579"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
