index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2012,IV Q 2013
Przychody netto ze sprzedaÅ¼y (tys. zl),108476,68475,217378,365526,0,98903,211564,338040,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-565,11953,6528,42793,0,11619,4247,41090,0,0
Zysk (strata) brutto (tys. zl),-7029,13729,1037,40618,0,4154,9965,35565,0,0
Zysk (strata) netto (tys. zl),-6196,10036,1453,32795,0,3318,7111,29549,0,0
Amortyzacja (tys. zl),5510,6337,10053,10095,0,4505,4608,5457,0,0
EBITDA (tys. zl),4945,18290,16581,52888,0,16124,8855,46547,0,0
Aktywa (tys. zl),443511,545717,668135,619838,223030,0,0,0,116156,164038
Kapital wlasny (tys. zl),170482,180519,178503,211297,43045,0,0,0,14942,25614
Liczba akcji (tys. szt.),"17543,750","17543,750","17543,750","17543,750","10543,750","10543,750","10543,750","10543,750","10543,750","10543,750"
Zysk na akcje (zl),"-0,353","0,572","0,083","1,869","0,000","0,315","0,674","2,803","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"9,718","10,290","10,175","12,044","4,083","0,000","0,000","0,000","1,417","2,429"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N
