index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2003,IV Q 2004,II Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),23078,21400,19669,14799,-30232,36771,33492,28935,104235,70699,70954,62397,216396,131456,171604,120834,235055,167317,163012,170233,214713,165620,167304,195588,180430,151631,168562,193663,175439,165815,187016,176520,183630,173019,190922,168832,126884,121955,134639,155181,0,89715,109230,112687,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-9188,-5659,-2796,-5735,3551,-8645,-8234,-7527,-35321,-10010,-10310,-12319,-14987,-6517,-5194,-13272,6320,0,2453,-3123,-9630,5617,1564,5292,1287,280,1645,2913,-17855,6171,3598,3728,6208,1697,4248,-1507,3934,3312,3329,4815,0,2453,6737,4497,0,0,0
Zysk (strata) brutto (tys. zl),-10035,-6662,-4342,-6604,-410,-10144,-9510,-9010,-37364,-12013,-11885,-17015,-18602,-8783,-7645,-19315,3695,2151,116,-3914,-11280,3517,121,-1653,112,909,-656,2120,-41996,-6726,11447,2580,-1798,-4287,914,-3876,6129,3559,4387,3955,0,-218,3115,6075,0,0,0
Zysk (strata) netto (tys. zl),-12158,-6757,-9527,-7836,-5602,-11089,-12949,-9009,-27233,-14121,-5424,-23174,-12685,-8650,-6210,-18418,1486,468,-1347,-6470,-9172,2760,-582,-1487,633,1849,-1150,1315,-32834,-7614,12014,1575,-1924,-4077,-1208,-3582,4909,2807,3478,3663,0,-305,1911,5040,0,0,0
Amortyzacja (tys. zl),907,665,666,633,-249,1253,1095,1030,1835,1747,1647,1830,2052,2020,1921,1890,2315,2244,2168,2151,2253,2163,2169,2166,2320,2243,2285,2275,2440,2139,2560,2346,2611,1894,2232,2490,1172,1375,1101,2033,0,2133,1570,479,0,0,0
EBITDA (tys. zl),-8281,-4994,-2130,-5102,3302,-7392,-7139,-6497,-33486,-8263,-8663,-10489,-12935,-4497,-3273,-11382,8635,2244,4621,-972,-7377,7780,3733,7458,3607,2523,3930,5188,-15415,8310,6158,6074,8819,3591,6480,983,5106,4687,4430,6848,0,4586,8307,4976,0,0,0
Aktywa (tys. zl),114635,110502,100474,92320,173506,145871,134948,125500,262454,254687,234430,206486,407581,401156,364100,335048,440879,464396,435865,0,398373,444018,435043,0,402175,428706,425077,0,445500,448855,430132,0,392839,468749,477288,0,303164,305959,322111,0,193912,210413,0,0,136667,142308,173188
Kapital wlasny (tys. zl),-22783,-29544,-39678,-46909,19279,8186,-1324,-10333,59544,45420,45335,29204,121730,113173,106933,88493,144202,144552,143988,0,142137,144851,144242,0,151058,150338,149290,0,142989,139053,149339,0,186276,180752,178827,0,180139,183130,186011,0,72793,72936,0,0,55192,61949,64438
Liczba akcji (tys. szt.),"2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","2354,000","9416,000","2354,000","2354,000","2354,000","9416,000","9416,000","9416,000","9416,000","6500,000","6500,000","6500,000","6500,000","6500,000","6500,000","6500,000"
Zysk na akcje (zl),"-5,165","-2,870","-4,047","-3,329","-2,380","-4,711","-5,501","-3,827","-11,569","-5,999","-2,304","-9,845","-5,389","-3,675","-2,638","-7,824","0,631","0,199","-0,572","-2,749","-3,896","1,172","-0,247","-0,632","0,269","0,785","-0,489","0,559","-13,948","-3,234","5,104","0,669","-0,204","-1,732","-0,513","-1,522","0,521","0,298","0,369","0,389","0,000","-0,047","0,294","0,775","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"-9,678","-12,551","-16,856","-19,927","8,190","3,477","-0,562","-4,390","25,295","19,295","19,259","12,406","51,712","48,077","45,426","37,593","61,258","61,407","61,167","0,000","60,381","61,534","61,275","0,000","64,171","63,865","63,420","0,000","60,743","59,071","63,441","0,000","19,783","76,785","75,967","0,000","19,131","19,449","19,755","0,000","11,199","11,221","0,000","0,000","8,491","9,531","9,914"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
