index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2003,IV Q 2004,II Q 2005,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),75913,61479,71556,63710,72126,66233,70225,65479,59637,60085,64766,67746,54497,51199,49386,58279,52133,48693,49798,56202,47630,43184,42594,48228,47906,43489,43135,49934,46362,43108,45062,42891,45689,53743,40296,52999,33753,44365,33603,50652,26003,30119,19678,33861,0,0,17217,27530
Zysk (strata) z dzialal. oper. (tys. zl),7076,117,5170,-1904,5477,758,5069,576,4663,1376,6046,2173,2400,-269,2091,1699,2793,631,898,2443,7934,-203,-2660,-905,-10862,647,2503,4103,-5117,-2458,-5193,-3507,4049,6976,-982,4194,5762,5031,-434,3790,2443,4228,367,2600,0,0,1043,1613
Zysk (strata) brutto (tys. zl),5382,-601,4665,-3356,3816,-779,3574,-154,1444,-227,3700,598,1290,-1213,1492,346,1555,238,2242,907,2175,-137,-5289,-4228,-13423,69,1052,4730,-11488,-5952,-176,-3853,3021,5907,-1427,2976,5082,4341,-679,2948,1797,3714,-880,2508,0,0,100,758
Zysk (strata) netto (tys. zl),3847,-540,3962,-3411,2839,-865,2860,-200,1347,186,2229,258,998,-1391,1486,312,1846,23,2260,949,1945,-299,-5549,-4430,-14295,184,518,4127,-10780,-6994,1020,-3773,2592,5013,-1525,2136,5041,3105,-551,2007,985,2747,-396,2096,0,0,-116,906
Amortyzacja (tys. zl),1935,2124,2199,2221,1189,1428,1546,1587,1378,1447,1617,1585,1737,1394,1524,1402,1581,1520,1521,1274,1599,1452,1456,1362,1571,1601,1308,1239,1499,1383,1788,1563,1815,1056,1133,1242,686,894,590,849,582,487,492,530,0,0,291,489
EBITDA (tys. zl),9011,2241,7369,317,6666,2186,6615,2163,6041,2823,7663,3758,4137,1125,3615,3101,4374,2151,2419,3717,9533,1249,-1204,457,-9291,2248,3811,5342,-3618,-1075,-3405,-1944,5864,8032,151,5436,6448,5925,156,4639,3025,4715,859,3130,0,0,1334,2102
Aktywa (tys. zl),220337,230793,242591,249163,213788,231321,223888,223914,185670,193653,200555,211502,160848,166176,167217,172244,142201,147510,156176,166684,136626,134042,139717,0,139481,136509,134799,0,170103,176379,155889,0,168596,184869,175918,0,130988,152788,152121,0,49566,63162,62332,0,50911,47398,49155,56161
Kapital wlasny (tys. zl),79565,79035,82694,79537,74108,73689,76383,76122,69361,68951,78070,78295,67715,66071,67246,67634,51683,52036,50370,66743,60570,60996,55038,0,54120,54349,52510,0,59933,53442,47009,0,74445,77704,71042,0,66801,70555,69973,0,10183,11677,12722,0,8187,6913,7005,7913
Liczba akcji (tys. szt.),"50143,095","50143,095","50143,095","50143,095","50143,095","50143,095","50143,095","50143,095","47755,329","47755,329","50143,095","50143,095","47755,329","47755,329","47755,329","47755,329","31836,886","31836,886","31836,886","31836,886","31836,886","31836,886","31836,886","31836,886","13620,286","31836,886","31836,886","31836,886","13620,286","13620,286","13620,286","13620,286","13620,286","13620,286","13620,286","13620,286","13170,790","13620,286","13620,286","13620,286","0,009","0,009","0,009","13170,790","0,009","0,009","0,009","0,009"
Zysk na akcje (zl),"0,077","-0,011","0,079","-0,068","0,057","-0,017","0,057","-0,004","0,028","0,004","0,044","0,005","0,021","-0,029","0,031","0,007","0,058","0,001","0,071","0,030","0,061","-0,009","-0,174","-0,139","-1,050","0,006","0,016","0,130","-0,791","-0,513","0,075","-0,277","0,190","0,368","-0,112","0,157","0,383","0,228","-0,040","0,147","99999,999","99999,999","-44000,000","0,159","0,000","0,000","-12888,889","99999,999"
Wartosc ksiegowa na akcje (zl),"1,587","1,576","1,649","1,586","1,478","1,470","1,523","1,518","1,452","1,444","1,557","1,561","1,418","1,384","1,408","1,416","1,623","1,634","1,582","2,096","1,903","1,916","1,729","0,000","3,973","1,707","1,649","0,000","4,400","3,924","3,451","0,000","5,466","5,705","5,216","0,000","5,072","5,180","5,137","0,000","99999,999","99999,999","99999,999","0,000","99999,999","99999,999","99999,999","99999,999"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
