index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2007,IV Q 2008,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),83819,81031,74461,73658,83930,88167,77171,78733,70847,86507,69255,77869,74114,79358,64557,69000,60907,63938,70110,65663,60181,69164,68305,70421,51558,53983,57494,53971,0,0,53974
Zysk (strata) z dzialal. oper. (tys. zl),38071,34589,36489,45129,33143,48111,31150,35312,26414,41886,24275,36052,26898,43051,20677,28495,27106,35650,31374,31335,16876,38517,33817,34216,16412,25713,27086,22075,0,0,25214
Zysk (strata) brutto (tys. zl),36964,34477,41067,48789,32594,47260,33069,35679,25326,41922,24663,36181,25595,43932,19947,28134,28662,34780,31063,30093,19148,41083,35828,42019,24379,28039,31026,22961,0,0,32313
Zysk (strata) netto (tys. zl),28244,26331,33936,40337,24261,38347,26948,30113,28554,37594,20320,29904,21113,41967,16883,25906,24436,33128,25925,25608,18156,38514,32797,37995,19608,26583,27790,22163,0,0,30150
Amortyzacja (tys. zl),7013,6370,6541,6797,7524,6195,6619,7010,7202,7183,7145,6917,4203,3676,7922,6921,3889,3973,4292,4096,4370,3979,3828,3924,3720,3988,4184,4139,0,0,3681
EBITDA (tys. zl),45084,40959,43030,51926,40667,54306,37769,42322,33616,49069,31420,42969,31101,46727,28599,35416,30995,39623,35666,35431,21246,42496,37645,38140,20132,29701,31270,26214,0,0,28895
Aktywa (tys. zl),1022815,1105701,1122369,1046787,1024159,1056245,1092006,994807,933802,1116141,1151851,1151892,959024,1052486,1074906,1020664,732907,991021,1015404,934062,558526,606125,633521,532046,1055551,577564,604000,534053,874725,950931,0
Kapital wlasny (tys. zl),720721,747078,682039,722353,699350,737600,663099,693152,636985,674550,695264,674942,554512,599285,582944,607819,523209,553386,517835,533236,523843,561872,459989,498112,521059,547213,484203,506587,836614,925939,0
Liczba akcji (tys. szt.),"41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000","41972,000"
Zysk na akcje (zl),"0,673","0,627","0,809","0,961","0,578","0,914","0,642","0,717","0,680","0,896","0,484","0,712","0,503","1,000","0,402","0,617","0,582","0,789","0,618","0,610","0,433","0,918","0,781","0,905","0,467","0,633","0,662","0,528","0,000","0,000","0,718"
Wartosc ksiegowa na akcje (zl),"17,171","17,799","16,250","17,210","16,662","17,574","15,799","16,515","15,176","16,071","16,565","16,081","13,211","14,278","13,889","14,482","12,466","13,185","12,338","12,705","12,481","13,387","10,959","11,868","12,414","13,038","11,536","12,070","19,933","22,061","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
