index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004, Q 0000,IV Q 2002
Przychody netto ze sprzedaÅ¼y (tys. zl),280959,257565,232445,257680,254927,235640,200216,216548,240682,213469,195790,196607,192664,176828,142494,189268,168408,146640,129084,131671,159068,116460,113865,122460,134758,111787,101072,120177,132006,109252,103428,100321,95431,91106,87281,89118,73686,86524,63567,84328,48246,47350,46128,55917,39234,33863,40392,45746,28490,28277,34622,39216,39324,0
Zysk (strata) z dzialal. oper. (tys. zl),13960,4634,-2502,12644,13436,8372,8358,6825,9367,5864,7431,8764,6872,8618,7398,3612,18611,7324,8867,5900,13268,-1464,-49,8578,12294,7466,409,-718,295,2915,2507,5484,13049,5054,5134,4304,4488,4232,-605,10515,2800,4374,1385,3726,1799,3824,2862,1938,157,946,1212,2019,2830,0
Zysk (strata) brutto (tys. zl),12717,4518,-6178,13830,12242,8249,7611,5970,7853,3820,4287,5650,1819,5408,4367,2566,12715,5813,4383,8842,6453,-3494,-2264,3708,8979,4468,1113,-2058,-1318,-2409,1069,3795,9600,4216,2120,1537,3015,2687,-39,6051,2464,4209,1287,2813,1366,3436,2358,1752,-68,748,843,1600,2530,0
Zysk (strata) netto (tys. zl),9763,3776,-5358,13271,9141,7207,6597,5955,5214,3910,4517,5175,-1450,5368,2524,1999,11914,4501,2318,7757,4955,-3777,-3757,2074,6194,3753,542,-2637,4530,-4534,2537,3425,8847,3063,2295,1739,3089,2374,-24,4978,-2451,3616,1164,2494,1224,-2917,-1972,-1580,-128,563,593,1337,2000,0
Amortyzacja (tys. zl),3923,3618,3719,3748,4329,3391,3632,3550,4085,3412,3692,3891,3723,3166,3461,3062,3913,3528,3738,3613,2854,3213,2961,3243,2676,2714,3114,2907,2329,3106,2908,3093,3539,3401,1922,3665,1629,2429,2487,2436,735,745,789,1013,414,87,986,580,308,312,464,414,9071,0
EBITDA (tys. zl),17883,8252,1217,16392,17765,11763,11990,10375,13452,9276,11123,12655,10595,11784,10859,6674,22524,10852,12605,9513,16122,1749,2912,11821,14970,10180,3523,2189,2624,6021,5415,8577,16588,8455,7056,7969,6117,6661,1882,12951,3535,5119,2174,4739,2213,3911,3848,2518,465,1258,1676,2433,11901,0
Aktywa (tys. zl),593765,640994,607245,692602,624687,657510,610123,590807,618315,619488,605833,579781,579667,576343,583525,586582,556864,556543,552687,568193,510501,451521,479803,0,460676,448848,436345,0,462190,481049,447024,0,433957,451112,0,0,318026,389192,339732,0,127743,160430,178724,0,92407,109260,112774,0,52844,60233,103402,0,94229,52060
Kapital wlasny (tys. zl),302169,306018,301676,316053,269884,277090,284679,290583,274539,277921,256704,261879,264657,268723,269209,269930,258261,261550,261794,268129,243167,199542,232791,0,195056,199915,196162,0,187156,190517,183758,0,188077,197320,0,0,86014,176164,173428,0,75775,79243,81322,0,47243,69424,71902,0,32452,33015,45229,0,47609,31422
Liczba akcji (tys. szt.),"8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,485","8056,440","8056,440","8056,440","8056,485","8056,440","8056,440","8056,440","8056,440","8056,440","8056,440","8056,440","8056,440","5919,292","5919,292","8056,440","8056,440","5919,292","5919,292","5919,292","5919,292","4159,550","5919,292","5919,292","5919,292","4159,550","4159,550","4159,550","4159,550","4159,550","4159,550"
Zysk na akcje (zl),"1,212","0,469","-0,665","1,647","1,135","0,895","0,819","0,739","0,647","0,485","0,561","0,642","-0,180","0,666","0,313","0,248","1,479","0,559","0,288","0,963","0,615","-0,469","-0,466","0,257","0,769","0,466","0,067","-0,327","0,562","-0,563","0,315","0,425","1,098","0,380","0,285","0,216","0,522","0,401","-0,003","0,618","-0,414","0,611","0,197","0,421","0,294","-0,493","-0,333","-0,267","-0,031","0,135","0,143","0,321","0,481","0,000"
Wartosc ksiegowa na akcje (zl),"37,506","37,984","37,445","39,230","33,499","34,393","35,335","36,068","34,077","34,497","31,863","32,505","32,850","33,355","33,415","33,505","32,056","32,465","32,495","33,281","30,183","24,768","28,895","0,000","24,211","24,814","24,348","0,000","23,231","23,648","22,809","0,000","23,345","24,492","0,000","0,000","14,531","29,761","21,527","0,000","12,801","13,387","13,738","0,000","11,358","11,728","12,147","0,000","7,802","7,937","10,874","0,000","11,446","7,554"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
