index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,II Q 2007,IV Q 2007,II Q 2008,III Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),116,121,127,155,1678,223,90,80,2333,133,72,85,505,313,56,151,811,902,721,539,740,1407,3229,2437,162,1048,206,10,86,0,90,179,0,0,0,180
Zysk (strata) z dzialal. oper. (tys. zl),-154,-93,-125,131,-3394,-443,-6342,-209,-552,-586,-1943,-481,-1997,-1993,-1922,-856,-1801,-629,-1792,-1915,116,374,224,-325,-304,541,-112,-428,-999,-703,-378,-207,0,0,0,-745
Zysk (strata) brutto (tys. zl),12242,87,21,89,-14412,7045,-52014,-25134,5007,18376,-7205,-12133,3511,-2944,11426,5871,-782,4288,-11661,10489,17216,1738,9199,-5452,5087,2716,-403,653,-5195,-598,-885,-380,0,0,0,-947
Zysk (strata) netto (tys. zl),11381,87,18,-3697,-10374,6421,-36353,-20410,2988,11894,-6167,-8644,3277,-3971,8953,4392,-2370,2387,-8528,9760,14494,1661,10518,-4203,4506,2353,-201,516,-4316,-603,-779,-380,0,0,0,-611
Amortyzacja (tys. zl),371,86,68,0,125,125,-80,0,149,143,139,125,178,139,171,148,157,155,228,195,167,125,157,173,75,73,72,53,58,95,59,75,0,0,0,168
EBITDA (tys. zl),217,-7,-57,131,-3269,-318,-6422,-209,-403,-443,-1804,-356,-1819,-1854,-1751,-708,-1644,-474,-1564,-1720,283,499,381,-152,-229,614,-40,-375,-941,-608,-319,-132,0,0,0,-577
Aktywa (tys. zl),26314,26043,26039,26127,99155,105154,41757,41757,108194,126205,122329,114198,69070,74428,95853,98348,68686,66830,56616,65125,62617,59635,82006,0,27021,34222,47392,0,22838,21960,0,0,10082,27052,29896,0
Kapital wlasny (tys. zl),20850,20938,20955,20843,61844,68266,32068,32068,75252,87147,80989,72345,45694,41733,67767,72036,38637,39133,32638,45216,33138,35460,45482,0,24397,27190,27422,0,22040,21470,0,0,1329,23665,26801,0
Liczba akcji (tys. szt.),"2062,500","2062,500","2062,500","2062,500","2062,500","2062,500","2062,500","2062,500","2062,500","2062,500","2062,500","2062,500","1031,250","1031,250","1031,250","2062,500","1031,250","1031,250","1031,250","1031,250","1031,250","1031,250","1031,250","1031,250","1031,250","1031,250","1031,250","1031,250","1031,250","1031,250","1031,250","1031,250","931,250","1031,250","1031,250","1031,250"
Zysk na akcje (zl),"5,518","0,042","0,009","-1,792","-5,030","3,113","-17,626","-9,896","1,449","5,767","-2,990","-4,191","3,178","-3,851","8,681","2,129","-2,298","2,315","-8,270","9,464","14,055","1,611","10,199","-4,076","4,369","2,282","-0,195","0,500","-4,185","-0,585","-0,755","-0,368","0,000","0,000","0,000","-0,592"
Wartosc ksiegowa na akcje (zl),"10,109","10,152","10,160","10,106","29,985","33,099","15,548","15,548","36,486","42,253","39,267","35,076","44,309","40,469","65,714","34,927","37,466","37,947","31,649","43,846","32,134","34,385","44,104","0,000","23,658","26,366","26,591","0,000","21,372","20,819","0,000","0,000","1,427","22,948","25,989","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
