index,III Q 2015,IV Q 2015,II Q 2016,III Q 2016,IV Q 2012,IV Q 2013,IV Q 2014,II Q 2015
Przychody netto ze sprzedaÅ¼y (tys. zl),13535,44992,0,24531,0,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-44,-2542,0,-1276,0,0,0,0
Zysk (strata) brutto (tys. zl),-1448,-940,0,-1293,0,0,0,0
Zysk (strata) netto (tys. zl),-1729,25868,0,-1790,0,0,0,0
Amortyzacja (tys. zl),118,110,0,64,0,0,0,0
EBITDA (tys. zl),74,-2432,0,-1212,0,0,0,0
Aktywa (tys. zl),0,340321,356040,367983,115,5200,18321,319968
Kapital wlasny (tys. zl),0,202251,234557,232849,6,-474,-149,178113
Liczba akcji (tys. szt.),"8000,000","8000,000","9700,000","9700,000","8000,000","8000,000","8000,000","8000,000"
Zysk na akcje (zl),"-0,216","3,234","0,000","-0,185","0,000","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"0,000","25,281","24,181","24,005","0,001","-0,059","-0,019","22,264"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N
