index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,II Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),49560,45020,72904,44550,71215,29871,36619,30477,66492,49808,61603,22338,46307,38983,38046,52951,33984,24149,28594,26568,20559,14452,19493,24046,10297,7391,13359,12054,2444,4786,7414,7606,0
Zysk (strata) z dzialal. oper. (tys. zl),-2370,5717,1143,537,5666,2116,-759,559,3026,3008,3051,-6398,6888,1989,3075,3490,5212,1695,1921,1406,2668,819,1781,2073,1781,-540,3553,498,0,-362,537,-175,0
Zysk (strata) brutto (tys. zl),45032,3749,4192,213,6410,1387,-551,-33,2418,16083,2353,-1871,4363,1660,2568,2789,6093,1404,2629,1190,2616,676,1686,1934,1907,-433,3202,227,544,-300,660,-1047,0
Zysk (strata) netto (tys. zl),44196,3749,3691,-127,5145,5496,2856,2868,8342,14494,2653,2921,4317,840,3163,3380,3002,400,1137,1161,1420,114,928,1088,1470,-661,2024,-256,364,-329,302,-1182,0
Amortyzacja (tys. zl),4030,418,508,-896,746,591,609,-1206,370,828,1056,809,2294,724,1036,431,267,331,398,341,224,136,206,224,20,87,120,39,0,81,74,54,0
EBITDA (tys. zl),1660,6135,1651,-359,6412,2707,-150,-647,3396,3836,4107,-5589,9182,2713,4111,3921,5479,2026,2319,1747,2892,955,1987,2297,1801,-453,3673,537,0,-281,611,-121,0
Aktywa (tys. zl),164684,180695,160094,109616,150213,145834,155164,175723,127248,122972,128795,111126,72572,73629,92516,105979,55076,53524,56843,58944,30769,30766,37772,0,17000,19854,20158,0,12045,11197,12917,11533,12044
Kapital wlasny (tys. zl),99292,102672,106395,66268,73078,78573,75148,77158,48117,59891,63139,59166,24637,26161,32211,35487,15436,15716,16518,17679,10174,10288,12007,0,7871,7098,8835,0,7527,7340,7443,6255,7526
Liczba akcji (tys. szt.),"11662,677","11662,677","11662,677","11662,677","11308,323","11308,323","11308,323","11308,323","11308,323","11308,323","11308,323","11308,323","7000,000","11308,323","11308,323","11308,323","7000,000","7000,000","7000,000","7000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000"
Zysk na akcje (zl),"3,790","0,321","0,316","-0,011","0,455","0,486","0,253","0,254","0,738","1,282","0,235","0,258","0,617","0,074","0,280","0,299","0,429","0,057","0,162","0,166","0,284","0,023","0,186","0,218","0,294","-0,132","0,405","-0,051","0,073","-0,066","0,060","-0,236","0,000"
Wartosc ksiegowa na akcje (zl),"8,514","8,803","9,123","5,682","6,462","6,948","6,645","6,823","4,255","5,296","5,583","5,232","3,520","2,313","2,848","3,138","2,205","2,245","2,360","2,526","2,035","2,058","2,401","0,000","1,574","1,420","1,767","0,000","1,505","1,468","1,489","1,251","1,505"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
