index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),0,0,0,456,-24987,151,320,1,14775,4151,9309,13136,7301,53126,8427,12202,22980,1611,51,1622,1946,3142,526,766,2679,1006,2377,3361,0,1249,2481,366
Zysk (strata) z dzialal. oper. (tys. zl),-798,-90,15,191,4308,-89,347,-26,55807,-2089,526,-4124,0,1440,-3200,-3260,0,0,12520,-589,0,0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) brutto (tys. zl),51452,366,-946,971,-8618,-8391,-5754,238,66181,-5829,371,-5238,1726,-2744,-5689,-1995,2509,6302,5944,4306,4430,45858,804,-2991,2085,670,-3240,619,0,-3338,1517,674
Zysk (strata) netto (tys. zl),51659,316,-896,971,-394575,-8991,-5698,-4184,52994,-7284,1112,-4134,63,-3041,-7656,-2823,523,4821,4151,3548,4630,38653,952,-2824,2031,568,-2627,400,0,-2719,1078,476
Amortyzacja (tys. zl),2,2,3,1,4,3,3,4,5,6,3,18,3,3,4,8,0,-6,15,2,32,-36,82,0,0,9355,5,-28,0,0,29426,0
EBITDA (tys. zl),-796,-88,18,192,4312,-86,350,-22,55812,-2083,529,-4106,3,1443,-3196,-3252,0,-6,12535,-587,32,-36,82,0,0,9355,5,-28,0,0,29426,0
Aktywa (tys. zl),46119,46607,47093,42317,159847,163692,156369,156213,622743,643377,620739,644978,655818,554011,616393,581721,586287,490473,615447,599109,442994,446725,517061,447142,58985,58695,60201,59845,63145,60770,58648,58749
Kapital wlasny (tys. zl),8033,8349,7453,8424,4420,156,-7651,-6649,367692,378410,380927,404388,330719,355343,354637,333809,352404,330916,359991,343823,34989,319675,319172,323195,32667,32565,30200,30600,32822,29687,29559,29738
Liczba akcji (tys. szt.),"349,274","349,274","349,274","349,274","349,274","349,274","349,274","349,274","320,274","349,274","349,274","349,274","309,517","309,517","320,274","320,274","309,517","309,517","309,517","309,517","100,975","100,975","309,517","309,517","100,975","100,975","100,975","100,975","100,100","100,100","100,100","100,100"
Zysk na akcje (zl),"147,904","0,905","-2,565","2,780","-1129,700","-25,742","-16,314","-11,979","165,465","-20,855","3,184","-11,836","0,204","-9,825","-23,905","-8,814","1,690","15,576","13,411","11,463","45,853","382,798","3,076","-9,124","20,114","5,625","-26,016","3,961","0,000","-27,163","10,769","4,755"
Wartosc ksiegowa na akcje (zl),"22,999","23,904","21,339","24,119","12,655","0,447","-21,905","-19,037","1148,054","1083,419","1090,625","1157,796","1068,500","1148,056","1107,293","1042,261","1138,561","1069,137","1163,073","1110,837","346,512","3165,883","1031,194","1044,191","323,516","322,506","299,084","303,045","327,892","296,573","295,295","297,083"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
