index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),1173,507,456,356,642,4832,911,571,-19905,5343,169,616,19105,18770,14155,12912,29518,36059,26697,18017,32802,31015,37433,27774,45076,37721,37941,39387,34762,27658,29598,35999,49644,35676,32611,32378,12566,37730,41690,49877,7233,7289,7297,10510,3732
Zysk (strata) z dzialal. oper. (tys. zl),859,4612,434,-306,-3481,7327,10616,-1355,-38049,-5517,-95987,-340,-2492,8466,1239,-1810,-222533,24264,-29404,-107355,8695,11606,9879,-27,16675,14107,14560,16402,-63717,5918,6167,9849,21344,18629,10340,10640,1608,24260,13051,30484,1454,3059,732,2389,1519
Zysk (strata) brutto (tys. zl),-92,-521,-501,533,-23728,3270,5568,-5438,-65801,-37603,-45922,-2578,-103966,13340,7593,-9843,-258118,18398,-173257,-160581,11109,23831,13823,-48746,-289,20321,6885,18578,-179363,6282,17796,27085,33165,13337,37779,20306,10880,34238,68881,39551,3841,6374,7741,10826,3045
Zysk (strata) netto (tys. zl),-86,-341,-473,274,-24560,2526,5703,-4852,-72036,-36919,-46129,-4599,-109421,10106,2696,-10481,-251294,16344,-145347,-142851,4693,17974,10142,-40972,-1893,16434,5019,14880,-159009,5328,14574,21461,31075,10444,30725,15002,9313,26383,53083,29109,3066,5073,6642,8363,2486
Amortyzacja (tys. zl),49,35,36,11,202,20,236,45,366,370,267,221,423,408,424,403,872,522,479,460,903,815,876,868,1051,1000,995,1018,1386,1135,1101,1022,1016,1122,1097,844,410,829,1082,900,203,199,254,244,191
EBITDA (tys. zl),908,4647,470,-295,-3279,7347,10852,-1310,-37683,-5147,-95720,-119,-2069,8874,1663,-1407,-221661,24786,-28925,-106895,9598,12421,10755,841,17726,15107,15555,17420,-62331,7053,7268,10871,22360,19751,11437,11484,2018,25089,14133,31384,1657,3258,986,2633,1710
Aktywa (tys. zl),45783,47220,44783,43523,52219,53713,50086,47883,289030,216590,90498,81788,525474,487211,456078,425325,1112472,1145309,0,651740,1290326,1423194,1350993,0,1031772,1309862,1114778,0,943611,925286,956750,0,1312008,1020780,1077056,0,1038037,1083311,699872,0,96332,107102,187061,0,0
Kapital wlasny (tys. zl),-51438,-51551,-52229,-51362,-60100,-69988,-47525,-50499,46493,10219,-40324,-44517,116464,126307,129008,118527,440883,457571,0,178473,710630,739128,740317,0,660990,678907,684661,0,632885,634769,650254,0,628024,638170,666389,0,175780,205895,261895,0,38660,43728,50347,0,0
Liczba akcji (tys. szt.),"1269653,376","3306,389","3306,389","3306,389","1269653,376","1269653,376","1269653,376","1269653,376","1269653,712","1269653,712","1269653,712","1269653,712","436353,712","436353,712","436353,712","1269653,712","436353,712","436353,712","436353,712","436353,712","436353,712","436353,712","436353,712","436353,712","436353,712","436353,712","436353,712","436353,712","218176,856","218176,856","436353,712","436353,712","218176,856","218176,856","218176,856","218176,856","181377,960","181377,960","181377,960","181377,960","153000,000","153000,000","153000,000","153000,000","153000,000"
Zysk na akcje (zl),"0,000","-0,103","-0,143","0,083","-0,019","0,002","0,004","-0,004","-0,057","-0,029","-0,036","-0,004","-0,251","0,023","0,006","-0,008","-0,576","0,037","-0,333","-0,327","0,011","0,041","0,023","-0,094","-0,004","0,038","0,012","0,034","-0,729","0,024","0,033","0,049","0,142","0,048","0,141","0,069","0,051","0,145","0,293","0,160","0,020","0,033","0,043","0,055","0,016"
Wartosc ksiegowa na akcje (zl),"-0,041","-15,591","-15,796","-15,534","-0,047","-0,055","-0,037","-0,040","0,037","0,008","-0,032","-0,035","0,267","0,289","0,296","0,093","1,010","1,049","0,000","0,409","1,629","1,694","1,697","0,000","1,515","1,556","1,569","0,000","2,901","2,909","1,490","0,000","2,879","2,925","3,054","0,000","0,969","1,135","1,444","0,000","0,253","0,286","0,329","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
