index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),14816,9432,11722,9572,11712,9021,9339,9523,10447,7834,9296,9563,8093,7202,7583,7490,7893,6880,6902,6425,7385,6045,7131,6376,0,5355
Zysk (strata) z dzialal. oper. (tys. zl),3218,1544,1025,1380,2046,1768,1822,1995,2048,1690,1743,1423,1241,634,1148,1352,0,0,0,6,0,0,0,0,0,0
Zysk (strata) brutto (tys. zl),3041,1545,1062,1341,1970,1719,1823,1959,1864,1665,1723,1353,903,466,1006,1389,1051,561,-397,-34,-9249,188,905,-193,0,-653
Zysk (strata) netto (tys. zl),2319,1233,890,1102,1611,1476,1463,1594,1465,1339,1468,1087,902,358,699,1160,260,483,-38,31,-9046,113,588,-214,0,-722
Amortyzacja (tys. zl),805,785,813,851,715,777,799,776,798,718,741,715,785,1059,913,791,703,847,1175,1148,637,622,696,719,0,589
EBITDA (tys. zl),4023,2329,1838,2231,2761,2545,2621,2771,2846,2408,2484,2138,2026,1693,2061,2143,703,847,1175,1154,637,622,696,719,0,589
Aktywa (tys. zl),30288,28526,35292,28728,29433,29332,27909,29834,23259,22866,24327,25797,23623,23255,20175,20650,23920,24154,22590,23201,22133,21343,21919,22720,30288,29712
Kapital wlasny (tys. zl),16587,16128,15284,16386,17308,18518,17176,18530,13695,15115,14975,15898,10697,10623,11414,11997,9725,9561,9408,9114,8349,7623,8382,8320,18408,16430
Liczba akcji (tys. szt.),"33665,963","33665,963","33499,899","33499,899","33890,192","33890,192","33310,963","33665,963","33185,036","33185,036","33264,892","33890,192","33115,036","33115,036","33115,036","33115,036","32916,161","32916,161","32916,161","32916,161","32916,161","32916,161","32916,161","32916,161","32916,161","32916,161"
Zysk na akcje (zl),"0,069","0,037","0,027","0,033","0,048","0,044","0,044","0,047","0,044","0,040","0,044","0,032","0,027","0,011","0,021","0,035","0,008","0,015","-0,001","0,001","-0,275","0,003","0,018","-0,007","0,000","-0,022"
Wartosc ksiegowa na akcje (zl),"0,493","0,479","0,456","0,489","0,511","0,546","0,516","0,550","0,413","0,455","0,450","0,469","0,323","0,321","0,345","0,362","0,295","0,290","0,286","0,277","0,254","0,232","0,255","0,253","0,559","0,499"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
