index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2007,IV Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),77047,41578,39271,38044,54041,32011,47886,54077,67943,40920,26989,25782,94941,53845,28669,27891,77016,26420,21379,18164,40464,18349,14938,20834,32634,41961,20554,22020,0,0
Zysk (strata) z dzialal. oper. (tys. zl),12867,3959,5341,6374,7386,2782,7198,10847,7931,2747,759,1805,16968,9731,381,1432,16976,2999,1246,1558,10315,746,34,5214,878,6769,2616,3960,0,0
Zysk (strata) brutto (tys. zl),12377,3652,5013,6049,6680,2290,7269,10434,7055,1825,479,1258,16980,9614,202,1045,16871,3087,1324,1638,9806,166,240,5068,688,6508,2383,3553,0,0
Zysk (strata) netto (tys. zl),9154,2707,3674,4280,5247,1753,5705,8291,6347,1527,-56,955,13331,7612,-182,1152,12504,2147,635,635,7006,-336,121,4189,159,5145,1861,2780,0,0
Amortyzacja (tys. zl),1509,865,939,986,1533,1467,1516,1555,1359,1433,1456,1431,602,586,609,609,671,645,636,616,623,628,659,636,562,507,482,507,0,0
EBITDA (tys. zl),14376,4824,6280,7360,8919,4249,8714,12402,9290,4180,2215,3236,17570,10317,990,2041,17647,3644,1882,2174,10938,1374,693,5850,1440,7276,3098,4467,0,0
Aktywa (tys. zl),368184,371206,370223,381845,373043,357132,367452,390637,322614,311830,342624,365478,325822,326575,337854,359786,341341,334407,358610,0,261672,302494,333500,0,233370,0,216783,0,291935,287760
Kapital wlasny (tys. zl),217937,220644,212189,216469,196484,198237,200492,208782,192853,194380,190282,191237,177786,185398,185083,186506,169319,171466,163960,0,97743,160646,152626,0,85671,0,88222,0,29045,57416
Liczba akcji (tys. szt.),"40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","40040,000","30030,000","40040,000","40040,000","40040,000","30030,000","30030,000","30030,000","30030,000","30030,000","30030,000"
Zysk na akcje (zl),"0,229","0,068","0,092","0,107","0,131","0,044","0,142","0,207","0,159","0,038","-0,001","0,024","0,333","0,190","-0,005","0,029","0,312","0,054","0,016","0,016","0,233","-0,008","0,003","0,105","0,005","0,171","0,062","0,093","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"5,443","5,511","5,299","5,406","4,907","4,951","5,007","5,214","4,817","4,855","4,752","4,776","4,440","4,630","4,622","4,658","4,229","4,282","4,095","0,000","3,255","4,012","3,812","0,000","2,853","0,000","2,938","0,000","0,967","1,912"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
