index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004, Q 0000,II Q 2003,III Q 2003
Przychody netto ze sprzedaÅ¼y (tys. zl),1356168,1303498,1558135,1492061,1107614,982555,1197491,1260225,940077,873955,980534,997127,785759,684016,943821,944733,729109,669949,751909,795489,650483,590871,716298,728236,543220,493501,611598,657426,444993,437363,545147,539904,371976,394030,453168,476840,276562,283334,325655,345929,210016,209809,262172,264562,161160,146838,197049,197817,120046,128772,163879,162171,161131,112812,123935
Zysk (strata) z dzialal. oper. (tys. zl),15653,67719,80671,85653,48206,44468,70210,74243,41981,44058,66880,67956,38246,32796,53704,64801,37994,37741,37278,36666,30208,36820,37019,49165,17883,17743,33739,33565,12182,45670,24826,31493,24573,34934,16612,14028,11016,18680,25013,20357,-243,6674,8186,11136,4083,5285,5591,6409,8536,1576,5081,8831,3410,4356,5048
Zysk (strata) brutto (tys. zl),9328,60822,75056,81039,40401,41886,61399,69176,40501,39312,61129,65150,35386,25161,47002,58441,29686,29783,28984,25491,19343,29527,29614,41438,9565,9282,24208,24661,-6634,22379,30049,22315,16330,27887,9009,4477,8844,16436,22362,19395,-2540,1987,7175,9088,4028,-396,4486,2710,2840,1924,7798,5389,4022,1232,3545
Zysk (strata) netto (tys. zl),9107,50920,63020,67517,35805,35811,52385,60069,36258,33473,52228,56191,28054,21513,40040,50026,24284,24705,24126,23290,14526,22465,27179,34301,7535,7643,21621,19541,-4965,17480,24698,18039,12896,22671,6885,4949,5555,12629,17990,15236,-2964,1833,5371,6838,3706,557,-3385,1961,1849,1511,6261,3012,3736,899,2588
Amortyzacja (tys. zl),10827,12484,12801,13166,11055,12361,12940,13648,10195,10881,9600,11026,10547,8571,11267,9064,9214,10692,7686,6994,8692,10335,6285,8554,7134,8977,8920,8674,8509,7197,7882,8212,3826,5140,7362,6698,3908,3523,3171,4266,3677,3220,3718,3029,3172,3505,2769,3244,2514,2081,2524,3251,2864,2089,2554
EBITDA (tys. zl),26480,80203,93472,98819,59261,56829,83150,87891,52176,54939,76480,78982,48793,41367,64971,73865,47208,48433,44964,43660,38900,47155,43304,57719,25017,26720,42659,42239,20691,52867,32708,39705,28399,40074,23974,20726,14924,22203,28184,24623,3434,9894,11904,14165,7255,8790,8360,9653,11050,3657,7605,12082,6274,6445,7602
Aktywa (tys. zl),2506364,2800831,2868275,3060802,2056682,2263200,2476229,2586823,1696612,1896292,1949741,2052217,1548391,1655855,1752818,1856053,1547470,1613203,1595994,1621488,1322301,1501642,1549994,0,1272993,1334925,1343481,0,1227722,1259758,1282865,0,815710,1212084,1212312,0,444873,543393,553298,0,395183,435583,431750,0,326506,349311,377811,0,247153,260565,286958,0,322963,218243,241758
Kapital wlasny (tys. zl),1205878,1256335,1312922,1375323,1069048,1099070,1142742,1204290,903766,936103,974892,1031575,757247,779861,821062,869336,668804,695991,712092,736428,558535,580884,609613,0,498891,503565,523592,0,418125,438031,460227,0,166912,415262,425259,0,110358,123737,141571,0,89364,91463,96713,0,90819,90796,90398,0,75355,73948,82537,0,90855,67158,73505
Liczba akcji (tys. szt.),"14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","14168,100","13736,100","13736,100","13736,100","13736,100","13736,100","13736,100","13736,100","13736,100","11821,100","13696,100","13696,100","13696,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100","11821,100"
Zysk na akcje (zl),"0,643","3,594","4,448","4,765","2,527","2,528","3,697","4,240","2,559","2,363","3,686","3,966","1,980","1,518","2,826","3,531","1,714","1,744","1,703","1,644","1,025","1,586","1,918","2,421","0,549","0,556","1,574","1,423","-0,361","1,273","1,798","1,313","1,091","1,655","0,503","0,361","0,470","1,068","1,522","1,289","-0,251","0,155","0,454","0,578","0,314","0,047","-0,286","0,166","0,156","0,128","0,530","0,255","0,316","0,076","0,219"
Wartosc ksiegowa na akcje (zl),"85,112","88,673","92,667","97,072","75,455","77,574","80,656","85,000","63,789","66,071","68,809","72,810","53,447","55,043","57,951","61,359","47,205","49,124","50,260","51,978","39,422","40,999","43,027","0,000","36,320","36,660","38,118","0,000","30,440","31,889","33,505","0,000","14,120","30,320","31,050","0,000","9,336","10,467","11,976","0,000","7,560","7,737","8,181","0,000","7,683","7,681","7,647","0,000","6,375","6,256","6,982","0,000","7,686","5,681","6,218"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
