index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,III Q 2012,IV Q 2012,I Q 2013,III Q 2013,III Q 2011,IV Q 2011,I Q 2012,II Q 2012,III Q 2010,IV Q 2010,I Q 2011,II Q 2011,III Q 2009,IV Q 2009,I Q 2010,II Q 2010,I Q 2009,II Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),9980,10264,11164,15966,9170,9518,10338,15198,7709,7468,10455,13707,13175,8473,8372,13227,13397,6729,6997,9510,13662,8533,8245,10142,15324,8262,7371,9866,8587,10869
Zysk (strata) z dzialal. oper. (tys. zl),-354,9,643,4058,-274,-169,828,4122,-1312,-1529,623,3411,2814,-745,-328,3293,3228,-1246,-797,677,4566,-1247,25,1086,3970,-1573,-662,1123,-765,725
Zysk (strata) brutto (tys. zl),-2783,-88,533,5615,-634,232,1609,5092,-1176,-1744,1149,3249,4446,-1306,-1241,3602,2230,-3219,726,-143,4753,1145,-231,1245,4376,-1426,-345,630,-1869,1105
Zysk (strata) netto (tys. zl),-360,69,262,4896,-716,869,827,4331,-811,-1485,1129,3581,3878,-1192,-1105,4196,1710,-3003,610,-134,3657,-671,-229,1101,3592,-1155,-367,529,-1603,839
Amortyzacja (tys. zl),943,937,950,983,906,917,916,922,899,926,927,917,751,857,884,886,778,779,771,758,849,798,808,792,1153,1147,887,837,983,1370
EBITDA (tys. zl),589,946,1593,5041,632,748,1744,5044,-413,-603,1550,4328,3565,112,556,4179,4006,-467,-26,1435,5415,-449,833,1878,5123,-426,225,1960,218,2095
Aktywa (tys. zl),135474,136657,135294,139297,132865,132672,132786,135934,133094,132487,131315,132404,0,132634,132816,132440,117122,119019,120153,127660,0,116227,0,116922,0,115847,116506,120832,0,0
Kapital wlasny (tys. zl),115151,115220,115482,120379,109500,110369,111196,115527,106892,105407,106536,110118,0,106274,105169,107785,105574,102571,103181,103047,0,103161,0,104033,0,100013,99557,100175,0,0
Liczba akcji (tys. szt.),"14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200","14564,200"
Zysk na akcje (zl),"-0,025","0,005","0,018","0,336","-0,049","0,060","0,057","0,297","-0,056","-0,102","0,078","0,246","0,266","-0,082","-0,076","0,288","0,117","-0,206","0,042","-0,009","0,251","-0,046","-0,016","0,076","0,247","-0,079","-0,025","0,036","-0,110","0,058"
Wartosc ksiegowa na akcje (zl),"7,906","7,911","7,929","8,265","7,518","7,578","7,635","7,932","7,339","7,237","7,315","7,561","0,000","7,297","7,221","7,401","7,249","7,043","7,085","7,075","0,000","7,083","0,000","7,143","0,000","6,867","6,836","6,878","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
