index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,IV Q 2005,II Q 2006,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),29901,54723,200311,182092,57616,42980,84536,44759,69124,65324,51617,38277,144161,85866,95458,77085,88390,46522,108916,55960,162532,125614,93106,71522,222205,118245,122909,216340,195501,240539,90614,159927,423511,126218,266516,175218,230961,106331,121135,130110,0,0,177849,111760
Zysk (strata) z dzialal. oper. (tys. zl),11626,-7288,44759,25850,3882,7077,7224,-1321,12541,13140,10100,8124,18046,14736,9572,11619,6425,10957,29202,1367,39148,31568,15640,10233,41978,28805,19872,54598,46072,50453,18611,31693,131817,18085,44251,31634,80961,17881,22799,26115,0,0,47969,16400
Zysk (strata) brutto (tys. zl),6011,-10694,41325,13595,1892,1980,3973,-4705,3256,6252,2853,796,9001,5402,852,3326,2448,3124,7525,-7333,29357,23571,7210,6246,35281,21714,17634,44696,43725,44575,13238,26122,128477,14356,38800,28328,76706,14242,17864,23488,0,0,45338,13473
Zysk (strata) netto (tys. zl),4755,-9560,35665,9101,321,1624,3479,-4124,4027,5187,764,2070,7052,4318,828,2271,1248,2456,6124,-6078,24132,19291,5414,5303,31039,17603,14429,35848,36280,35461,13896,20001,104844,11660,31825,19519,60009,11240,14391,17629,0,0,36677,9560
Amortyzacja (tys. zl),2518,2459,2524,2760,2524,2508,2468,2466,1889,2748,-124,2671,4620,3522,3485,3275,2923,2725,2693,2607,3391,2856,3262,3248,3163,3280,3221,2973,4190,3791,3586,3494,4881,5240,4689,3246,1970,4359,94,3979,0,0,0,3891
EBITDA (tys. zl),14144,-4829,47283,28610,6406,9585,9692,1145,14430,15888,9976,10795,22666,18258,13057,14894,9348,13682,31895,3974,42539,34424,18902,13481,45141,32085,23093,57571,50262,54244,22197,35187,136698,23325,48940,34880,82931,22240,22893,30094,0,0,47969,20291
Aktywa (tys. zl),1697585,1637888,1580098,1506838,1450246,1477395,1510398,1585504,1407507,1396560,1404126,1453394,1556107,1519517,1447378,1414895,1380806,1403527,1503211,1570079,1382179,1304962,1340849,1353712,1522963,1452710,1550287,1424550,1794308,1696762,1627088,1601169,1511567,1460786,1701559,1822098,907545,0,1363071,1315025,699740,748889,0,0
Kapital wlasny (tys. zl),626643,617347,653695,662669,627158,628160,631624,627508,513374,519032,519133,630772,503256,507377,508476,511073,493448,495952,502213,496150,462545,482088,487584,492743,371515,433839,447766,484043,321038,294622,373127,393126,549508,568608,603858,616912,193449,0,426350,443979,113676,119762,0,0
Liczba akcji (tys. szt.),"88859,445","88859,445","88859,445","88859,445","88859,445","88859,445","88859,445","88859,445","54073,280","54073,280","54073,280","88859,445","54073,280","54073,280","54073,280","54073,280","54073,280","54073,280","54073,280","54073,280","54073,280","54073,280","54073,280","54073,280","54698,280","54698,280","54698,280","54073,280","54698,280","54698,280","54698,280","54698,280","54698,280","54698,280","54698,280","54698,280","256250,000","256250,000","54698,280","54698,280","256250,000","256250,000","256250,000","256250,000"
Zysk na akcje (zl),"0,054","-0,108","0,401","0,102","0,004","0,018","0,039","-0,046","0,074","0,096","0,014","0,023","0,130","0,080","0,015","0,042","0,023","0,045","0,113","-0,112","0,446","0,357","0,100","0,098","0,567","0,322","0,264","0,663","0,663","0,648","0,254","0,366","1,917","0,213","0,582","0,357","0,234","0,044","0,263","0,322","0,000","0,000","0,143","0,037"
Wartosc ksiegowa na akcje (zl),"7,052","6,947","7,357","7,457","7,058","7,069","7,108","7,062","9,494","9,599","9,601","7,099","9,307","9,383","9,403","9,451","9,126","9,172","9,288","9,176","8,554","8,915","9,017","9,113","6,792","7,931","8,186","8,952","5,869","5,386","6,822","7,187","10,046","10,395","11,040","11,278","0,755","0,000","7,795","8,117","0,444","0,467","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
