index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,I Q 2001,I Q 2001,II Q 2001,III Q 2001, Q 0000,IV Q 1999,III Q 2000,IV Q 2000, Q 0000
Przychody netto ze sprzedaÅ¼y (tys. zl),32884,33069,35916,36611,41702,29299,29153,43115,15352,21666,28395,32226,20460,16165,17753,13055,12787,6419,2084,103,13486,9880,13644,11935,24333,15235,19896,18640,33195,21828,22712,14228,29201,26452,26989,28032,19522,26782,16373,18331,21311,12529,17209,21924,26591,12161,3742,21734,44018,25423,35035,28860,34959,20204,23351,33597,29510,16439,16051,24038,8092,8092,10472,17267,8092,0,16112,17197,26591
Zysk (strata) z dzialal. oper. (tys. zl),-489,797,965,1932,1063,901,917,995,-184,104,-83,342,2874,565,2116,164,-4360,-5028,-8831,-7666,-14377,-4006,-3507,-2817,-37477,-9000,-767,-4723,1791,-54,3578,-1527,-452,-1649,1763,811,-309,154,1277,465,-10283,207,49,623,-17153,-1605,-965,-141,4340,-541,1418,-1424,-619,-2212,-806,3230,2305,591,-591,1553,-31,-31,-1392,1401,-31,0,2641,1548,-17153
Zysk (strata) brutto (tys. zl),-624,778,1729,1727,984,917,973,1006,1079,-18,-128,269,4335,1649,646,241,-9035,-3795,-14820,-16130,-30128,-5269,-5731,-5058,-55837,-9743,-2354,-5560,4410,-160,3036,-2110,-1606,-1471,1229,369,-944,-19,1019,250,-11748,-1,869,290,-14161,-1815,-1152,-318,3620,-1205,750,-1922,-2400,-3133,-1640,2330,899,-387,-1749,613,33,33,876,304,33,0,1184,1416,-14161
Zysk (strata) netto (tys. zl),-1913,453,1265,1367,920,709,714,595,884,-95,266,116,4533,1614,1293,29,-8554,-4160,-15815,-16088,-27521,-4693,-5167,-4681,-55502,-10586,-2401,-5259,4444,-121,1913,-2681,-146,-1611,1135,294,-188,68,1006,247,-11739,30,850,300,-14085,-1726,-1125,-316,3257,-1406,434,-2213,-1860,-3022,-1762,1888,899,-391,-1745,582,33,33,1006,299,33,0,1184,1416,-14085
Amortyzacja (tys. zl),446,434,432,432,399,393,410,419,384,378,392,393,371,373,372,380,764,387,622,13,182,908,298,1042,1105,1082,1061,1094,582,644,644,637,768,689,745,616,46,639,467,382,874,449,382,460,1462,1040,286,559,1658,1716,1237,1460,1024,1184,1202,1353,788,671,671,745,166,166,-156,714,3748,0,426,-45,3748
EBITDA (tys. zl),-43,1231,1397,2364,1462,1294,1327,1414,200,482,309,735,3245,938,2488,544,-3596,-4641,-8209,-7653,-14195,-3098,-3209,-1775,-36372,-7918,294,-3629,2373,590,4222,-890,316,-960,2508,1427,-263,793,1744,847,-9409,656,431,1083,-15691,-565,-679,418,5998,1175,2655,36,405,-1028,396,4583,3093,1262,80,2298,135,135,-1548,2115,3717,0,3067,1503,-13405
Aktywa (tys. zl),140288,149072,148647,152576,137223,134579,136564,145104,143635,294529,137996,139537,297681,287067,279555,283207,189490,351095,268607,0,183327,178907,173275,0,142893,109113,101391,0,124837,130289,135737,0,129389,127828,127081,0,44185,128388,49361,0,58190,36233,37517,0,73513,65928,66335,66220,97797,99412,93398,88314,96730,91836,90401,96323,68069,61175,61166,98755,62693,62693,65120,65549,62693,30141,65323,64714,75349
Kapital wlasny (tys. zl),96245,96698,97963,99330,96261,96969,97683,98278,95043,238485,95373,95489,231117,232686,235587,236662,70904,249805,243641,0,31992,27759,70207,0,23141,3510,-4821,0,82583,85996,82551,0,88992,87524,87080,0,8147,89835,27336,0,5544,1536,1298,0,15789,12008,10681,10366,26535,23919,25478,23028,21285,20216,21373,23292,24804,24467,22724,23306,11506,11506,11657,23956,11506,6223,9965,11381,15004
Liczba akcji (tys. szt.),"9926,850","9926,850","9926,850","9926,850","9926,850","9926,850","9926,850","9926,850","9926,857","9926,850","9926,850","9926,850","12408,572","12408,572","12408,572","9926,857","3708,185","10825,139","10825,139","12408,572","2125,247","2125,247","3880,211","3371,077","5743,910","5743,910","5743,910","2125,247","4493,910","4493,910","4493,910","5743,910","3450,160","4493,910","4493,910","4493,910","1584,811","2377,217","2602,217","2602,217","1199,811","1199,811","1609,811","1584,811","806,061","806,061","849,811","849,811","604,546","604,546","604,546","604,546","302,273","302,273","302,273","604,546","302,273","302,273","302,273","302,273","1850,000","302,273","302,273","302,273","1850,000","302,273","302,273","302,273","6448,490"
Zysk na akcje (zl),"-0,193","0,046","0,127","0,138","0,093","0,071","0,072","0,060","0,089","-0,010","0,027","0,012","0,365","0,130","0,104","0,003","-2,307","-0,384","-1,461","-1,297","-12,950","-2,208","-1,332","-1,389","-9,663","-1,843","-0,418","-2,475","0,989","-0,027","0,426","-0,467","-0,042","-0,358","0,253","0,065","-0,119","0,029","0,387","0,095","-9,784","0,025","0,528","0,189","-17,474","-2,141","-1,324","-0,372","5,388","-2,326","0,718","-3,661","-6,153","-9,998","-5,829","3,123","2,974","-1,294","-5,773","1,925","0,018","0,109","3,328","0,989","0,018","0,000","3,917","4,685","-2,184"
Wartosc ksiegowa na akcje (zl),"9,695","9,741","9,868","10,006","9,697","9,768","9,840","9,900","9,574","24,024","9,608","9,619","18,626","18,752","18,986","23,841","19,121","23,076","22,507","0,000","15,053","13,062","18,094","0,000","4,029","0,611","-0,839","0,000","18,377","19,136","18,370","0,000","25,794","19,476","19,377","0,000","5,141","37,790","10,505","0,000","4,621","1,280","0,806","0,000","19,588","14,897","12,569","12,198","43,892","39,565","42,144","38,091","70,416","66,880","70,708","38,528","82,058","80,943","75,177","77,102","6,219","38,065","38,564","79,253","6,219","20,587","32,967","37,651","2,327"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
