index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,III Q 2013,IV Q 2013,II Q 2014,III Q 2014,III Q 2012,IV Q 2012,I Q 2013,II Q 2013,III Q 2011,IV Q 2011,I Q 2012,II Q 2012,III Q 2010,IV Q 2010,I Q 2011,II Q 2011,III Q 2009,IV Q 2009,I Q 2010,II Q 2010,III Q 2008,IV Q 2008,I Q 2009,II Q 2009,III Q 2007,IV Q 2007,I Q 2008,II Q 2008,III Q 2006,IV Q 2006,I Q 2007,II Q 2007,I Q 2006,II Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),34655,26826,27192,24582,3059,5661,11428,24166,2061,923,2792,2675,894,2061,911,428,2479,1290,1082,634,4395,2621,2305,9257,984,665,28678,47266,35343,34007,17889,16181,15449,16487,31761,46755,11941,12025,12251,15127,10308,10751
Zysk (strata) z dzialal. oper. (tys. zl),1281,-108,471,-181,-3925,1023,-2652,476,-778,-329,-1395,-1296,795,-699,-155,-712,13430,-13316,-237,-13616,-1776,83,-142,-319,-598,-598,2897,-4490,-2759,-3778,-1708,-2373,1083,50,1561,2074,810,-287,305,845,346,570
Zysk (strata) brutto (tys. zl),715,-319,-420,-2081,704,2590,30555,-3514,-540,-1712,4840,2835,719,143,213,-1496,12432,35,-1342,-11954,814,-1667,-821,-484,-1454,-5562,3381,-9342,-5365,-72377,-3359,-12166,-6725,-4054,2720,347,1166,-138,6159,14209,371,727
Zysk (strata) netto (tys. zl),1976,-844,-627,-2870,-2155,3583,31286,-1058,-540,-1712,4333,-1025,701,143,213,-1496,12463,35,-1342,-11954,2290,-2037,-823,-574,-4986,-15767,2414,-10075,-4562,-69268,-3253,-14242,-5396,-2686,1939,-932,955,-143,5136,11549,316,561
Amortyzacja (tys. zl),891,834,500,532,1,45,187,885,45,41,0,1,18,54,52,45,18,11,51,61,118,28,54,10,223,95,972,1757,2930,2915,2630,95,798,1189,1975,2777,454,749,546,649,494,455
EBITDA (tys. zl),2172,726,971,351,-3924,1068,-2465,1361,-733,-288,-1395,-1295,813,-645,-103,-667,13448,-13305,-186,-13555,-1658,111,-88,-309,-375,-503,3869,-2733,171,-863,922,-2278,1881,1239,3536,4851,1264,462,851,1494,840,1025
Aktywa (tys. zl),586916,588974,534621,507491,390712,390050,653418,615830,32554,29510,371517,390790,34035,33575,33820,33579,0,46203,45061,33611,0,45482,43024,0,0,236907,193739,144031,0,282666,287786,269130,0,276951,385457,352444,0,53051,77648,126700,40572,41054
Kapital wlasny (tys. zl),326863,326830,362909,361619,257773,260983,359095,340162,29354,27642,260521,259478,31037,31177,31390,29894,0,43826,42417,30449,0,33569,32746,0,0,32722,40410,32443,0,70014,68151,51539,0,205709,200242,148735,0,28998,34154,65850,25729,26599
Liczba akcji (tys. szt.),"62571,826","62571,826","68582,151","68582,150","21662,500","21662,500","62571,826","62571,826","21662,500","21662,500","21662,500","21662,500","21662,500","21662,500","21662,500","21662,500","150337,750","21662,500","21662,500","21662,500","150337,750","150337,750","150337,750","150337,750","150337,750","150337,750","150337,750","150337,750","150337,750","150337,750","150337,750","150337,750","25056,292","150337,750","150337,750","150337,750","3579,470","3579,470","3579,470","25056,292","3579,470","3579,470"
Zysk na akcje (zl),"0,032","-0,013","-0,009","-0,042","-0,099","0,165","0,500","-0,017","-0,025","-0,079","0,200","-0,047","0,032","0,007","0,010","-0,069","0,083","0,002","-0,062","-0,552","0,015","-0,014","-0,005","-0,004","-0,033","-0,105","0,016","-0,067","-0,030","-0,461","-0,022","-0,095","-0,215","-0,018","0,013","-0,006","0,267","-0,040","1,435","0,461","0,088","0,157"
Wartosc ksiegowa na akcje (zl),"5,224","5,223","5,292","5,273","11,900","12,048","5,739","5,436","1,355","1,276","12,026","11,978","1,433","1,439","1,449","1,380","0,000","2,023","1,958","1,406","0,000","0,223","0,218","0,000","0,000","0,218","0,269","0,216","0,000","0,466","0,453","0,343","0,000","1,368","1,332","0,989","0,000","8,101","9,542","2,628","7,188","7,431"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
