index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),27846,27118,29015,26615,28754,25843,27021,26347,27961,24129,24228,23638,29699,25821,29577,25089,24139,23102,26736,25255,14526,19676,19178,21734,0,10943,12069,10916
Zysk (strata) z dzialal. oper. (tys. zl),3260,4672,5314,4711,5863,5438,6311,5728,7176,4040,3549,3276,3876,4977,5790,4562,3479,3538,5580,4307,2975,2792,679,2855,0,2574,2680,2992
Zysk (strata) brutto (tys. zl),3345,4721,5320,4488,5872,5479,6358,5762,7300,3971,3285,3254,3782,5161,5942,4049,3733,3337,5814,3973,4209,2698,673,3044,0,2534,2580,3015
Zysk (strata) netto (tys. zl),1952,5217,4233,3422,4459,4594,5077,4799,6722,3317,2694,2614,2533,4495,5469,3057,2885,2922,4727,3351,3754,2466,637,2531,0,2201,1923,2558
Amortyzacja (tys. zl),8009,6707,6892,6558,6972,2928,3258,3404,2264,3210,3357,3386,1835,1717,1671,1696,1298,1323,1645,1636,665,663,674,794,0,579,652,640
EBITDA (tys. zl),11269,11379,12206,11269,12835,8366,9569,9132,9440,7250,6906,6662,5711,6694,7461,6258,4777,4861,7225,5943,3640,3455,1353,3649,0,3153,3332,3632
Aktywa (tys. zl),97472,117974,132874,126078,97422,98766,108340,88158,124691,111820,141859,136696,75795,75447,84789,77440,72652,77138,69351,68289,29850,39230,70773,0,20755,22468,24654,0
Kapital wlasny (tys. zl),71335,76339,60760,63956,74395,79002,64656,69307,67342,70776,109822,110296,65194,62778,61336,64559,66026,68680,59686,62765,21805,24272,60969,0,11369,13570,15493,0
Liczba akcji (tys. szt.),"19821,404","19821,404","19821,404","19821,404","19821,404","19821,404","19821,404","19821,404","13821,404","19821,404","19821,404","19821,404","13870,000","13870,000","13870,000","13870,000","13870,000","13870,000","13870,000","13870,000","9870,000","9870,000","13870,000","13870,000","9870,000","9870,000","9870,000","9870,000"
Zysk na akcje (zl),"0,098","0,263","0,214","0,173","0,225","0,232","0,256","0,242","0,486","0,167","0,136","0,132","0,183","0,324","0,394","0,220","0,208","0,211","0,341","0,242","0,380","0,250","0,046","0,182","0,000","0,223","0,195","0,259"
Wartosc ksiegowa na akcje (zl),"3,599","3,851","3,065","3,227","3,753","3,986","3,262","3,497","4,872","3,571","5,541","5,564","4,700","4,526","4,422","4,655","4,760","4,952","4,303","4,525","2,209","2,459","4,396","0,000","1,152","1,375","1,570","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
