index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),224142,219819,236872,205026,360974,327408,274955,244903,416313,377283,373296,322378,441196,327405,301870,345356,602547,437686,522365,531969,622773,451987,416618,512337,586028,633563,485332,504296,662755,592873,517115,603116,372855,393288,385765,504238,232326,231050,303677,382648,218974,132263,138598,207717,167902,134245,119082,114313,61319,72805,90708,107646,103367,39622,56009,51112,63084,52504,41818,37666,0,62936,81050,58547,0,0,0,0,167902,0
Zysk (strata) z dzialal. oper. (tys. zl),-448269,-15703,-440098,-28196,21626,13743,7507,-7083,26196,34945,40502,38513,5272,17683,3041,39874,49759,-11665,54145,60165,23066,46390,39285,53124,-23214,23432,12152,25978,62838,58567,44535,39940,19872,30306,30666,38872,22900,22387,24597,38879,12807,3342,4939,24204,1275,922,9970,3084,-908,3441,522,-9568,3680,522,589,1191,-11940,-416,-431,-679,0,3088,1790,-271,0,0,0,0,1275,0
Zysk (strata) brutto (tys. zl),-509512,-18200,-470532,-31192,20940,10804,10364,-8243,20418,31702,35935,35308,-5656,11311,-2165,36264,41243,-27278,49711,51324,2537,38782,36227,74246,-24294,12985,19099,8372,38793,50268,26658,31586,13309,27620,23321,34515,24332,35373,549607,36968,12051,3385,5667,24474,-81,2178,10931,931,1249,4843,2867,14482,2656,2959,-6,5573,-18900,-1761,-1060,1991,0,39,957,2515,0,0,0,0,-81,0
Zysk (strata) netto (tys. zl),-503658,-19981,-552513,-32808,16546,7438,8447,-9804,23921,25889,32518,26307,659,9741,2358,29258,33063,-36631,45556,42637,1755,27431,27133,60113,-6035,8865,11959,409,20304,35392,16286,20840,8272,19938,18626,21253,17825,27183,444410,20848,8806,2006,4590,18235,-544,1557,9582,-562,-132,3677,3079,12393,2500,2077,-335,5358,-19412,-1336,-1064,2212,0,-652,539,1505,0,0,0,0,-544,0
Amortyzacja (tys. zl),41141,36685,64259,32926,37377,34975,36662,39747,42414,37282,37587,39540,34859,35804,36436,35464,27868,29826,28964,33267,20902,23118,24672,27031,18664,20501,20270,21255,16180,17682,17691,17685,5655,13548,15221,16144,6395,10019,9962,16649,3175,3547,3382,25627,2006,1800,2796,3263,1158,434,-2597,8117,1339,1017,1064,1028,1587,460,868,18,0,1428,1565,1701,0,0,0,0,141,0
EBITDA (tys. zl),-407128,20982,-375839,4730,59003,48718,44169,32664,68610,72227,78089,78053,40131,53487,39477,75338,77627,18161,83109,93432,43968,69508,63957,80155,-4550,43933,32422,47233,79018,76249,62226,57625,25527,43854,45887,55016,29295,32406,34559,55528,15982,6889,8321,49831,3281,2722,12766,6347,250,3875,-2075,-1451,5019,1539,1653,2219,-10353,44,437,-661,0,4516,3355,1430,0,0,0,0,1416,0
Aktywa (tys. zl),2128792,2180167,1605095,1414635,3521519,3588841,3542663,3554237,3475265,3528818,3473259,3452068,3738024,3625292,3477734,3504298,3725338,3833886,3826374,3844863,3364036,3623967,3768459,0,3333376,3379276,3488183,0,3228031,3223161,3189896,0,2601942,2570415,2760073,0,787216,861039,1287033,0,372025,305203,303629,0,347069,341821,319795,0,203490,211893,252445,306573,207009,184539,180780,197265,226041,220247,195649,204030,253728,224795,248268,258243,161595,179367,229949,186838,349578,152001
Kapital wlasny (tys. zl),1093989,1074703,524026,487909,2611280,2626826,2602968,2582445,2510431,2538409,2569580,2599593,2475971,2488282,2486416,2511905,2447180,2411721,2454256,2494329,2297762,2327182,2351901,0,2259273,2292201,2303513,0,2031822,2048844,2086271,0,1976631,1992355,2021561,0,309537,335555,780508,0,102310,104975,108298,0,88970,92349,98142,0,73179,77118,77989,90293,66939,69299,67946,73309,64993,63334,62390,64319,89579,88927,85462,87145,87313,84495,89670,87174,83644,79541
Liczba akcji (tys. szt.),"74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","74332,538","67632,538","67632,538","67632,538","67632,538","67632,538","67632,538","67632,538","67632,538","19892,700","19892,700","19892,700","67632,538","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","19892,700","1989,270","19892,700"
Zysk na akcje (zl),"-6,776","-0,269","-7,433","-0,441","0,223","0,100","0,114","-0,132","0,322","0,348","0,437","0,354","0,009","0,131","0,032","0,394","0,445","-0,493","0,613","0,574","0,024","0,369","0,365","0,809","-0,081","0,119","0,161","0,006","0,300","0,523","0,241","0,308","0,122","0,295","0,275","0,314","0,896","1,366","22,340","0,308","0,443","0,101","0,231","0,917","-0,027","0,078","0,482","-0,028","-0,007","0,185","0,155","0,623","0,126","0,104","-0,017","0,269","-0,976","-0,067","-0,053","0,111","0,000","-0,033","0,027","0,076","0,000","0,000","0,000","0,000","-0,273","0,000"
