index,III Q 2007,IV Q 2007,I Q 2008,II Q 2008,III Q 2006,IV Q 2006,I Q 2007,II Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),73406,72666,83856,81270,60908,56213,66974,66288
Zysk (strata) z dzialal. oper. (tys. zl),707,1934,1246,702,805,595,1114,765
Zysk (strata) brutto (tys. zl),486,1694,956,505,601,370,852,511
Zysk (strata) netto (tys. zl),387,1363,766,395,480,275,687,406
Amortyzacja (tys. zl),196,215,217,224,140,144,155,166
EBITDA (tys. zl),903,2149,1463,926,945,739,1269,931
Aktywa (tys. zl),0,105568,118351,123840,0,61764,71619,75415
Kapital wlasny (tys. zl),0,46240,47004,47402,0,9395,10145,10551
Liczba akcji (tys. szt.),"10000,000","10000,000","10000,000","10000,000","5000,000","5000,000","5000,000","5000,000"
Zysk na akcje (zl),"0,039","0,136","0,077","0,040","0,096","0,055","0,137","0,081"
Wartosc ksiegowa na akcje (zl),"0,000","4,624","4,700","4,740","0,000","1,879","2,029","2,110"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N
