index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,I Q 2008,II Q 2008,III Q 2008,IV Q 2008,I Q 2007,II Q 2007,III Q 2007,IV Q 2007,I Q 2006,II Q 2006,III Q 2006,IV Q 2006, Q 0000,IV Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),634969,550962,530796,580202,670783,604295,541818,567840,718633,625830,595577,594880,833519,683352,582837,678309,0,698476,567557,609172,542527,470739,546969,574650,434321,417530,475860,518656,192791,163327,195042,239882,0,199898
Zysk (strata) z dzialal. oper. (tys. zl),43195,1768,4544,22403,66651,42346,11456,23218,48682,19786,2273,55122,44567,16832,13422,53761,0,-609,-29345,1623,56892,55750,68716,72718,19829,6960,13875,40081,13686,22346,16826,11856,0,15203
Zysk (strata) brutto (tys. zl),36261,11450,-2622,26788,63087,49845,-2195,31348,44259,20124,12220,53696,25389,17766,12520,58656,0,21325,-49915,8697,51703,47256,50646,18559,10182,-1010,1751,29720,9814,20437,14470,12857,0,12373
Zysk (strata) netto (tys. zl),29807,8730,-2286,22259,50889,40578,-1404,24254,35402,16107,9290,43555,19892,14375,9927,47002,0,17144,-40654,7031,40779,37409,39446,14821,6954,1481,1217,23410,7746,16208,12010,9713,0,9850
Amortyzacja (tys. zl),6181,7368,7500,6967,8750,8534,8310,10177,10552,10432,9801,9504,10089,10347,10383,10246,0,10669,10345,9871,12950,12370,12245,12307,12274,12442,11922,12269,5190,5082,5038,6205,0,0
EBITDA (tys. zl),49376,9136,12044,29370,75401,50880,19766,33395,59234,30218,12074,64626,54656,27179,23805,64007,0,10060,-19000,11494,69842,68120,80961,85025,32103,19402,25797,52350,18876,27428,21864,18061,0,15203
Aktywa (tys. zl),996124,1042104,996051,1091054,954875,1075303,1011646,1016248,1087453,971107,907891,984894,1216311,1104828,860290,1361978,1307490,0,0,0,1117480,865222,0,1309449,1135108,898053,0,1302306,459726,352861,0,1330020,0,547621
Kapital wlasny (tys. zl),831073,840122,790686,810809,796197,839936,776372,800936,734665,749816,705558,748333,626461,643525,648481,697524,652283,0,0,0,476883,495746,0,522852,449618,411779,0,442205,196385,152435,0,442420,0,188639
Liczba akcji (tys. szt.),"22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22986,949","22338,949","22338,949","22338,949","22338,949","22338,949","22338,949","22338,949","22338,949","12937,400","12937,400","12937,400","22338,949",,"12937,400"
Zysk na akcje (zl),"1,297","0,380","-0,099","0,968","2,214","1,765","-0,061","1,055","1,540","0,701","0,404","1,895","0,865","0,625","0,432","2,045","0,000","0,746","-1,769","0,306","1,825","1,675","1,766","0,663","0,311","0,066","0,054","1,048","0,599","1,253","0,928","0,435",,"0,761"
Wartosc ksiegowa na akcje (zl),"36,154","36,548","34,397","35,273","34,637","36,540","33,774","34,843","31,960","32,619","30,694","32,555","27,253","27,995","28,211","30,344","28,376","0,000","0,000","0,000","21,348","22,192","0,000","23,405","20,127","18,433","0,000","19,795","15,180","11,783","0,000","19,805",,"14,581"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
