index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2012,IV Q 2013
Przychody netto ze sprzedaÅ¼y (tys. zl),29199,36399,58381,44173,38622,32323,56792,53018,0,0
Zysk (strata) z dzialal. oper. (tys. zl),4221,2681,4789,452,3067,1899,5931,6085,0,0
Zysk (strata) brutto (tys. zl),3850,2347,4835,-84,2913,1789,5709,5641,0,0
Zysk (strata) netto (tys. zl),3373,1711,4187,-617,1470,1300,4443,5056,0,0
Amortyzacja (tys. zl),1608,1186,1293,1513,857,896,946,1007,0,0
EBITDA (tys. zl),5829,3867,6082,1965,3924,2795,6877,7092,0,0
Aktywa (tys. zl),107437,119355,135403,132990,91838,110344,114093,114195,75897,88475
Kapital wlasny (tys. zl),60625,62467,57457,56894,38583,45991,44261,43166,32396,37102
Liczba akcji (tys. szt.),"12251,813","12251,813","12251,813","12251,813","10653,751","10653,751","10653,751","10653,751","10653,751","10653,751"
Zysk na akcje (zl),"0,275","0,140","0,342","-0,050","0,138","0,122","0,417","0,475","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"4,948","5,099","4,690","4,644","3,622","4,317","4,154","4,052","3,041","3,483"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N
