index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,II Q 2006,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),186010,86270,209654,67831,162738,117858,92057,53936,79991,64087,71381,60637,87003,49572,47206,32452,26750,25652,34711,29035,25678,53122,37620,29244,78437,54458,42350,33716,12385,12239,12058,11031,10401,46128,60227,17758,1338,3825,7633,12532,0,588,4029
Zysk (strata) z dzialal. oper. (tys. zl),51445,31989,128490,-20406,70884,-3963,59562,47460,9464,29088,19593,22584,71289,26615,41445,10026,21500,-19474,13384,-11335,26006,19605,9144,50391,-74990,5586,31153,3198,61627,39278,-4486,-7156,-3807,12858,18310,7142,-3780,-590,-2302,128103,0,-20,-921
Zysk (strata) brutto (tys. zl),41571,23321,95477,-9872,50786,16493,35616,32372,13932,19499,15231,14598,76392,21233,29947,19455,20224,-7282,8528,-1627,27119,16707,10075,28285,-61620,18962,15564,11626,12889,3725,5342,3630,4239,12731,26966,1267,-2107,-1253,952,129754,0,-20,-4233
Zysk (strata) netto (tys. zl),43055,18275,75244,-8898,34060,20945,19532,25400,13403,16738,13923,11599,50516,17337,27120,15742,12184,6842,6350,5570,15666,13257,17158,18719,-52782,14328,11278,8285,8323,2200,3356,2092,5017,10069,21808,835,-1868,-1263,491,102258,0,-20,-3616
Amortyzacja (tys. zl),177,242,224,230,164,178,177,173,149,161,162,160,165,163,131,134,172,150,147,152,161,161,166,163,295,193,189,180,525,406,396,378,104,218,440,506,-7,714,720,812,0,60,702
EBITDA (tys. zl),51622,32231,128714,-20176,71048,-3785,59739,47633,9613,29249,19755,22744,71454,26778,41576,10160,21672,-19324,13531,-11183,26167,19766,9310,50554,-74695,5779,31342,3378,62152,39684,-4090,-6778,-3703,13076,18750,7648,-3787,124,-1582,128915,0,40,-219
Aktywa (tys. zl),2890885,2955981,3046826,3174410,2640752,2691566,2717510,2878947,2413948,2462312,2480135,2621043,1670397,1709719,1794542,1857115,1467371,1492989,1567260,0,1278942,1272531,1377343,0,1301785,1205550,1236068,0,1668423,1707882,1713680,0,1536979,1564974,1566209,0,510791,635760,0,0,95290,0,0
Kapital wlasny (tys. zl),1364610,1381501,1374760,1365871,1255153,1276060,1297611,1321776,1184776,1200465,1213348,1223330,1079084,1096421,1123541,1139016,1005288,1012130,1018480,0,943970,957227,974385,0,894413,908741,920019,0,939547,941747,945103,0,897570,908581,930390,0,290877,368875,0,0,81927,0,0
Liczba akcji (tys. szt.),"447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","447558,311","446558,311","447558,311","447558,311","447558,311","389558,311","389558,311","389558,311","446558,311","389558,311","389558,311","389558,311"
Zysk na akcje (zl),"0,096","0,041","0,168","-0,020","0,076","0,047","0,044","0,057","0,030","0,037","0,031","0,026","0,113","0,039","0,061","0,035","0,027","0,015","0,014","0,012","0,035","0,030","0,038","0,042","-0,118","0,032","0,025","0,019","0,019","0,005","0,007","0,005","0,011","0,022","0,049","0,002","-0,005","-0,003","0,001","0,229","0,000","0,000","-0,009"
Wartosc ksiegowa na akcje (zl),"3,049","3,087","3,072","3,052","2,804","2,851","2,899","2,953","2,647","2,682","2,711","2,733","2,411","2,450","2,510","2,545","2,246","2,261","2,276","0,000","2,109","2,139","2,177","0,000","1,998","2,030","2,056","0,000","2,099","2,104","2,112","0,000","2,010","2,030","2,079","0,000","0,747","0,947","0,000","0,000","0,210","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
