index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2005,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000, Q 0000, Q 0000,IV Q 1998,II Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),154162,141219,102185,136173,91633,91998,72416,90078,76185,77057,87412,114759,116912,111226,46448,96355,96603,87504,136535,146365,43796,35732,68252,124747,38179,36060,41499,51782,58718,54460,64181,49321,36064,58468,58603,67060,45310,42736,42711,47332,50210,37489,48805,53244,52105,48647,54112,59594,41922,37696,46831,56494,42255,35193,42017,54791,46340,40715,41578,50108,0,41393,48290,51501,52105,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),13779,19620,13449,17883,-2644,9815,13338,14444,7827,8538,9360,23840,8511,7081,8519,15761,6428,4818,14880,15790,-3322,-1830,25449,14781,558,729,2410,2733,-270,3955,3530,1644,-1622,3394,6482,5502,-6738,2481,1496,4611,-2659,-877,-1425,237,1129,2357,1131,4522,-215,-409,390,6432,777,86,227,5530,2829,2367,1227,3199,0,2898,4139,4767,1129,0,0,0
Zysk (strata) brutto (tys. zl),59706,18535,13774,17539,11314,12459,12235,14850,7302,8205,9314,19758,6286,9616,4348,15668,6664,3756,18107,13600,-3555,-1767,21949,14866,-55,532,4634,2286,-424,2922,3991,2998,-2999,2709,4779,4494,-6250,3066,762,4776,-2122,-416,-1964,630,732,2647,1679,4751,582,664,889,7060,528,1290,1109,5640,2986,3438,1799,4896,0,3569,4445,6227,732,0,0,0
Zysk (strata) netto (tys. zl),42155,13954,14910,31691,5673,8746,12681,13425,7347,7136,36576,17451,4476,7493,7518,14448,5418,2796,9645,9323,-2955,-1786,22462,11175,-90,363,4066,1766,433,1377,2214,2589,3783,1205,2761,2374,-5166,1906,946,0,-2069,-644,-1744,646,382,2012,1200,3978,793,375,212,5507,796,695,847,4105,2848,2635,1051,3520,0,2589,3007,4214,382,0,0,0
Amortyzacja (tys. zl),6016,6544,6681,4967,5662,6162,5626,5508,4218,3540,3517,5541,4512,5015,2817,4278,5356,4783,3358,4948,2526,2538,3316,4693,2547,2487,2490,2534,4886,4294,4172,2600,2603,4209,4150,4641,3200,3278,3228,3176,2989,3328,3127,3306,2817,3984,3706,2187,2400,3556,3052,2631,3951,3956,3974,3270,3526,3591,3409,3528,0,3574,3518,3520,141,0,0,0
EBITDA (tys. zl),19795,26164,20130,22850,3018,15977,18964,19952,12045,12078,12877,29381,13023,12096,11336,20039,11784,9601,18238,20738,-796,708,28765,19474,3105,3216,4900,5267,4616,8249,7702,4244,981,7603,10632,10143,-3538,5759,4724,7787,330,2451,1702,3543,3946,6341,4837,6709,2185,3147,3442,9063,4728,4042,4201,8800,6355,5958,4636,6727,0,6472,7657,8287,1270,0,0,0
Aktywa (tys. zl),662723,680393,704269,656625,551036,555903,568581,563498,514625,515900,544485,597086,622172,685915,538947,528804,477237,495660,659735,638584,213211,219317,471287,0,206843,204774,201277,0,339315,298228,308725,0,235281,305335,313818,0,202604,277925,260278,0,212518,221476,214674,0,195853,225898,224382,0,187756,187380,183337,196503,189388,188339,195381,196380,191179,192644,194111,191895,184390,186792,188487,193316,195853,0,182210,184381
Kapital wlasny (tys. zl),364264,380269,362853,396190,310431,318288,302525,320948,323939,330115,344717,363413,293998,300393,294880,311716,272945,275891,287350,293499,182368,189005,239667,0,169227,171731,170389,0,185936,185197,175085,0,191049,181884,184273,0,159630,225107,207543,0,169207,172533,164096,0,163381,189825,180962,0,163031,163406,158629,162999,163297,163396,160402,164507,161189,163824,159960,163479,146243,148832,148439,152653,163381,0,133818,139468
Liczba akcji (tys. szt.),"54287,065","54287,065","54287,065","54287,065","59937,065","59937,065","59937,065","59937,065","63098,100","63098,100","59937,065","59937,065","63013,100","63013,100","63013,100","63098,100","59460,600","63013,100","63013,100","63013,100","54460,600","54460,600","54460,600","54460,600","54460,600","54460,600","54460,600","54460,600","54460,600","54460,600","54460,600","54460,600","54460,600","54460,600","54460,600","54460,600","27125,300","54460,600","54460,600","54460,600","31025,000","30125,300","30125,300","27125,300","31025,000","31025,000","31025,000","31025,000","31025,000","31025,000","31025,000","31025,000","31500,000","31500,000","31500,000","31025,000","31500,000","31500,000","31500,000","31500,000","31500,000","31500,000","31500,000","31500,000","6205,000",,"31500,000","31500,000"
Zysk na akcje (zl),"0,777","0,257","0,275","0,584","0,095","0,146","0,212","0,224","0,116","0,113","0,610","0,291","0,071","0,119","0,119","0,229","0,091","0,044","0,153","0,148","-0,054","-0,033","0,412","0,205","-0,002","0,007","0,075","0,032","0,008","0,025","0,041","0,048","0,069","0,022","0,051","0,044","-0,190","0,035","0,017","0,000","-0,067","-0,021","-0,058","0,024","0,012","0,065","0,039","0,128","0,026","0,012","0,007","0,178","0,025","0,022","0,027","0,132","0,090","0,084","0,033","0,112","0,000","0,082","0,095","0,134","0,062",,"0,000","0,000"
