index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,I Q 2014,I Q 2014,II Q 2014,III Q 2014,I Q 2013,II Q 2013,III Q 2013,IV Q 2013,I Q 2012,IV Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),13747,15607,16582,17966,8218,10542,11239,12440,6494,6494,6054,8230,3980,3804,4172,4471,0,0
Zysk (strata) z dzialal. oper. (tys. zl),9465,9719,11240,12166,6692,7042,7582,8183,3577,3577,4111,5350,1810,2455,3002,3029,0,0
Zysk (strata) brutto (tys. zl),8992,10223,11320,12186,6709,7068,7341,8515,3597,3598,4153,5214,1833,2459,2999,3056,0,0
Zysk (strata) netto (tys. zl),7251,8110,9089,9742,5430,5648,5889,6823,2859,2859,3323,4157,1361,1980,2390,2472,0,0
Amortyzacja (tys. zl),320,330,355,397,247,240,277,283,194,194,155,193,132,111,113,133,0,0
EBITDA (tys. zl),9785,10049,11595,12563,6939,7282,7859,8466,3771,3771,4266,5543,1942,2566,3115,3162,0,0
Aktywa (tys. zl),24673,32076,41435,23535,15623,21288,27336,16449,12912,12912,16741,11580,8264,11526,6706,9591,3507,7002
Kapital wlasny (tys. zl),21534,29526,38639,20594,14104,19739,25666,14167,10711,10711,14052,8672,7015,9009,5385,7856,2820,4931
Liczba akcji (tys. szt.),"25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000","25750,000"
Zysk na akcje (zl),"0,282","0,315","0,353","0,378","0,211","0,219","0,229","0,265","0,111","0,111","0,129","0,161","0,053","0,077","0,093","0,096","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"0,836","1,147","1,501","0,800","0,548","0,767","0,997","0,550","0,416","0,416","0,546","0,337","0,272","0,350","0,209","0,305","0,110","0,191"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
