index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody z tytulu odsetek (tys. zl),960303,945483,947051,977024,992730,912286,868865,919051,945265,957742,970723,1035059,1173560,1048123,997534,959049,1070160,1079228,1093414,1144495,876721,891521,935669,993223,834331,821758,859743,863482,1084830,947760,842926,828190,686264,767378,830020,954583,471072,498462,540539,630014,356316,402700,386888,439891,354864,393882,396800,387652,289607,324249,320694,349231,358425,293923,288345,258375,458846,448986,404796,466792,0,465767,412266,471872,0,0,0,0,404796,0
Przychody z tytulu prowizji (tys. zl),382029,351910,365283,404432,337382,314527,365490,371881,344760,353775,369165,339279,299584,296069,331245,331760,315739,324725,320564,318392,314840,306663,330048,326722,266325,278558,282746,302601,216409,219745,255870,259347,207533,203672,221904,212601,176856,181721,204354,191629,120636,125746,139441,140728,144347,127976,126071,141143,92740,109369,145146,125735,79007,78474,91086,95726,47818,79092,60011,77465,0,63260,81862,62056,0,0,0,0,60011,0
Wynik na dzialalnoÅci bankowej (tys. zl),1112369,975677,1201000,1030269,938890,1078953,875696,966414,930493,934383,977971,982178,833944,779970,900391,898108,850003,875299,890391,893196,806423,792153,843173,896361,744656,660931,750268,803254,578565,625330,692858,694725,535269,730823,605326,667737,451340,490822,535198,523401,393525,358169,368432,401619,257137,310463,342836,319674,191226,237401,329328,274331,142676,170954,261229,181159,174607,153161,281327,331717,0,164979,388048,271580,0,0,0,0,295804,0
Zysk (strata) brutto (tys. zl),355966,402309,505539,309584,383800,565318,291883,404688,405522,436516,412627,419757,303893,402069,355549,354563,366245,412341,405439,354412,263806,308981,407035,384866,81903,157774,171005,279926,-9148,103321,-87133,111298,198920,414412,219816,254105,160810,205558,230848,210229,90828,101242,129360,143181,-413642,81979,114853,76898,-28815,48308,64278,64854,-465408,46310,53131,-7019,57244,4080,-63004,108677,0,35586,195355,46408,0,0,0,0,-63004,0
Zysk (strata) netto (tys. zl),309486,307782,388504,230479,308617,450936,221323,319501,314200,337770,324827,315454,275803,325736,277853,288586,284833,331072,319517,280064,195482,229708,313171,307260,40778,115416,124251,206453,35190,77221,-61557,72486,141978,344623,289499,198460,115212,222738,181128,164250,47105,78901,101498,125647,-407918,60141,84397,55900,-66360,28996,38720,47021,-308878,33841,20893,19527,20758,-6445,-93209,27616,0,5349,150144,45149,0,0,0,0,-93209,0
Amortyzacja (tys. zl),64655,65200,75166,64816,60257,58523,60495,61752,64745,58425,61279,60480,64690,58051,58671,58217,72117,60801,63246,58437,59711,58611,60881,59803,82324,59201,59334,58672,58224,58526,59264,59248,41555,45620,48577,51299,43632,43019,45524,46674,41166,40710,40577,41684,60391,31758,34013,32678,44864,38139,45227,44292,46649,45454,46443,44971,60205,45020,26829,50467,0,32049,32141,39163,0,0,0,0,236267,0
Aktywa (tys. zl),123523021,123268380,128733485,129780723,117985822,123293888,120604115,125750143,104282761,107143257,111947445,117327295,102144983,103050129,108143858,104000120,98875647,92602171,95044775,99805527,90038831,89045772,88706886,0,81023886,84751381,88904903,0,82605202,81245476,80932457,0,55941900,60549198,64500558,0,42330581,45532730,48575481,0,32739083,35521379,38761258,0,30493448,31893451,32858719,0,30531746,30603321,31757265,0,27431541,28880658,29076178,29545496,24823310,27193236,28347641,27771320,16171472,17840279,18702803,23050868,10968624,14280645,14386971,17785418,28347641,9665291
Kapital wlasny (tys. zl),12242346,12593056,12761967,12935287,11043242,11568718,11516001,11890334,10229342,9838129,10289867,10750063,9594430,9863872,9578503,9863500,8048755,8463370,8800233,9161888,6909303,7108844,7496162,0,4120187,4371200,6508609,0,3894452,3912860,3917541,0,3324511,3510995,3774780,0,2530766,2751250,3023655,0,2035239,2145101,2248904,0,1844745,1825315,1908223,0,1577795,1635543,2182983,0,1584361,1616017,1634784,1669903,2201625,2227969,1884655,1826561,2100616,2102221,2138833,2178317,1329459,1335846,1935712,1916660,1884655,1013624
Liczba akcji (tys. szt.),"42238,924","42238,924","42238,924","42279,255","42207,402","42210,157","42210,157","42238,537","42175,513","42177,058","42177,058","42207,402","42138,976","42141,246","42141,986","42171,752","42102,746","42102,746","42102,746","42137,036","42086,674","42086,674","42086,674","42102,538","29690,882","29690,882","29690,882","42077,777","29690,882","29690,882","29690,882","29690,882","29648,319","29663,778","29683,037","29690,882","29516,035","29527,770","29564,034","29614,972","28983,972","29106,262","29374,947","29459,506","28713,125","28713,125","28713,125","28764,044","22970,500","22970,500","28713,125","28713,125","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500","22970,500"
Wartosc ksiegowa na akcje (zl),"289,836","298,139","302,138","305,949","261,642","274,074","272,825","281,504","242,542","233,258","243,968","254,696","227,685","234,067","227,291","233,889","191,169","201,017","209,018","217,431","164,168","168,910","178,112","0,000","138,769","147,224","219,212","0,000","131,167","131,787","131,944","0,000","112,132","118,360","127,170","0,000","85,742","93,175","102,275","0,000","70,219","73,699","76,559","0,000","64,247","63,571","66,458","0,000","68,688","71,202","76,027","0,000","68,974","70,352","71,169","72,698","95,846","96,993","82,047","79,518","91,448","91,518","93,112","94,831","57,877","58,155","84,269","83,440","-4,058","44,127"
