index,IV Q 2014,II Q 2015,IV Q 2015,II Q 2016,IV Q 2012,II Q 2013,IV Q 2013,II Q 2014,IV Q 2010,II Q 2011,IV Q 2011,II Q 2012,IV Q 2008,II Q 2009,IV Q 2009,II Q 2010,I Q 2007,III Q 2007,IV Q 2007,I Q 2008,IV Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126700,0,173000,151900,400970
Zysk (strata) z dzialal. oper. (tys. zl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,0,10400,3100,13856
Zysk (strata) brutto (tys. zl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8200,0,1500,-15000,7858
Zysk (strata) netto (tys. zl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4500,0,3400,-14700,7103
Amortyzacja (tys. zl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,2600,4900,0
EBITDA (tys. zl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700,0,13000,8000,13856
Aktywa (tys. zl),495272,465078,477366,469577,566172,549544,533059,473877,716443,702529,715850,648483,883133,817000,697921,678689,0,0,1015100,960900,1001267
Kapital wlasny (tys. zl),188817,185264,192546,211234,-306803,138665,211479,202362,-195209,-184776,-206309,-251532,945,-25700,-177032,-206886,0,0,109700,88900,146417
Liczba akcji (tys. szt.),"3560,615","3560,615","3560,615","3560,615","3199,038","3560,615","3560,615","3560,615","2985,390","2985,390","3199,038","3199,038","2509,990","2509,990","2509,990","2509,990","2509,990","2509,990","2509,990","2509,990","2509,990"
Zysk na akcje (zl),"0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","-1,793","0,000","1,355","-5,857","2,830"
Wartosc ksiegowa na akcje (zl),"53,029","52,031","54,077","59,325","-95,905","38,944","59,394","56,833","-65,388","-61,893","-64,491","-78,627","0,376","-10,239","-70,531","-82,425","0,000","0,000","43,705","35,418","58,334"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
