index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),23767,11905,16766,15739,21580,13502,15576,18744,12893,13093,16780,16127,10518,8412,8789,4650,6534,4890,6194,5637,6443,3504,5377,4666,4829,3482,3745,2444
Zysk (strata) z dzialal. oper. (tys. zl),3119,653,2029,1272,2264,1147,1405,911,1575,1120,645,1032,1306,288,999,477,114,87,535,286,-503,-230,-440,-405,-767,-394,-535,-1044
Zysk (strata) brutto (tys. zl),3084,642,2045,1235,2306,1133,1396,893,1562,1111,632,1047,1240,260,975,434,71,56,503,258,-488,-270,-481,-466,-794,-404,-570,-1111
Zysk (strata) netto (tys. zl),1897,324,1175,445,1323,590,743,314,809,806,419,373,1018,231,732,399,53,43,429,199,-22,-212,-353,-354,-688,-365,-558,-940
Amortyzacja (tys. zl),298,299,296,299,101,152,178,255,26,93,59,92,48,33,68,-26,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA (tys. zl),3417,952,2325,1571,2365,1299,1583,1166,1601,1213,704,1124,1354,321,1067,451,114,87,535,286,-503,-230,-440,-405,-767,-394,-535,-1044
Aktywa (tys. zl),43238,36192,36995,35291,38230,34373,34858,36771,17315,27646,29034,31220,8041,11775,10723,7408,6142,6795,5991,8259,7623,7066,5728,8268,0,8350,7712,6922
Kapital wlasny (tys. zl),18967,19291,18547,18992,16582,15980,16723,17027,4724,13601,14537,14710,3605,3836,3478,3878,1943,2313,2492,2749,2759,2537,2069,2267,0,4309,4028,3188
Liczba akcji (tys. szt.),"16127,542","16127,542","18819,368","18819,368","16127,542","16127,542","16127,542","16127,542","11134,880","16127,542","16127,542","16127,542","11134,880","11134,880","11134,880","11134,880","11134,880","11134,880","11134,880","11134,880","11134,880","11134,880","11134,880","11134,880","11134,880","11134,880","11134,880","11134,880"
Zysk na akcje (zl),"0,118","0,020","0,062","0,024","0,082","0,037","0,046","0,019","0,073","0,050","0,026","0,023","0,091","0,021","0,066","0,036","0,005","0,004","0,039","0,018","-0,002","-0,019","-0,032","-0,032","-0,062","-0,033","-0,050","-0,084"
Wartosc ksiegowa na akcje (zl),"1,176","1,196","0,986","1,009","1,028","0,991","1,037","1,056","0,424","0,843","0,901","0,912","0,324","0,345","0,312","0,348","0,175","0,208","0,224","0,247","0,248","0,228","0,186","0,204","0,000","0,387","0,362","0,286"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
