index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,I Q 2007,II Q 2007,III Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),8086,9751,4122,3344,27228,21100,15817,3810,41368,29332,26296,16150,11994,8928,77288,37044,15214,15306,14559,12845,13864,14728,14657,15015,31307,25358,29347,21431,63883,55339,49829,46583,16292,26620,35446,50741,12376,9711,14661
Zysk (strata) z dzialal. oper. (tys. zl),-65638,2555,-5102,-3520,11476,7291,12501,-798,17366,7725,13533,4094,-5076,-1637,40559,5673,-2415,1069,386,1146,-23284,-756,1203,1548,725,-4484,-3991,-2922,576,1156,3518,3031,-4456,44,2575,8740,-409,-705,12
Zysk (strata) brutto (tys. zl),-65676,2574,-3319,-5161,9815,3514,7167,-210,16374,8471,13900,4108,-5349,-1788,43280,4547,-3662,702,-272,1039,-23359,-954,1056,1465,971,-4823,-3655,-3994,910,3071,1257,-766,-4519,-166,2204,9141,-361,-662,67
Zysk (strata) netto (tys. zl),-53141,2068,-2869,-4191,2203,2443,2503,557,12587,6639,9675,3701,-4919,-1798,33429,5300,-3551,487,-418,867,-23001,-974,984,1375,971,-4874,-4152,-3978,3141,2499,1633,10,-3634,11,2056,5565,-352,-689,71
Amortyzacja (tys. zl),3491,2862,2845,2840,3631,3991,3153,3442,3836,4002,3244,4120,562,554,7773,4230,761,818,776,678,1655,1185,956,947,2780,2570,2622,1271,4003,1994,2371,2520,0,0,1002,1357,260,210,205
EBITDA (tys. zl),-62147,5417,-2257,-680,15107,11282,15654,2644,21202,11727,16777,8214,-4514,-1083,48332,9903,-1654,1887,1162,1824,-21629,429,2159,2495,3505,-1914,-1369,-1651,4579,3150,5889,5551,-4456,44,3577,10097,-149,-495,217
Aktywa (tys. zl),480823,490456,490364,485962,568604,568712,561146,549299,594544,577588,601569,600434,20963,24121,588115,578406,29461,28927,27795,27752,38903,36120,33938,0,84573,85488,77199,0,99144,98354,107767,0,22455,83972,83055,0,19982,19675,0
Kapital wlasny (tys. zl),283378,283728,280859,276667,331024,338507,340990,341559,322078,319095,338356,340539,3412,5669,294723,310857,3397,3884,7453,8317,5550,4575,5560,0,42480,37606,33280,0,38644,41143,41415,0,5738,5749,27918,0,11181,9318,0
Liczba akcji (tys. szt.),"130848,646","130848,646","130848,646","130848,646","130848,645","130848,646","130848,646","130848,646","6569,576","6569,576","130848,645","130848,645","2235,703","2235,703","2235,703","6569,576","1816,503","1816,503","2216,503","2216,503","1816,503","1816,503","1816,503","1816,503","1816,503","1816,503","1816,503","1816,503","1816,503","1816,503","1816,503","1816,503","607,060","607,060","1728,503","1816,503","607,060","607,060","607,060"
Zysk na akcje (zl),"-0,406","0,016","-0,022","-0,032","0,017","0,019","0,019","0,004","1,916","1,011","0,074","0,028","-2,200","-0,804","14,952","0,807","-1,955","0,268","-0,189","0,391","-12,662","-0,536","0,542","0,757","0,535","-2,683","-2,286","-2,190","1,729","1,376","0,899","0,006","-5,986","0,018","1,189","3,064","-0,580","-1,135","0,117"
Wartosc ksiegowa na akcje (zl),"2,166","2,168","2,146","2,114","2,530","2,587","2,606","2,610","49,026","48,572","2,586","2,603","1,526","2,536","131,826","47,318","1,870","2,138","3,363","3,752","3,055","2,519","3,061","0,000","23,386","20,702","18,321","0,000","21,274","22,650","22,799","0,000","9,452","9,470","16,152","0,000","18,418","15,349","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
