index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,I Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),13488,12553,14918,16248,11555,11630,12597,14594,13687,10302,12628,13069,8907,8159,10058,10647,9134,9075,11258,11119,0,7346,9027,10143,6040
Zysk (strata) z dzialal. oper. (tys. zl),769,808,1421,1513,-1625,950,945,1442,-175,-200,544,846,-8607,583,195,1196,-521,56,108,-944,0,861,983,481,1224
Zysk (strata) brutto (tys. zl),671,717,1313,1395,-1719,1520,846,1345,-2,-361,395,711,-10137,345,-21,1018,-439,-215,-246,-1384,0,604,678,92,1176
Zysk (strata) netto (tys. zl),1026,748,904,1202,-2624,1234,664,1295,456,122,297,650,-8010,244,446,630,-222,-203,-363,-929,0,441,571,-20,927
Amortyzacja (tys. zl),366,385,362,410,442,366,410,360,471,460,441,444,556,408,454,448,300,562,585,586,0,446,491,559,102
EBITDA (tys. zl),1135,1193,1783,1923,-1183,1316,1355,1802,296,260,985,1290,-8051,991,649,1644,-221,618,693,-358,0,1307,1474,1040,1326
Aktywa (tys. zl),27945,28133,29664,28600,20381,18542,19180,26385,22739,22760,22739,22741,25830,25037,24004,22615,37981,36163,36735,34437,24952,26227,28042,0,15472
Kapital wlasny (tys. zl),13683,14313,12688,13827,6738,8425,8949,13514,10133,10222,10481,11043,8356,8591,9045,9647,17530,17306,17939,16367,7847,8448,9020,0,4478
Liczba akcji (tys. szt.),"7665,436","7665,436","7665,436","7665,436","6354,080","6354,080","6354,080","7665,436","6354,080","6354,080","6354,080","6354,080","6354,080","6354,080","6354,080","6354,080","5204,080","5204,080","6354,080","6354,080","5204,080","5204,080","5204,080","5204,080","5204,080"
Zysk na akcje (zl),"0,134","0,098","0,118","0,157","-0,413","0,194","0,105","0,169","0,072","0,019","0,047","0,102","-1,261","0,038","0,070","0,099","-0,043","-0,039","-0,057","-0,146","0,000","0,085","0,110","-0,004","0,178"
Wartosc ksiegowa na akcje (zl),"1,785","1,867","1,655","1,804","1,060","1,326","1,408","1,763","1,595","1,609","1,650","1,738","1,315","1,352","1,423","1,518","3,369","3,325","2,823","2,576","1,508","1,623","1,733","0,000","0,860"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
