index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),196899,167155,217086,201324,248359,172063,174812,214307,184708,158182,215098,241011,150797,118800,120895,150714,186419,143636,179863,174434,284942,187491,171561,187222,253922,123776,217789,264762,249489,192981,264347,272741,167849,146591,213944,226783,171348,155634,178893,180215,88802,77643,107427,129555,98626,67494,88568,102600,102892,73475,74796,79916,227055,126567,29058,118351,399823,184697,271956,315416,0,157760,279583,382256,0,0,0,0,98386,0
Zysk (strata) z dzialal. oper. (tys. zl),3312,3064,-2437,6147,5409,5099,13471,4857,4459,7658,9157,10546,-17231,1887,2363,6318,-3793,11917,3839,6728,-1538,19157,11761,21496,5450,714,10060,5309,10353,18161,14943,16339,3518,14165,20174,13770,9136,9522,15493,12769,249,709,11550,6295,-8790,610,22012,4282,-25772,-15280,-3265,3248,-90054,720,-30850,2094,532,-10503,-30561,3148,0,5648,-21254,12458,0,0,0,0,-2680,0
Zysk (strata) brutto (tys. zl),1677,1631,-2294,5061,3938,3389,13197,3284,-670,6405,8184,8483,-21239,2962,3205,3806,-4051,9620,960,3836,-2829,19263,12160,24705,3764,-2746,13132,4555,14081,19144,14699,15443,16421,14082,18960,14614,57794,10748,15634,19380,-12764,2608,12165,4879,-28713,-2430,3773,-6894,-42957,-20238,-7694,1200,-87717,-25667,32635,1,-17103,-14593,-39508,-3870,0,1430,-37366,-544,0,0,0,0,-4598,0
Zysk (strata) netto (tys. zl),593,923,-3538,4273,2190,1836,10240,3647,2426,4100,5489,6754,-18798,900,2606,1327,-17464,3790,1657,279,-3108,15968,4821,24530,2125,-6105,9264,6561,9433,14246,11246,10564,17673,11212,13610,11408,53928,8910,12061,15538,-13320,2392,7978,4845,-28949,-1991,2995,-7245,-38665,-21072,-7700,1037,-101864,-24038,31987,3258,-21074,-10681,-44796,-9752,0,133,-37038,-3834,0,0,0,0,1181,0
Amortyzacja (tys. zl),3798,3552,3399,3402,3775,3521,3440,3462,3630,3304,3637,3630,3393,3309,3390,3329,5195,4195,5829,3218,6652,4659,6156,4574,6190,5282,5186,4194,5995,4368,5870,4289,3212,3827,5383,4150,3344,2929,3267,3075,2693,2490,0,2884,3827,2703,2690,2606,5968,17788,4254,4115,9814,9339,-389,3040,10630,9884,10176,9678,0,5182,11135,10932,0,0,0,0,141,0
EBITDA (tys. zl),7110,6616,962,9549,9184,8620,16911,8319,8089,10962,12794,14176,-13838,5196,5753,9647,1402,16112,9668,9946,5114,23816,17917,26070,11640,5996,15246,9503,16348,22529,20813,20628,6730,17992,25557,17920,12480,12451,18760,15844,2942,3199,11550,9179,-4963,3313,24702,6888,-19804,2508,989,7363,-80240,10059,-31239,5134,11162,-619,-20385,12826,0,10830,-10119,23390,0,0,0,0,-2539,0
Aktywa (tys. zl),541109,524286,569000,585894,563287,548062,545644,581412,534566,542735,594590,582533,503082,464467,481866,536936,660955,631456,569283,540908,724860,627326,648676,0,624392,602395,684917,0,626103,641704,677591,0,366942,555092,599923,0,383317,372412,389027,0,212912,223361,256774,0,244575,239007,243233,0,242325,231036,251826,0,869897,643974,245846,269315,939572,870198,931484,966424,502844,767938,834482,918198,351736,407592,401777,492103,217995,315510
Kapital wlasny (tys. zl),253662,254601,250440,254713,261765,263562,266011,269651,250602,254790,259970,266729,228756,232922,238015,239295,241538,244166,245966,246245,225524,233368,233321,0,241385,235184,243874,0,205776,224579,233631,0,183658,175650,188386,0,119300,128273,140751,0,-105089,-101952,-84718,0,-82732,-83599,-83859,0,-88676,-109112,-82657,0,-65095,37453,-52589,-50130,142112,127949,88089,79576,218789,224018,174978,163478,108446,115824,129490,214129,-102895,97049
Liczba akcji (tys. szt.),"149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","149130,538","128567,822","128567,822","128567,822","149130,538","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660","20326,660"
Zysk na akcje (zl),"0,004","0,006","-0,024","0,029","0,015","0,012","0,069","0,024","0,016","0,027","0,037","0,045","-0,126","0,006","0,017","0,009","-0,117","0,025","0,011","0,002","-0,021","0,107","0,032","0,164","0,014","-0,041","0,062","0,044","0,063","0,096","0,075","0,071","0,119","0,075","0,091","0,076","0,419","0,069","0,094","0,104","-0,655","0,118","0,392","0,238","-1,424","-0,098","0,147","-0,356","-1,902","-1,037","-0,379","0,051","-5,011","-1,183","1,574","0,160","-1,037","-0,525","-2,204","-0,480","0,000","0,007","-1,822","-0,189","0,000","0,000","0,000","0,000","0,058","0,000"
