index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),12424,3479,2775,3414,12646,4158,6241,979,209,946,633,17254,-274,1293,1700,2114,11353,3139,1936,589,580,446,691,17863,283
Zysk (strata) z dzialal. oper. (tys. zl),5004,909,246,1485,4267,1256,1223,230,-233,-91,-202,6705,-616,79,517,87,0,0,0,-62,0,0,0,0,0
Zysk (strata) brutto (tys. zl),4860,775,353,1477,4051,1263,1226,237,-231,-120,17,6675,-549,26,505,5,2400,1055,494,-85,-257,-104,-146,7479,-175
Zysk (strata) netto (tys. zl),4034,898,405,905,3345,1042,957,195,-241,-97,14,5384,-793,26,396,1,1943,1037,491,-85,-302,-104,-149,4733,-175
Amortyzacja (tys. zl),67,50,59,53,-33,52,38,44,17,28,30,128,14,11,17,6,0,0,0,0,0,0,0,0,0
EBITDA (tys. zl),5071,959,305,1538,4234,1308,1261,274,-216,-63,-172,6833,-602,90,534,93,0,0,0,-62,0,0,0,0,0
Aktywa (tys. zl),59966,60088,76219,76138,37533,44482,50493,57133,33667,41990,56013,40177,29348,30057,29486,28343,26403,31819,26230,30626,38834,43066,45913,33891,28278
Kapital wlasny (tys. zl),31315,31289,29168,29869,27748,28728,26725,26921,19312,19705,18361,23822,19708,21458,19568,19551,21883,27538,23106,23018,14584,14550,14428,19217,14941
Liczba akcji (tys. szt.),"1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312","1082,312"
Zysk na akcje (zl),"3,727","0,830","0,374","0,836","3,091","0,963","0,884","0,181","-0,223","-0,090","0,013","4,975","-0,733","0,024","0,366","0,001","1,795","0,958","0,454","-0,079","-0,279","-0,096","-0,138","4,373","-0,162"
Wartosc ksiegowa na akcje (zl),"28,933","28,909","26,950","27,597","25,637","26,543","24,693","24,873","17,843","18,206","16,965","22,010","18,209","19,826","18,080","18,064","20,219","25,444","21,349","21,267","13,475","13,443","13,331","17,756","13,805"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
