index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2008,IV Q 2009,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. euro),23363,18618,17318,19439,22445,17839,17110,19704,30847,20041,15896,19211,27210,19554,15114,23421,20621,17490,13923,12707,9828,13999,9397,13544,0,0,11443
Zysk (strata) z dzialal. oper. (tys. euro),9744,6353,3035,2983,7233,8326,6538,7775,17266,8104,3314,6731,10055,5164,1678,8238,7397,8781,2954,1984,2036,5525,2772,4938,0,0,3074
Zysk (strata) brutto (tys. euro),10184,6174,2990,3177,7130,9172,6817,6479,16196,7907,3371,7596,10071,5124,1652,8234,8251,8895,3246,2083,2182,5517,3114,3071,0,0,2865
Zysk (strata) netto (tys. euro),9346,5967,2942,3105,6832,8898,6590,6120,15978,7709,3322,7476,9632,5002,1620,7989,8635,8642,3087,2095,2642,5444,3100,2492,0,0,2522
Amortyzacja (tys. euro),795,549,611,640,788,487,524,621,1185,1094,939,902,1158,1314,1320,27,324,614,803,910,760,395,516,400,0,0,443
EBITDA (tys. euro),10539,6902,3646,3623,8021,8813,7062,8396,18451,9198,4253,7633,11213,6478,2998,8265,7721,9395,3757,2894,2796,5920,3288,5338,0,0,3517
Aktywa (tys. euro),100718,99840,107165,107177,101620,81484,95062,101076,159514,125104,121353,128118,119798,121993,124807,140456,92921,100637,105666,106757,40804,0,51806,0,43116,41806,0
Kapital wlasny (tys. euro),76071,73772,81821,80713,82732,60046,74347,76860,135430,103765,100006,107392,104841,109852,111506,119501,81347,89985,93065,95160,29072,0,37171,0,25343,27080,0
Liczba akcji (tys. szt.),"4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000","4500,000"
Zysk na akcje (euro),"2,077","1,326","0,654","0,690","1,518","1,977","1,464","1,360","3,551","1,713","0,738","1,661","2,140","1,112","0,360","1,775","1,919","1,920","0,686","0,466","0,587","1,210","0,689","0,554","0,000","0,000","0,560"
Wartosc ksiegowa na akcje (euro),"16,905","16,394","18,182","17,936","18,385","13,344","16,522","17,080","30,096","23,059","22,224","23,865","23,298","24,412","24,779","26,556","18,077","19,997","20,681","21,147","6,460","0,000","8,260","0,000","5,632","6,018","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
