index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,II Q 2005,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),108406,101437,103591,122349,103068,106563,92931,108254,100116,86043,93921,96932,172749,126026,110898,120852,164688,143622,131655,167676,144010,155268,176777,124642,119015,132118,130052,146516,90557,109638,121939,127988,89303,91765,92794,105674,60303,55446,67952,105169,38716,37717,39383,44273,0,19564,22250
Zysk (strata) z dzialal. oper. (tys. zl),4170,2174,1878,3066,5185,2594,-2891,4291,-5950,-307,-328,2571,1700,1143,-4333,-9755,-2004,3259,3678,3199,1461,4930,3288,5360,1738,3094,3839,5700,-20177,4597,1138,2461,4005,2540,-827,2794,7562,6993,3499,8134,4952,4002,3909,4190,0,4298,3102
Zysk (strata) brutto (tys. zl),2523,848,685,1805,3950,1377,-4394,2861,-7506,-1881,-2051,543,-2103,-1434,-7124,-11352,-5025,-243,-86,369,350,1700,549,2023,-1045,411,1552,3654,-40109,-6007,5244,1726,19942,-373,-4594,-1372,7442,9549,9693,6648,10246,3075,2995,4014,0,4132,3045
Zysk (strata) netto (tys. zl),3363,690,95,1445,3021,739,-4045,1836,-6964,-1997,-1518,1100,-2448,-1430,-6470,-9584,-5138,-104,-1065,321,13,1453,-340,1584,-904,72,516,2533,-33290,-4992,3272,1618,17401,-355,-3652,-1043,6195,8218,8890,5907,9306,2475,2656,3361,0,3317,2259
Amortyzacja (tys. zl),2820,3018,3021,3172,2977,3074,3095,3167,3414,3424,3159,3181,6490,3982,3847,3370,4561,4634,3786,3830,4660,4783,4797,4538,4801,5595,4197,4684,5665,5346,5395,6065,4192,4427,4658,4681,1875,2156,2627,3982,1423,1509,1557,2039,0,0,1074
EBITDA (tys. zl),6990,5192,4899,6238,8162,5668,204,7458,-2536,3117,2831,5752,8190,5125,-486,-6385,2557,7893,7464,7029,6121,9713,8085,9898,6539,8689,8036,10384,-14512,9943,6533,8526,8197,6967,3831,7475,9437,9149,6126,12116,6375,5511,5466,6229,0,4298,4176
Aktywa (tys. zl),318842,316017,310897,343262,337668,330659,322295,338405,331558,311836,305962,333986,468882,418949,396879,370222,501319,473655,476683,0,467696,500507,495296,0,441561,446812,439037,0,451689,453202,437111,0,458055,443720,456932,0,255484,267322,388968,0,149020,0,221415,0,53245,0,0
Kapital wlasny (tys. zl),106454,107144,107239,108683,94621,103791,99576,100778,94252,92255,89600,91837,118005,116575,113284,103700,121301,121197,120132,0,123954,125407,125068,0,120859,121300,121447,0,121866,116873,120484,0,156919,162340,155694,0,117064,122694,135166,0,38367,0,106524,0,22860,0,0
Liczba akcji (tys. szt.),"34750,050","34750,050","34750,050","34750,050","23166,700","31428,950","31428,950","31428,950","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700","23166,700"
Zysk na akcje (zl),"0,097","0,020","0,003","0,042","0,130","0,024","-0,129","0,058","-0,301","-0,086","-0,066","0,047","-0,106","-0,062","-0,279","-0,414","-0,222","-0,004","-0,046","0,014","0,001","0,063","-0,015","0,068","-0,039","0,003","0,022","0,109","-1,437","-0,215","0,141","0,070","0,751","-0,015","-0,158","-0,045","0,267","0,355","0,384","0,255","0,402","0,107","0,115","0,145","0,000","0,143","0,098"
Wartosc ksiegowa na akcje (zl),"3,063","3,083","3,086","3,128","4,084","3,302","3,168","3,207","4,068","3,982","3,868","3,964","5,094","5,032","4,890","4,476","5,236","5,232","5,186","0,000","5,351","5,413","5,399","0,000","5,217","5,236","5,242","0,000","5,260","5,045","5,201","0,000","6,773","7,007","6,721","0,000","5,053","5,296","5,834","0,000","1,656","0,000","4,598","0,000","0,987","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
