index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,I Q 2009,II Q 2009,III Q 2009,IV Q 2009,I Q 2008,II Q 2008,III Q 2008,IV Q 2008,II Q 2007,III Q 2007,IV Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),36299,31473,40382,47065,43055,35193,40443,26955,63448,37508,41478,50201,59372,32279,34751,37267,52637,36210,35262,36677,46104,34998,45714,40577,40878,30211,38396,31775,50711,33356,32694,32694,35362,23790,23872,60803,21225,28718,39407
Zysk (strata) z dzialal. oper. (tys. zl),9960,10384,14810,9902,9330,7941,8716,7795,10735,10644,7664,7271,11130,6973,7495,3743,8085,2579,3852,4336,12956,5895,7403,8304,2015,9313,1798,1673,6781,11929,1731,1731,8304,7415,187,299,6451,1595,901
Zysk (strata) brutto (tys. zl),6221,7408,10728,6674,6449,5586,6079,4448,7916,8448,5325,4735,8863,5055,5251,1286,7130,6899,3197,3130,12037,5017,6801,7466,2048,9271,1765,1473,7162,12164,1858,1858,8881,8095,870,895,6380,1969,2209
Zysk (strata) netto (tys. zl),4882,6111,8617,5493,5293,4525,4882,3599,6204,6779,4300,3851,7354,4065,4209,1023,5558,5089,2705,2500,10100,4337,5387,5890,1523,7487,1380,1209,5796,9739,1562,1562,7169,6561,457,925,5217,1569,2264
Amortyzacja (tys. zl),532,501,520,493,478,447,525,516,586,555,614,530,722,731,713,680,760,731,734,745,510,694,681,681,498,556,545,588,461,492,486,486,237,311,344,557,203,219,219
EBITDA (tys. zl),10492,10885,15330,10395,9808,8388,9241,8311,11321,11199,8278,7801,11852,7704,8208,4423,8845,3310,4586,5081,13466,6589,8084,8985,2513,9869,2343,2261,7242,12421,2217,2217,8541,7726,531,856,6654,1814,1120
Aktywa (tys. zl),778921,778078,788772,795568,610013,661472,761707,743036,577388,580217,571466,589195,547993,545941,547643,566725,400350,432924,495970,0,391732,365563,381736,416419,213097,215154,269038,306112,192796,193697,195722,195722,157134,170665,173796,202641,56307,160869,154133
Kapital wlasny (tys. zl),305458,311527,304529,316506,292369,303968,299673,301640,281420,287372,287242,290589,268096,268616,266792,272466,250004,258819,255105,0,235879,239182,245054,244311,160924,168311,169691,170900,148259,157840,159402,159402,134521,141082,141538,142463,31057,125088,127352
Liczba akcji (tys. szt.),"10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","8000,000","10000,000","10000,000","10000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","8000,000","5500,000","8000,000","8000,000"
Zysk na akcje (zl),"0,488","0,611","0,862","0,549","0,529","0,453","0,488","0,360","0,620","0,678","0,430","0,385","0,735","0,407","0,421","0,102","0,556","0,509","0,271","0,250","1,263","0,434","0,539","0,589","0,190","0,936","0,173","0,151","0,725","1,217","0,195","0,195","0,896","0,820","0,057","0,116","0,949","0,196","0,283"
Wartosc ksiegowa na akcje (zl),"30,546","31,153","30,453","31,651","29,237","30,397","29,967","30,164","28,142","28,737","28,724","29,059","26,810","26,862","26,679","27,247","25,000","25,882","25,511","0,000","29,485","23,918","24,505","24,431","20,116","21,039","21,211","21,363","18,532","19,730","19,925","19,925","16,815","17,635","17,692","17,808","5,647","15,636","15,919"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
