index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,I Q 2012,II Q 2012,III Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),126312,132980,132904,138702,121078,131545,121218,135773,121154,122080,129495,138380,92094,119941,108678,116897,102770,111501,100532
Zysk (strata) z dzialal. oper. (tys. zl),9002,9289,9868,8262,4323,7946,5046,8439,10404,5482,4149,4971,1983,6973,3559,5733,7475,7557,6437
Zysk (strata) brutto (tys. zl),5705,6623,8289,5374,1085,4030,2890,6356,6406,2601,902,1210,-2049,3724,678,1527,1695,3439,1137
Zysk (strata) netto (tys. zl),4222,5175,7233,4531,508,3134,2402,4987,4840,1945,646,927,-926,2707,414,1146,1318,2549,505
Amortyzacja (tys. zl),2463,2524,2588,2665,2420,2473,2479,2430,506,2318,2365,2393,2444,2842,2845,2855,2399,2395,2426
EBITDA (tys. zl),11465,11813,12456,10927,6743,10419,7525,10869,10910,7800,6514,7364,4427,9815,6404,8588,9874,9952,8863
Aktywa (tys. zl),522594,515143,528175,539451,521980,512527,518419,520007,501773,511343,511936,522939,445364,509407,501209,491694,434532,0,0
Kapital wlasny (tys. zl),238769,240629,244666,247677,220380,229718,228498,233111,216628,218401,214250,218062,172100,214520,211133,211907,157074,0,0
Liczba akcji (tys. szt.),"172484,374","172484,374","172484,374","172484,374","172484,374","172484,374","172484,374","172484,374","172484,374","172484,374","172484,374","172484,374","161227,231","172484,374","172484,374","172484,374","151300,000","151300,000","161227,231"
Zysk na akcje (zl),"0,024","0,030","0,042","0,026","0,003","0,018","0,014","0,029","0,028","0,011","0,004","0,005","-0,006","0,016","0,002","0,007","0,009","0,017","0,003"
Wartosc ksiegowa na akcje (zl),"1,384","1,395","1,418","1,436","1,278","1,332","1,325","1,351","1,256","1,266","1,242","1,264","1,067","1,244","1,224","1,229","1,038","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
